#Read position (bp)	Clipping profile
0.0	37.82258994538389
1.0	0.005729427185105457
2.0	0.005617667457797525
3.0	0.005505907730489594
4.0	0.005388257347781914
5.0	0.005265855386685487
6.0	0.005135902972258995
7.0	0.004995536139446208
8.0	0.004857187100195766
9.0	0.004724240540483216
10.0	0.004602229120076275
11.0	0.004489297770699885
12.0	0.004387757191433505
13.0	0.0043020335100913114
14.0	0.004220312870816351
15.0	0.004145621963952139
16.0	0.004078351330188162
17.0	0.004017296802398506
18.0	0.0039583251582861086
19.0	0.003906253066354632
20.0	0.0038574354801688727
21.0	0.003810570597430544
22.0	0.0037677738468743617
23.0	0.0037293055889599837
24.0	0.0036913255069074623
25.0	0.0036582597285309748
26.0	0.003626853748084803
27.0	0.0035974981062584332
28.0	0.0035702578931667795
29.0	0.0035443845724883274
30.0	0.003520463955257305
31.0	0.0034960877072218823
32.0	0.0034742499736681197
33.0	0.0034530305962060426
34.0	0.003433210656214624
35.0	0.003413520896453035
36.0	0.0033960442005985325
37.0	0.003378274599226917
38.0	0.003362099705670702
39.0	0.0033450786406206004
40.0	0.0033293919229262434
41.0	0.0033139655656915425
42.0	0.0032993528348932728
43.0	0.0032840566578884013
44.0	0.0032702250084691025
45.0	0.003256523539279633
46.0	0.0032434729712393063
47.0	0.0032322123813591248
48.0	0.003221505057455715
49.0	0.003718468084826745
50.0	0.003196900994018092
51.0	0.0031856078590804535
52.0	0.0032302596779116943
53.0	0.003165006837710063
54.0	0.003154690054496139
55.0	0.0031457727087528735
56.0	0.004981769580141825
57.0	0.0031264734896807697
58.0	0.0031180443197993623
59.0	0.0032419108084813623
60.0	0.0031023250570475476
61.0	0.003093537891534111
62.0	0.0031100707807223548
63.0	0.0030772002726906105
64.0	0.0038814537325722663
65.0	0.003061904095685739
66.0	0.003054483822585504
67.0	0.003047421545117297
68.0	0.0037666673149208177
69.0	0.004454344378990881
70.0	0.0030269507039767355
71.0	0.003190033986894629
72.0	0.0035943737807425445
73.0	0.0030087254718007186
74.0	0.0055400149507047105
75.0	0.003486486915272016
76.0	0.003740370908495422
77.0	0.003513792218478584
78.0	0.003192312140916631
79.0	0.0036611236935872064
80.0	0.004176637403708825
81.0	0.004940469902228672
82.0	0.003609344507172844
83.0	0.002951413625618637
