#GC Content (%)	Sample
1.0	4.933540278902898E-6
2.0	3.946832223122319E-6
3.0	0.0
4.0	1.9734161115611595E-6
5.0	1.9734161115611595E-6
6.0	1.9734161115611595E-6
7.0	1.9734161115611595E-6
8.0	2.960124167341739E-6
9.0	9.867080557805797E-7
10.0	9.867080557805797E-7
11.0	9.867080557805797E-7
12.0	9.867080557805797E-7
13.0	1.9734161115611595E-6
14.0	1.9734161115611595E-6
15.0	0.0
16.0	2.960124167341739E-6
17.0	5.9202483346834775E-6
18.0	3.946832223122319E-6
19.0	2.960124167341739E-6
20.0	2.960124167341739E-6
21.0	4.933540278902898E-6
22.0	9.867080557805797E-7
23.0	4.933540278902898E-6
24.0	4.933540278902898E-6
25.0	4.933540278902898E-6
26.0	3.946832223122319E-6
27.0	7.893664446244636E-6
28.0	1.2827204725147534E-5
29.0	5.9202483346834775E-6
30.0	9.867080557805796E-6
31.0	1.6774036948269855E-5
32.0	8.880372502025217E-6
33.0	2.269428528295333E-5
34.0	1.6774036948269855E-5
35.0	2.0720869171392172E-5
36.0	2.466770139451449E-5
37.0	2.6641117506075648E-5
38.0	2.960124167341739E-5
39.0	4.440186251012609E-5
40.0	5.2295526956370724E-5
41.0	6.117589945839594E-5
42.0	8.387018474134927E-5
43.0	1.262986311399142E-4
44.0	2.0030173532345773E-4
45.0	3.3449403090961657E-4
46.0	5.555166354044665E-4
47.0	0.0011169535191436163
48.0	0.0021490501454901026
49.0	0.0036370058936072173
50.0	0.004681929724678851
51.0	0.005314409588434203
52.0	0.004061290357592867
53.0	0.004654301899116995
54.0	0.0059241951669066015
55.0	0.008460034870262692
56.0	0.012379239267823156
57.0	0.018744492935663676
58.0	0.02842113883870382
59.0	0.04093457040211313
60.0	0.05839140932498314
61.0	0.07919417526500512
62.0	0.1003561029373312
63.0	0.11578525680557213
64.0	0.11833096358948605
65.0	0.10664932691709975
66.0	0.08765125001110045
67.0	0.0657611317936083
68.0	0.04587699105351806
69.0	0.03036890054081469
70.0	0.019795337015069994
71.0	0.012245046972236995
72.0	0.007486154019207258
73.0	0.004437226126845268
74.0	0.0024095410722161756
75.0	0.0011643155058210844
76.0	5.880780012452256E-4
77.0	3.088396214593215E-4
78.0	2.0326185949079946E-4
79.0	1.953681950445548E-4
80.0	1.6083341309223453E-4
81.0	1.3320558753037825E-4
82.0	1.2333850697257247E-4
83.0	7.794993640666581E-5
84.0	3.157465778497855E-5
85.0	1.6774036948269855E-5
86.0	9.867080557805796E-6
87.0	6.9069563904640585E-6
88.0	3.946832223122319E-6
89.0	9.867080557805797E-7
90.0	2.960124167341739E-6
91.0	3.946832223122319E-6
92.0	5.9202483346834775E-6
93.0	0.0
94.0	2.960124167341739E-6
95.0	9.867080557805797E-7
96.0	0.0
97.0	1.9734161115611595E-6
98.0	0.0
99.0	1.9734161115611595E-6
100.0	3.946832223122319E-6
