#Mapping quality	mapping quality
0.0	4740.0
1.0	2251.0
2.0	5247.0
3.0	6399.0
4.0	4078.0
5.0	8373.0
6.0	3628.0
7.0	2320.0
8.0	1276.0
9.0	4006.0
10.0	2029.0
11.0	676.0
12.0	949.0
13.0	1670.0
14.0	1348.0
15.0	1066.0
16.0	811.0
17.0	1212.0
18.0	2431.0
19.0	2998.0
20.0	1942.0
21.0	1201.0
22.0	846.0
23.0	1003.0
24.0	971.0
25.0	1095.0
26.0	1074.0
27.0	1083.0
28.0	1445.0
29.0	1725.0
30.0	2103.0
31.0	2278.0
32.0	2211.0
33.0	2262.0
34.0	2435.0
35.0	2799.0
36.0	2550.0
37.0	2367.0
38.0	2168.0
39.0	2297.0
40.0	2319.0
41.0	2170.0
42.0	1998.0
43.0	2048.0
44.0	2059.0
45.0	2360.0
46.0	2657.0
47.0	3145.0
48.0	3347.0
49.0	3489.0
50.0	3467.0
51.0	3541.0
52.0	3480.0
53.0	3292.0
54.0	3132.0
55.0	3073.0
56.0	3002.0
57.0	3004.0
58.0	2906.0
59.0	2817.0
60.0	2884.0
61.0	2769.0
62.0	2765.0
63.0	2662.0
64.0	2888.0
65.0	2994.0
66.0	3142.0
67.0	3041.0
68.0	2968.0
69.0	2855.0
70.0	2699.0
71.0	2784.0
72.0	2901.0
73.0	3059.0
74.0	3539.0
75.0	3812.0
76.0	4185.0
77.0	4037.0
78.0	3903.0
79.0	3677.0
80.0	3776.0
81.0	4114.0
82.0	4163.0
83.0	4442.0
84.0	4034.0
85.0	4427.0
86.0	4123.0
87.0	4269.0
88.0	4212.0
89.0	4255.0
90.0	4139.0
91.0	4292.0
92.0	4165.0
93.0	3950.0
94.0	3902.0
95.0	3683.0
96.0	3558.0
97.0	3519.0
98.0	3259.0
99.0	3429.0
100.0	3439.0
101.0	3342.0
102.0	3553.0
103.0	3575.0
104.0	3751.0
105.0	3863.0
106.0	4004.0
107.0	4192.0
108.0	4266.0
109.0	4553.0
110.0	4958.0
111.0	5626.0
112.0	5722.0
113.0	6216.0
114.0	6123.0
115.0	5978.0
116.0	5446.0
117.0	5081.0
118.0	4449.0
119.0	4454.0
120.0	4325.0
121.0	4241.0
122.0	4371.0
123.0	4442.0
124.0	4755.0
125.0	4264.0
126.0	3730.0
127.0	6883.0
128.0	4403.0
129.0	4826.0
130.0	5381.0
131.0	5309.0
132.0	5555.0
133.0	6060.0
134.0	5976.0
135.0	5634.0
136.0	6067.0
137.0	6004.0
138.0	6031.0
139.0	6098.0
140.0	6212.0
141.0	6114.0
142.0	6484.0
143.0	6216.0
144.0	6417.0
145.0	5938.0
146.0	6050.0
147.0	5518.0
148.0	5758.0
149.0	5455.0
150.0	5639.0
151.0	5227.0
152.0	6124.0
153.0	5904.0
154.0	6107.0
155.0	5793.0
156.0	5976.0
157.0	5470.0
158.0	5666.0
159.0	4929.0
160.0	5102.0
161.0	4815.0
162.0	4622.0
163.0	4506.0
164.0	4355.0
165.0	4355.0
166.0	4210.0
167.0	4413.0
168.0	4497.0
169.0	4299.0
170.0	4975.0
171.0	4702.0
172.0	4864.0
173.0	4838.0
174.0	4948.0
175.0	4755.0
176.0	5002.0
177.0	4457.0
178.0	4846.0
179.0	4544.0
180.0	4791.0
181.0	4575.0
182.0	4555.0
183.0	4229.0
184.0	4343.0
185.0	4085.0
186.0	4117.0
187.0	4110.0
188.0	4253.0
189.0	4260.0
190.0	3322.0
191.0	4294.0
192.0	3948.0
193.0	4092.0
194.0	4066.0
195.0	3615.0
196.0	3889.0
197.0	3356.0
198.0	3658.0
199.0	3593.0
200.0	4000.0
201.0	3641.0
202.0	3685.0
203.0	3604.0
204.0	4109.0
205.0	3984.0
206.0	3980.0
207.0	3758.0
208.0	4190.0
209.0	3919.0
210.0	4104.0
211.0	3449.0
212.0	4348.0
213.0	4004.0
214.0	4330.0
215.0	3982.0
216.0	4319.0
217.0	4255.0
218.0	5175.0
219.0	5376.0
220.0	4973.0
221.0	5480.0
222.0	5005.0
223.0	5403.0
224.0	5276.0
225.0	5227.0
226.0	6554.0
227.0	5583.0
228.0	6868.0
229.0	6617.0
230.0	7282.0
231.0	7961.0
232.0	8047.0
233.0	8954.0
234.0	9615.0
235.0	10109.0
236.0	10616.0
237.0	11799.0
238.0	10402.0
239.0	10572.0
240.0	11830.0
241.0	12805.0
242.0	13292.0
243.0	13755.0
244.0	22493.0
245.0	30245.0
246.0	34532.0
247.0	84789.0
248.0	151975.0
249.0	61739.0
250.0	503572.0
251.0	546325.0
252.0	9566.0
254.0	7524477.0
