#Coverage	Number of genomic locations
25.0	1.0
29.0	1.0
33.0	1.0
34.0	2.0
38.0	2.0
40.0	1.0
41.0	1.0
42.0	1.0
44.0	6.0
45.0	9.0
46.0	36.0
47.0	102.0
48.0	252.0
49.0	539.0
50.0	967.0
51.0	1603.0
52.0	2566.0
53.0	3643.0
54.0	4716.0
55.0	5684.0
56.0	7416.0
57.0	9507.0
58.0	12104.0
59.0	15348.0
60.0	19204.0
61.0	24263.0
62.0	30156.0
63.0	38194.0
64.0	47783.0
65.0	58927.0
66.0	70878.0
67.0	84351.0
68.0	99517.0
69.0	115048.0
70.0	131869.0
71.0	149292.0
72.0	169450.0
73.0	188480.0
74.0	207039.0
75.0	225952.0
76.0	244441.0
77.0	262480.0
78.0	279419.0
79.0	294833.0
80.0	309402.0
81.0	325506.0
82.0	336675.0
83.0	342558.0
84.0	344622.0
85.0	341970.0
86.0	336782.0
87.0	330058.0
88.0	318076.0
89.0	304968.0
90.0	290319.0
91.0	274197.0
92.0	257599.0
93.0	242392.0
94.0	226309.0
95.0	209181.0
96.0	193751.0
97.0	176776.0
98.0	161261.0
99.0	145037.0
100.0	129973.0
101.0	116033.0
102.0	101797.0
103.0	89531.0
104.0	78264.0
105.0	67635.0
106.0	58574.0
107.0	50949.0
108.0	44474.0
109.0	38200.0
110.0	34045.0
111.0	29629.0
112.0	26273.0
113.0	22975.0
114.0	20578.0
115.0	18177.0
116.0	16470.0
117.0	14957.0
118.0	13948.0
119.0	13066.0
120.0	12371.0
121.0	12145.0
122.0	11987.0
123.0	12057.0
124.0	12021.0
125.0	11989.0
126.0	11624.0
127.0	11481.0
128.0	11195.0
129.0	10868.0
130.0	10796.0
131.0	10543.0
132.0	10487.0
133.0	10433.0
134.0	10324.0
135.0	9797.0
136.0	9601.0
137.0	9492.0
138.0	9266.0
139.0	9408.0
140.0	9524.0
141.0	9401.0
142.0	9509.0
143.0	9346.0
144.0	9115.0
145.0	8767.0
146.0	8310.0
147.0	7910.0
148.0	7702.0
149.0	7641.0
150.0	7381.0
151.0	7104.0
152.0	7055.0
153.0	6803.0
154.0	6763.0
155.0	6878.0
156.0	7169.0
157.0	7131.0
158.0	7499.0
159.0	7552.0
160.0	7518.0
161.0	7696.0
162.0	7679.0
163.0	7803.0
164.0	7879.0
165.0	8018.0
166.0	8059.0
167.0	7946.0
168.0	7996.0
169.0	8294.0
170.0	7998.0
171.0	7714.0
172.0	7408.0
173.0	7184.0
174.0	6654.0
175.0	6345.0
176.0	6119.0
177.0	5995.0
178.0	5934.0
179.0	6057.0
180.0	6272.0
181.0	6604.0
182.0	6842.0
183.0	7093.0
184.0	7266.0
185.0	7243.0
186.0	7523.0
187.0	7214.0
188.0	7168.0
189.0	6712.0
190.0	6344.0
191.0	6118.0
192.0	5766.0
193.0	5267.0
194.0	4873.0
195.0	4480.0
196.0	3960.0
197.0	3489.0
198.0	2892.0
199.0	2499.0
200.0	2144.0
201.0	1872.0
202.0	1678.0
203.0	1549.0
204.0	1540.0
205.0	1460.0
206.0	1554.0
207.0	1496.0
208.0	1558.0
209.0	1581.0
210.0	1617.0
211.0	1713.0
212.0	1837.0
213.0	1882.0
214.0	1886.0
215.0	2037.0
216.0	2047.0
217.0	2022.0
218.0	2132.0
219.0	2040.0
220.0	2183.0
221.0	2093.0
222.0	2207.0
223.0	2175.0
224.0	2213.0
225.0	2055.0
226.0	1954.0
227.0	1887.0
228.0	1884.0
229.0	1637.0
230.0	1649.0
231.0	1618.0
232.0	1581.0
233.0	1544.0
234.0	1482.0
235.0	1481.0
236.0	1318.0
237.0	1342.0
238.0	1312.0
239.0	1192.0
240.0	1146.0
241.0	1049.0
242.0	979.0
243.0	928.0
244.0	783.0
245.0	734.0
246.0	663.0
247.0	593.0
248.0	546.0
249.0	531.0
250.0	471.0
251.0	445.0
252.0	447.0
253.0	424.0
254.0	470.0
255.0	468.0
256.0	437.0
257.0	484.0
258.0	401.0
259.0	369.0
260.0	388.0
261.0	368.0
262.0	362.0
263.0	325.0
264.0	293.0
265.0	271.0
266.0	281.0
267.0	227.0
268.0	245.0
269.0	217.0
270.0	200.0
271.0	209.0
272.0	218.0
273.0	177.0
274.0	199.0
275.0	216.0
276.0	213.0
277.0	216.0
278.0	224.0
279.0	246.0
280.0	268.0
281.0	290.0
282.0	271.0
283.0	285.0
284.0	312.0
285.0	314.0
286.0	368.0
287.0	388.0
288.0	435.0
289.0	430.0
290.0	486.0
291.0	480.0
292.0	542.0
293.0	512.0
294.0	529.0
295.0	545.0
296.0	497.0
297.0	537.0
298.0	539.0
299.0	530.0
300.0	544.0
301.0	521.0
302.0	562.0
303.0	553.0
304.0	573.0
305.0	569.0
306.0	486.0
307.0	512.0
308.0	462.0
309.0	445.0
310.0	373.0
311.0	352.0
312.0	306.0
313.0	248.0
314.0	224.0
315.0	204.0
316.0	173.0
317.0	164.0
318.0	168.0
319.0	164.0
320.0	170.0
321.0	176.0
322.0	165.0
323.0	168.0
324.0	173.0
325.0	199.0
326.0	197.0
327.0	217.0
328.0	185.0
329.0	183.0
330.0	241.0
331.0	217.0
332.0	256.0
333.0	268.0
334.0	256.0
335.0	303.0
336.0	285.0
337.0	236.0
338.0	284.0
339.0	286.0
340.0	315.0
341.0	272.0
342.0	300.0
343.0	312.0
344.0	268.0
345.0	247.0
346.0	230.0
347.0	234.0
348.0	281.0
349.0	242.0
350.0	255.0
351.0	297.0
352.0	312.0
353.0	305.0
354.0	323.0
355.0	327.0
356.0	345.0
357.0	394.0
358.0	377.0
359.0	458.0
360.0	458.0
361.0	452.0
362.0	487.0
363.0	487.0
364.0	467.0
365.0	492.0
366.0	482.0
367.0	501.0
368.0	489.0
369.0	492.0
370.0	481.0
371.0	465.0
372.0	484.0
373.0	471.0
374.0	462.0
375.0	439.0
376.0	397.0
377.0	412.0
378.0	373.0
379.0	323.0
380.0	277.0
381.0	283.0
382.0	290.0
383.0	273.0
384.0	237.0
385.0	246.0
386.0	241.0
387.0	208.0
388.0	221.0
389.0	231.0
390.0	217.0
