#Coverage	Number of genomic locations
391.0	216.0
392.0	224.0
393.0	255.0
394.0	214.0
395.0	240.0
396.0	199.0
397.0	239.0
398.0	202.0
399.0	184.0
400.0	196.0
401.0	203.0
402.0	181.0
403.0	205.0
404.0	208.0
405.0	211.0
406.0	201.0
407.0	223.0
408.0	204.0
409.0	200.0
410.0	175.0
411.0	197.0
412.0	171.0
413.0	165.0
414.0	169.0
415.0	141.0
416.0	130.0
417.0	110.0
418.0	79.0
419.0	97.0
420.0	85.0
421.0	71.0
422.0	69.0
423.0	70.0
424.0	65.0
425.0	71.0
426.0	60.0
427.0	63.0
428.0	88.0
429.0	81.0
430.0	102.0
431.0	97.0
432.0	117.0
433.0	102.0
434.0	111.0
435.0	115.0
436.0	110.0
437.0	93.0
438.0	96.0
439.0	100.0
440.0	98.0
441.0	91.0
442.0	68.0
443.0	85.0
444.0	83.0
445.0	76.0
446.0	74.0
447.0	62.0
448.0	72.0
449.0	80.0
450.0	81.0
451.0	51.0
452.0	67.0
453.0	67.0
454.0	58.0
455.0	49.0
456.0	56.0
457.0	56.0
458.0	59.0
459.0	52.0
460.0	67.0
461.0	62.0
462.0	57.0
463.0	60.0
464.0	60.0
465.0	57.0
466.0	68.0
467.0	77.0
468.0	80.0
469.0	69.0
470.0	67.0
471.0	82.0
472.0	74.0
473.0	82.0
474.0	79.0
475.0	68.0
476.0	74.0
477.0	75.0
478.0	66.0
479.0	51.0
480.0	54.0
481.0	53.0
482.0	50.0
483.0	46.0
484.0	34.0
485.0	35.0
486.0	25.0
487.0	40.0
488.0	25.0
489.0	26.0
490.0	21.0
491.0	19.0
492.0	21.0
493.0	22.0
494.0	14.0
495.0	19.0
496.0	20.0
497.0	17.0
498.0	30.0
499.0	26.0
500.0	20.0
501.0	21.0
502.0	21.0
503.0	23.0
504.0	34.0
505.0	36.0
506.0	49.0
507.0	46.0
508.0	47.0
509.0	45.0
510.0	47.0
511.0	57.0
512.0	51.0
513.0	68.0
514.0	68.0
515.0	76.0
516.0	71.0
517.0	66.0
518.0	66.0
519.0	87.0
520.0	63.0
521.0	65.0
522.0	84.0
523.0	79.0
524.0	73.0
525.0	48.0
526.0	70.0
527.0	56.0
528.0	49.0
529.0	43.0
530.0	52.0
531.0	36.0
532.0	28.0
533.0	46.0
534.0	41.0
535.0	38.0
536.0	40.0
537.0	37.0
538.0	58.0
539.0	44.0
540.0	59.0
541.0	50.0
542.0	44.0
543.0	58.0
544.0	68.0
545.0	67.0
546.0	63.0
547.0	61.0
548.0	63.0
549.0	45.0
550.0	57.0
551.0	47.0
552.0	49.0
553.0	33.0
554.0	47.0
555.0	34.0
556.0	35.0
557.0	24.0
558.0	22.0
559.0	18.0
560.0	12.0
561.0	8.0
562.0	5.0
563.0	8.0
564.0	7.0
565.0	8.0
566.0	10.0
567.0	8.0
568.0	9.0
569.0	8.0
570.0	10.0
571.0	5.0
572.0	6.0
573.0	8.0
574.0	13.0
575.0	3.0
576.0	9.0
577.0	9.0
578.0	11.0
579.0	11.0
580.0	24.0
581.0	16.0
582.0	18.0
583.0	25.0
584.0	26.0
585.0	35.0
586.0	24.0
587.0	32.0
588.0	35.0
589.0	32.0
590.0	35.0
591.0	20.0
592.0	17.0
593.0	25.0
594.0	22.0
595.0	19.0
596.0	16.0
597.0	10.0
598.0	7.0
599.0	7.0
600.0	2.0
601.0	6.0
602.0	3.0
603.0	3.0
604.0	1.0
