,Var1,Var2,value
134,STnc840,Xenorhabdus,NA
135,DapZ,Xenorhabdus,NA
136,STnc2070,Xenorhabdus,NA
137,sRNA12,Xenorhabdus,NA
138,STnc1420,Xenorhabdus,NA
139,STnc1460,Xenorhabdus,NA
140,STnc3160,Xenorhabdus,NA
141,sRNA10,Xenorhabdus,NA
142,MgrR,Xenorhabdus,NA
143,RyfA,Xenorhabdus,NA
144,STnc920,Xenorhabdus,NA
145,MicC,Xenorhabdus,NA
146,STnc1380,Xenorhabdus,77.2
147,STnc1560,Xenorhabdus,NA
148,tp2,Xenorhabdus,NA
149,STnc3130,Xenorhabdus,NA
150,C0664,Xenorhabdus,NA
151,STnc4010,Xenorhabdus,NA
152,STnc1640,Xenorhabdus,NA
153,STnc3870,Xenorhabdus,NA
154,RybA,Xenorhabdus,NA
155,IstR‑1_2,Xenorhabdus,NA
156,STnc3000,Xenorhabdus,NA
157,SraL,Xenorhabdus,NA
158,STnc850,Xenorhabdus,NA
159,STnc4180,Xenorhabdus,NA
160,STnc1670,Xenorhabdus,NA
161,STnc1860,Xenorhabdus,NA
162,STnc2100,Xenorhabdus,NA
163,STnc1040,Xenorhabdus,NA
164,OxyS,Xenorhabdus,NA
165,MicF,Xenorhabdus,NA
166,DsrA,Xenorhabdus,NA
167,STnc200,Xenorhabdus,NA
168,STnc880,Xenorhabdus,NA
169,tpke70,Xenorhabdus,NA
170,STnc1340,Xenorhabdus,NA
171,STnc3850,Xenorhabdus,NA
172,ChiX,Xenorhabdus,NA
173,STnc2180,Xenorhabdus,NA
174,SroC,Xenorhabdus,NA
175,STnc4080,Xenorhabdus,NA
176,OmrB,Xenorhabdus,NA
177,t44,Xenorhabdus,NA
178,CyaR,Xenorhabdus,61.5
179,RyhB‑1,Xenorhabdus,65.2
180,STnc2130,Xenorhabdus,NA
181,RprA,Xenorhabdus,NA
182,ArcZ,Xenorhabdus,68
183,SraA,Xenorhabdus,NA
184,tpke11,Xenorhabdus,75.3333333333333
185,SraF,Xenorhabdus,NA
186,STnc800,Xenorhabdus,59.3333333333333
187,STnc790,Xenorhabdus,64
188,OmrA,Xenorhabdus,NA
