,Var1,Var2,value
745,MicC,Pectobacterium,NA
746,STnc1380,Pectobacterium,88
747,STnc1560,Pectobacterium,NA
748,tp2,Pectobacterium,NA
749,STnc3130,Pectobacterium,NA
750,C0664,Pectobacterium,NA
751,STnc4010,Pectobacterium,NA
752,STnc1640,Pectobacterium,NA
753,STnc3870,Pectobacterium,65
754,RybA,Pectobacterium,NA
755,IstR‑1_2,Pectobacterium,NA
756,STnc3000,Pectobacterium,NA
757,SraL,Pectobacterium,NA
758,STnc850,Pectobacterium,NA
759,STnc4180,Pectobacterium,NA
760,STnc1670,Pectobacterium,NA
761,STnc1860,Pectobacterium,NA
762,STnc2100,Pectobacterium,NA
763,STnc1040,Pectobacterium,90.2857142857143
764,OxyS,Pectobacterium,NA
765,MicF,Pectobacterium,NA
766,DsrA,Pectobacterium,NA
767,STnc200,Pectobacterium,NA
768,STnc880,Pectobacterium,NA
769,tpke70,Pectobacterium,NA
770,STnc1340,Pectobacterium,NA
771,STnc3850,Pectobacterium,NA
772,ChiX,Pectobacterium,NA
773,STnc2180,Pectobacterium,88
774,SroC,Pectobacterium,NA
775,STnc4080,Pectobacterium,NA
776,OmrB,Pectobacterium,NA
777,t44,Pectobacterium,68
778,CyaR,Pectobacterium,52
779,RyhB‑1,Pectobacterium,71
780,STnc2130,Pectobacterium,NA
781,RprA,Pectobacterium,NA
782,ArcZ,Pectobacterium,NA
783,SraA,Pectobacterium,70.25
784,tpke11,Pectobacterium,NA
785,SraF,Pectobacterium,72
786,STnc800,Pectobacterium,64.625
787,STnc790,Pectobacterium,63.5
788,OmrA,Pectobacterium,75.5
789,CsrB,Pectobacterium,61.125
790,FnrS,Pectobacterium,95.125
791,GlmZ,Pectobacterium,72
792,MicA,Pectobacterium,79.875
793,STnc870,Pectobacterium,84
794,SdsR,Pectobacterium,90.75
795,SroG,Pectobacterium,85.75
796,SraG,Pectobacterium,75.125
797,STnc700,Pectobacterium,86.75
798,Spf,Pectobacterium,95
799,GlmY,Pectobacterium,57.375
800,GcvB,Pectobacterium,82.125
801,STnc3800,Rahnella,NA
802,STnc1310,Rahnella,NA
803,STnc1280,Rahnella,NA
804,STnc2080,Rahnella,NA
805,STnc1920,Rahnella,NA
806,STnc1740,Rahnella,NA
807,STnc2160,Rahnella,NA
808,STnc400,Rahnella,NA
809,STnc4130,Rahnella,NA
810,STnc3170,Rahnella,NA
811,STnc1400,Rahnella,NA
812,STnc4100,Rahnella,NA
813,IsrB‑1,Rahnella,NA
814,IsrB‑2,Rahnella,NA
815,STnc1480,Rahnella,NA
816,STnc1080,Rahnella,NA
817,STnc1390,Rahnella,NA
818,IsrF,Rahnella,NA
819,STnc3300,Rahnella,NA
820,IsrJ,Rahnella,NA
821,STnc3060,Rahnella,NA
822,IsrC,Rahnella,NA
823,STnc780,Rahnella,NA
824,STnc750,Rahnella,NA
825,STnc1710,Rahnella,NA
826,STnc3920,Rahnella,NA
827,STnc4070,Rahnella,NA
828,STnc290,Rahnella,NA
829,STnc3200,Rahnella,NA
830,STnc2050,Rahnella,NA
831,STnc500,Rahnella,NA
832,STnc3760,Rahnella,NA
833,STnc1700,Rahnella,NA
834,IsrP,Rahnella,NA
835,STnc3530,Rahnella,NA
836,STnc1150,Rahnella,NA
837,STnc3630,Rahnella,NA
838,STnc3890,Rahnella,NA
839,STnc1760,Rahnella,NA
840,STnc380,Rahnella,NA
841,STnc1890,Rahnella,NA
842,STnc3280,Rahnella,NA
843,IsrD,Rahnella,NA
844,STnc4110,Rahnella,NA
845,IsrH_1_2,Rahnella,NA
846,STnc070,Rahnella,NA
847,STnc3180,Rahnella,NA
848,STnc3500,Rahnella,NA
849,STnc3420,Rahnella,NA
850,STnc3990,Rahnella,NA
851,STnc3030,Rahnella,NA
852,STnc3740,Rahnella,NA
853,STnc950,Rahnella,NA
854,STnc4260,Rahnella,NA
855,STnc470,Rahnella,NA
856,STnc310,Rahnella,NA
857,STnc1990,Rahnella,NA
858,STnc3330,Rahnella,NA
859,IsrO,Rahnella,NA
860,STnc760,Rahnella,NA
861,STnc1690,Rahnella,NA
862,IsrQ,Rahnella,NA
863,STnc4210,Rahnella,NA
864,STnc3230,Rahnella,NA
865,STnc440,Rahnella,NA
866,STnc3750,Rahnella,NA
867,sRNA1,Rahnella,NA
868,STnc2030,Rahnella,NA
869,InvR,Rahnella,NA
870,STnc890,Rahnella,NA
871,STnc1600,Rahnella,NA
872,STnc1880,Rahnella,NA
873,STnc3620,Rahnella,NA
874,STnc3580,Rahnella,NA
875,STnc1870,Rahnella,NA
876,STnc3050,Rahnella,NA
877,STnc3090,Rahnella,NA
878,STnc4160,Rahnella,NA
879,STnc340,Rahnella,NA
880,STnc980,Rahnella,NA
881,STnc3610,Rahnella,NA
882,STnc3350,Rahnella,NA
883,sRNA9,Rahnella,NA
884,STnc3640,Rahnella,NA
885,RseX,Rahnella,NA
886,STnc3970,Rahnella,NA
887,STnc1010,Rahnella,NA
888,STnc3480,Rahnella,NA
889,STnc150,Rahnella,NA
890,STnc3830,Rahnella,NA
891,STnc740,Rahnella,NA
892,STnc1510,Rahnella,NA
893,STnc540,Rahnella,NA
894,STnc1500,Rahnella,NA
895,STnc1650,Rahnella,NA
896,STnc2110,Rahnella,NA
897,STnc3010,Rahnella,NA
898,RyjB,Rahnella,NA
899,STnc3040,Rahnella,NA
900,STnc810,Rahnella,NA
901,IsrK,Rahnella,NA
902,RybD,Rahnella,NA
903,STnc1210,Rahnella,NA
904,STnc1470,Rahnella,NA
905,STnc3150,Rahnella,NA
906,STnc3340,Rahnella,NA
907,STnc3720,Rahnella,NA
908,STnc1200,Rahnella,NA
909,STnc480,Rahnella,NA
910,STnc1160,Rahnella,NA
911,STnc350,Rahnella,NA
912,STnc4000,Rahnella,NA
913,STnc3250,Rahnella,NA
914,STnc3570,Rahnella,NA
915,STnc4170,Rahnella,75
916,STnc3730,Rahnella,NA
917,RydC,Rahnella,NA
918,STnc1030,Rahnella,NA
919,STnc1060,Rahnella,NA
920,STnc490,Rahnella,93
921,STnc1180,Rahnella,NA
922,RygD,Rahnella,NA
923,RygC,Rahnella,NA
924,STnc710,Rahnella,NA
925,SraB,Rahnella,NA
926,STnc520,Rahnella,NA
927,STnc1110,Rahnella,NA
928,STnc3390,Rahnella,NA
929,STnc630,Rahnella,NA
930,IsrN,Rahnella,63
931,RyeC,Rahnella,NA
932,RydB,Rahnella,NA
933,STnc2040,Rahnella,NA
934,STnc840,Rahnella,NA
935,DapZ,Rahnella,NA
936,STnc2070,Rahnella,76
937,sRNA12,Rahnella,NA
938,STnc1420,Rahnella,NA
939,STnc1460,Rahnella,57
940,STnc3160,Rahnella,NA
941,sRNA10,Rahnella,NA
942,MgrR,Rahnella,NA
943,RyfA,Rahnella,68
944,STnc920,Rahnella,NA
945,MicC,Rahnella,NA
946,STnc1380,Rahnella,NA
947,STnc1560,Rahnella,NA
948,tp2,Rahnella,60.3333333333333
949,STnc3130,Rahnella,NA
950,C0664,Rahnella,NA
951,STnc4010,Rahnella,NA
952,STnc1640,Rahnella,NA
953,STnc3870,Rahnella,55.5
954,RybA,Rahnella,NA
955,IstR‑1_2,Rahnella,NA
956,STnc3000,Rahnella,NA
957,SraL,Rahnella,NA
958,STnc850,Rahnella,NA
959,STnc4180,Rahnella,NA
960,STnc1670,Rahnella,NA
961,STnc1860,Rahnella,NA
962,STnc2100,Rahnella,NA
963,STnc1040,Rahnella,NA
964,OxyS,Rahnella,NA
965,MicF,Rahnella,NA
966,DsrA,Rahnella,NA
967,STnc200,Rahnella,NA
968,STnc880,Rahnella,NA
969,tpke70,Rahnella,NA
970,STnc1340,Rahnella,NA
971,STnc3850,Rahnella,NA
972,ChiX,Rahnella,NA
973,STnc2180,Rahnella,NA
974,SroC,Rahnella,NA
975,STnc4080,Rahnella,NA
976,OmrB,Rahnella,NA
977,t44,Rahnella,NA
978,CyaR,Rahnella,NA
979,RyhB‑1,Rahnella,82
980,STnc2130,Rahnella,NA
981,RprA,Rahnella,75.3333333333333
982,ArcZ,Rahnella,NA
983,SraA,Rahnella,NA
984,tpke11,Rahnella,55
985,SraF,Rahnella,71
986,STnc800,Rahnella,64.6666666666667
987,STnc790,Rahnella,61
988,OmrA,Rahnella,74.6666666666667
989,CsrB,Rahnella,67.3333333333333
990,FnrS,Rahnella,85
991,GlmZ,Rahnella,69.3333333333333
992,MicA,Rahnella,79
993,STnc870,Rahnella,87.6666666666667
994,SdsR,Rahnella,96
995,SroG,Rahnella,86.3333333333333
996,SraG,Rahnella,66.3333333333333
997,STnc700,Rahnella,80.6666666666667
998,Spf,Rahnella,97
999,GlmY,Rahnella,62.3333333333333
1000,GcvB,Rahnella,80
1001,STnc3800,Serratia,NA
1002,STnc1310,Serratia,NA
1003,STnc1280,Serratia,NA
1004,STnc2080,Serratia,NA
1005,STnc1920,Serratia,NA
1006,STnc1740,Serratia,NA
1007,STnc2160,Serratia,NA
1008,STnc400,Serratia,NA
1009,STnc4130,Serratia,NA
1010,STnc3170,Serratia,NA
1011,STnc1400,Serratia,NA
1012,STnc4100,Serratia,NA
1013,IsrB‑1,Serratia,NA
1014,IsrB‑2,Serratia,NA
1015,STnc1480,Serratia,NA
1016,STnc1080,Serratia,NA
1017,STnc1390,Serratia,NA
1018,IsrF,Serratia,NA
1019,STnc3300,Serratia,NA
1020,IsrJ,Serratia,NA
1021,STnc3060,Serratia,NA
1022,IsrC,Serratia,NA
1023,STnc780,Serratia,NA
1024,STnc750,Serratia,NA
1025,STnc1710,Serratia,NA
1026,STnc3920,Serratia,NA
1027,STnc4070,Serratia,NA
1028,STnc290,Serratia,NA
1029,STnc3200,Serratia,NA
1030,STnc2050,Serratia,87
1031,STnc500,Serratia,NA
1032,STnc3760,Serratia,NA
1033,STnc1700,Serratia,NA
1034,IsrP,Serratia,NA
1035,STnc3530,Serratia,NA
1036,STnc1150,Serratia,NA
1037,STnc3630,Serratia,NA
1038,STnc3890,Serratia,NA
1039,STnc1760,Serratia,NA
1040,STnc380,Serratia,NA
1041,STnc1890,Serratia,NA
1042,STnc3280,Serratia,NA
1043,IsrD,Serratia,NA
1044,STnc4110,Serratia,NA
1045,IsrH_1_2,Serratia,NA
1046,STnc070,Serratia,NA
1047,STnc3180,Serratia,NA
1048,STnc3500,Serratia,NA
1049,STnc3420,Serratia,NA
1050,STnc3990,Serratia,NA
1051,STnc3030,Serratia,NA
1052,STnc3740,Serratia,NA
1053,STnc950,Serratia,NA
1054,STnc4260,Serratia,NA
1055,STnc470,Serratia,NA
1056,STnc310,Serratia,NA
1057,STnc1990,Serratia,NA
1058,STnc3330,Serratia,NA
1059,IsrO,Serratia,NA
1060,STnc760,Serratia,NA
1061,STnc1690,Serratia,NA
1062,IsrQ,Serratia,NA
1063,STnc4210,Serratia,NA
1064,STnc3230,Serratia,NA
1065,STnc440,Serratia,NA
1066,STnc3750,Serratia,NA
1067,sRNA1,Serratia,NA
1068,STnc2030,Serratia,NA
1069,InvR,Serratia,NA
1070,STnc890,Serratia,NA
1071,STnc1600,Serratia,NA
1072,STnc1880,Serratia,NA
1073,STnc3620,Serratia,NA
1074,STnc3580,Serratia,NA
1075,STnc1870,Serratia,NA
1076,STnc3050,Serratia,NA
1077,STnc3090,Serratia,NA
1078,STnc4160,Serratia,NA
1079,STnc340,Serratia,NA
1080,STnc980,Serratia,NA
1081,STnc3610,Serratia,NA
1082,STnc3350,Serratia,NA
1083,sRNA9,Serratia,NA
1084,STnc3640,Serratia,NA
1085,RseX,Serratia,NA
1086,STnc3970,Serratia,NA
1087,STnc1010,Serratia,NA
1088,STnc3480,Serratia,NA
1089,STnc150,Serratia,NA
1090,STnc3830,Serratia,NA
1091,STnc740,Serratia,NA
1092,STnc1510,Serratia,NA
1093,STnc540,Serratia,NA
1094,STnc1500,Serratia,NA
1095,STnc1650,Serratia,NA
1096,STnc2110,Serratia,NA
1097,STnc3010,Serratia,NA
1098,RyjB,Serratia,NA
1099,STnc3040,Serratia,NA
1100,STnc810,Serratia,NA
1101,IsrK,Serratia,69
1102,RybD,Serratia,NA
1103,STnc1210,Serratia,NA
1104,STnc1470,Serratia,NA
1105,STnc3150,Serratia,NA
1106,STnc3340,Serratia,NA
1107,STnc3720,Serratia,NA
1108,STnc1200,Serratia,NA
1109,STnc480,Serratia,NA
1110,STnc1160,Serratia,NA
1111,STnc350,Serratia,NA
1112,STnc4000,Serratia,NA
1113,STnc3250,Serratia,NA
1114,STnc3570,Serratia,NA
1115,STnc4170,Serratia,NA
1116,STnc3730,Serratia,NA
1117,RydC,Serratia,NA
1118,STnc1030,Serratia,NA
1119,STnc1060,Serratia,NA
1120,STnc490,Serratia,NA
1121,STnc1180,Serratia,NA
1122,RygD,Serratia,NA
1123,RygC,Serratia,NA
1124,STnc710,Serratia,NA
1125,SraB,Serratia,NA
1126,STnc520,Serratia,NA
1127,STnc1110,Serratia,NA
1128,STnc3390,Serratia,NA
1129,STnc630,Serratia,NA
1130,IsrN,Serratia,70.1428571428571
1131,RyeC,Serratia,NA
1132,RydB,Serratia,NA
1133,STnc2040,Serratia,NA
1134,STnc840,Serratia,NA
1135,DapZ,Serratia,80
1136,STnc2070,Serratia,74
1137,sRNA12,Serratia,NA
1138,STnc1420,Serratia,NA
1139,STnc1460,Serratia,64.25
1140,STnc3160,Serratia,NA
1141,sRNA10,Serratia,NA
1142,MgrR,Serratia,NA
1143,RyfA,Serratia,67
1144,STnc920,Serratia,NA
1145,MicC,Serratia,NA
1146,STnc1380,Serratia,70.2
1147,STnc1560,Serratia,NA
1148,tp2,Serratia,NA
1149,STnc3130,Serratia,NA
1150,C0664,Serratia,NA
1151,STnc4010,Serratia,NA
1152,STnc1640,Serratia,NA
1153,STnc3870,Serratia,65
1154,RybA,Serratia,NA
1155,IstR‑1_2,Serratia,NA
1156,STnc3000,Serratia,NA
1157,SraL,Serratia,NA
1158,STnc850,Serratia,NA
1159,STnc4180,Serratia,NA
1160,STnc1670,Serratia,NA
1161,STnc1860,Serratia,NA
1162,STnc2100,Serratia,NA
1163,STnc1040,Serratia,83.4285714285714
1164,OxyS,Serratia,NA
1165,MicF,Serratia,NA
1166,DsrA,Serratia,NA
1167,STnc200,Serratia,NA
1168,STnc880,Serratia,NA
1169,tpke70,Serratia,NA
1170,STnc1340,Serratia,NA
1171,STnc3850,Serratia,NA
1172,ChiX,Serratia,NA
1173,STnc2180,Serratia,88
1174,SroC,Serratia,NA
1175,STnc4080,Serratia,NA
1176,OmrB,Serratia,76.5
1177,t44,Serratia,56
1178,CyaR,Serratia,71.7
1179,RyhB‑1,Serratia,79
1180,STnc2130,Serratia,74.3636363636364
1181,RprA,Serratia,69.5833333333333
1182,ArcZ,Serratia,76
1183,SraA,Serratia,79.6153846153846
1184,tpke11,Serratia,48.875
1185,SraF,Serratia,72.6923076923077
1186,STnc800,Serratia,63
1187,STnc790,Serratia,63.7692307692308
1188,OmrA,Serratia,77.4615384615385
1189,CsrB,Serratia,68.3076923076923
1190,FnrS,Serratia,81.6153846153846
1191,GlmZ,Serratia,75.3076923076923
1192,MicA,Serratia,85
1193,STnc870,Serratia,92.6153846153846
1194,SdsR,Serratia,89.9230769230769
1195,SroG,Serratia,84.8461538461538
1196,SraG,Serratia,69.9230769230769
1197,STnc700,Serratia,81.3076923076923
1198,Spf,Serratia,97.8461538461538
1199,GlmY,Serratia,66.3076923076923
1200,GcvB,Serratia,80.6153846153846
1201,STnc3800,Yersinia,NA
1202,STnc1310,Yersinia,NA
1203,STnc1280,Yersinia,NA
1204,STnc2080,Yersinia,NA
1205,STnc1920,Yersinia,NA
1206,STnc1740,Yersinia,NA
1207,STnc2160,Yersinia,NA
1208,STnc400,Yersinia,NA
1209,STnc4130,Yersinia,NA
1210,STnc3170,Yersinia,NA
1211,STnc1400,Yersinia,NA
1212,STnc4100,Yersinia,NA
1213,IsrB‑1,Yersinia,NA
1214,IsrB‑2,Yersinia,NA
1215,STnc1480,Yersinia,NA
1216,STnc1080,Yersinia,NA
1217,STnc1390,Yersinia,NA
1218,IsrF,Yersinia,NA
1219,STnc3300,Yersinia,NA
1220,IsrJ,Yersinia,NA
1221,STnc3060,Yersinia,NA
1222,IsrC,Yersinia,NA
1223,STnc780,Yersinia,NA
1224,STnc750,Yersinia,NA
1225,STnc1710,Yersinia,NA
1226,STnc3920,Yersinia,NA
1227,STnc4070,Yersinia,NA
1228,STnc290,Yersinia,NA
1229,STnc3200,Yersinia,NA
1230,STnc2050,Yersinia,NA
1231,STnc500,Yersinia,NA
1232,STnc3760,Yersinia,NA
1233,STnc1700,Yersinia,NA
1234,IsrP,Yersinia,NA
1235,STnc3530,Yersinia,NA
1236,STnc1150,Yersinia,NA
1237,STnc3630,Yersinia,NA
1238,STnc3890,Yersinia,NA
1239,STnc1760,Yersinia,NA
1240,STnc380,Yersinia,NA
1241,STnc1890,Yersinia,NA
1242,STnc3280,Yersinia,NA
1243,IsrD,Yersinia,NA
1244,STnc4110,Yersinia,NA
1245,IsrH_1_2,Yersinia,NA
1246,STnc070,Yersinia,NA
1247,STnc3180,Yersinia,NA
1248,STnc3500,Yersinia,NA
1249,STnc3420,Yersinia,NA
1250,STnc3990,Yersinia,NA
1251,STnc3030,Yersinia,NA
1252,STnc3740,Yersinia,NA
1253,STnc950,Yersinia,NA
1254,STnc4260,Yersinia,NA
1255,STnc470,Yersinia,NA
1256,STnc310,Yersinia,NA
1257,STnc1990,Yersinia,NA
1258,STnc3330,Yersinia,NA
1259,IsrO,Yersinia,NA
1260,STnc760,Yersinia,NA
1261,STnc1690,Yersinia,NA
1262,IsrQ,Yersinia,NA
1263,STnc4210,Yersinia,NA
1264,STnc3230,Yersinia,NA
1265,STnc440,Yersinia,NA
1266,STnc3750,Yersinia,NA
1267,sRNA1,Yersinia,NA
1268,STnc2030,Yersinia,NA
1269,InvR,Yersinia,NA
1270,STnc890,Yersinia,NA
1271,STnc1600,Yersinia,NA
1272,STnc1880,Yersinia,NA
1273,STnc3620,Yersinia,NA
1274,STnc3580,Yersinia,NA
1275,STnc1870,Yersinia,NA
1276,STnc3050,Yersinia,NA
1277,STnc3090,Yersinia,NA
1278,STnc4160,Yersinia,NA
1279,STnc340,Yersinia,NA
1280,STnc980,Yersinia,NA
1281,STnc3610,Yersinia,NA
1282,STnc3350,Yersinia,NA
1283,sRNA9,Yersinia,NA
1284,STnc3640,Yersinia,58
1285,RseX,Yersinia,NA
1286,STnc3970,Yersinia,NA
1287,STnc1010,Yersinia,NA
1288,STnc3480,Yersinia,NA
1289,STnc150,Yersinia,NA
1290,STnc3830,Yersinia,NA
1291,STnc740,Yersinia,NA
1292,STnc1510,Yersinia,NA
1293,STnc540,Yersinia,NA
1294,STnc1500,Yersinia,NA
1295,STnc1650,Yersinia,NA
1296,STnc2110,Yersinia,NA
1297,STnc3010,Yersinia,NA
1298,RyjB,Yersinia,NA
1299,STnc3040,Yersinia,NA
1300,STnc810,Yersinia,NA
1301,IsrK,Yersinia,65.6666666666667
1302,RybD,Yersinia,NA
1303,STnc1210,Yersinia,NA
1304,STnc1470,Yersinia,NA
1305,STnc3150,Yersinia,NA
1306,STnc3340,Yersinia,NA
1307,STnc3720,Yersinia,NA
1308,STnc1200,Yersinia,80.8571428571429
1309,STnc480,Yersinia,NA
1310,STnc1160,Yersinia,82.8888888888889
1311,STnc350,Yersinia,NA
1312,STnc4000,Yersinia,NA
1313,STnc3250,Yersinia,NA
1314,STnc3570,Yersinia,NA
1315,STnc4170,Yersinia,72.7777777777778
1316,STnc3730,Yersinia,NA
1317,RydC,Yersinia,NA
1318,STnc1030,Yersinia,60.9230769230769
1319,STnc1060,Yersinia,NA
1320,STnc490,Yersinia,94.0238095238095
1321,STnc1180,Yersinia,NA
1322,RygD,Yersinia,NA
1323,RygC,Yersinia,NA
1324,STnc710,Yersinia,NA
1325,SraB,Yersinia,NA
1326,STnc520,Yersinia,NA
1327,STnc1110,Yersinia,NA
1328,STnc3390,Yersinia,NA
1329,STnc630,Yersinia,NA
1330,IsrN,Yersinia,66.5
1331,RyeC,Yersinia,NA
1332,RydB,Yersinia,NA
1333,STnc2040,Yersinia,NA
1334,STnc840,Yersinia,NA
1335,DapZ,Yersinia,81.1428571428571
1336,STnc2070,Yersinia,80.875
1337,sRNA12,Yersinia,NA
1338,STnc1420,Yersinia,NA
1339,STnc1460,Yersinia,58.6666666666667
1340,STnc3160,Yersinia,NA
1341,sRNA10,Yersinia,NA
1342,MgrR,Yersinia,NA
1343,RyfA,Yersinia,65.25
1344,STnc920,Yersinia,NA
1345,MicC,Yersinia,NA
1346,STnc1380,Yersinia,75.4333333333333
1347,STnc1560,Yersinia,NA
1348,tp2,Yersinia,NA
1349,STnc3130,Yersinia,NA
1350,C0664,Yersinia,NA
1351,STnc4010,Yersinia,NA
1352,STnc1640,Yersinia,NA
1353,STnc3870,Yersinia,53.1
1354,RybA,Yersinia,NA
1355,IstR‑1_2,Yersinia,NA
1356,STnc3000,Yersinia,NA
1357,SraL,Yersinia,NA
1358,STnc850,Yersinia,NA
1359,STnc4180,Yersinia,NA
1360,STnc1670,Yersinia,NA
1361,STnc1860,Yersinia,NA
1362,STnc2100,Yersinia,NA
1363,STnc1040,Yersinia,79.25
1364,OxyS,Yersinia,NA
1365,MicF,Yersinia,NA
1366,DsrA,Yersinia,NA
1367,STnc200,Yersinia,NA
1368,STnc880,Yersinia,NA
1369,tpke70,Yersinia,NA
1370,STnc1340,Yersinia,NA
1371,STnc3850,Yersinia,NA
1372,ChiX,Yersinia,NA
1373,STnc2180,Yersinia,NA
1374,SroC,Yersinia,NA
1375,STnc4080,Yersinia,NA
1376,OmrB,Yersinia,NA
1377,t44,Yersinia,65.9473684210526
1378,CyaR,Yersinia,66
1379,RyhB‑1,Yersinia,82
1380,STnc2130,Yersinia,76.5294117647059
1381,RprA,Yersinia,NA
1382,ArcZ,Yersinia,66.9111111111111
1383,SraA,Yersinia,67.8846153846154
1384,tpke11,Yersinia,53.9047619047619
1385,SraF,Yersinia,73.6363636363636
1386,STnc800,Yersinia,66.6346153846154
1387,STnc790,Yersinia,62.72
1388,OmrA,Yersinia,72.3076923076923
1389,CsrB,Yersinia,65.9807692307692
1390,FnrS,Yersinia,82.9038461538462
1391,GlmZ,Yersinia,72.54
1392,MicA,Yersinia,82.8846153846154
1393,STnc870,Yersinia,85.8461538461538
1394,SdsR,Yersinia,91.5
1395,SroG,Yersinia,84.0576923076923
1396,SraG,Yersinia,69.8823529411765
1397,STnc700,Yersinia,83.4807692307692
1398,Spf,Yersinia,95.0384615384615
1399,GlmY,Yersinia,63.4807692307692
1400,GcvB,Yersinia,77.25
1401,STnc3800,Erwinia,NA
1402,STnc1310,Erwinia,NA
1403,STnc1280,Erwinia,NA
1404,STnc2080,Erwinia,NA
1405,STnc1920,Erwinia,NA
1406,STnc1740,Erwinia,NA
1407,STnc2160,Erwinia,NA
1408,STnc400,Erwinia,NA
1409,STnc4130,Erwinia,NA
1410,STnc3170,Erwinia,NA
1411,STnc1400,Erwinia,NA
1412,STnc4100,Erwinia,NA
1413,IsrB‑1,Erwinia,NA
1414,IsrB‑2,Erwinia,NA
1415,STnc1480,Erwinia,NA
1416,STnc1080,Erwinia,NA
1417,STnc1390,Erwinia,NA
1418,IsrF,Erwinia,NA
1419,STnc3300,Erwinia,NA
1420,IsrJ,Erwinia,NA
1421,STnc3060,Erwinia,NA
1422,IsrC,Erwinia,NA
1423,STnc780,Erwinia,NA
1424,STnc750,Erwinia,NA
1425,STnc1710,Erwinia,NA
1426,STnc3920,Erwinia,NA
1427,STnc4070,Erwinia,NA
1428,STnc290,Erwinia,NA
1429,STnc3200,Erwinia,NA
1430,STnc2050,Erwinia,NA
1431,STnc500,Erwinia,NA
1432,STnc3760,Erwinia,NA
1433,STnc1700,Erwinia,NA
1434,IsrP,Erwinia,NA
1435,STnc3530,Erwinia,NA
1436,STnc1150,Erwinia,NA
1437,STnc3630,Erwinia,NA
1438,STnc3890,Erwinia,NA
1439,STnc1760,Erwinia,NA
1440,STnc380,Erwinia,NA
1441,STnc1890,Erwinia,NA
1442,STnc3280,Erwinia,NA
1443,IsrD,Erwinia,NA
1444,STnc4110,Erwinia,NA
1445,IsrH_1_2,Erwinia,NA
1446,STnc070,Erwinia,NA
1447,STnc3180,Erwinia,NA
1448,STnc3500,Erwinia,NA
1449,STnc3420,Erwinia,NA
1450,STnc3990,Erwinia,NA
1451,STnc3030,Erwinia,NA
1452,STnc3740,Erwinia,NA
1453,STnc950,Erwinia,NA
1454,STnc4260,Erwinia,NA
1455,STnc470,Erwinia,NA
1456,STnc310,Erwinia,NA
1457,STnc1990,Erwinia,NA
1458,STnc3330,Erwinia,NA
1459,IsrO,Erwinia,NA
1460,STnc760,Erwinia,NA
1461,STnc1690,Erwinia,NA
1462,IsrQ,Erwinia,NA
1463,STnc4210,Erwinia,NA
1464,STnc3230,Erwinia,NA
1465,STnc440,Erwinia,NA
1466,STnc3750,Erwinia,NA
1467,sRNA1,Erwinia,NA
1468,STnc2030,Erwinia,NA
1469,InvR,Erwinia,NA
1470,STnc890,Erwinia,NA
1471,STnc1600,Erwinia,NA
1472,STnc1880,Erwinia,NA
1473,STnc3620,Erwinia,NA
1474,STnc3580,Erwinia,NA
1475,STnc1870,Erwinia,NA
1476,STnc3050,Erwinia,NA
1477,STnc3090,Erwinia,NA
1478,STnc4160,Erwinia,NA
1479,STnc340,Erwinia,NA
1480,STnc980,Erwinia,NA
1481,STnc3610,Erwinia,NA
1482,STnc3350,Erwinia,NA
1483,sRNA9,Erwinia,NA
1484,STnc3640,Erwinia,NA
1485,RseX,Erwinia,NA
1486,STnc3970,Erwinia,NA
1487,STnc1010,Erwinia,NA
1488,STnc3480,Erwinia,NA
1489,STnc150,Erwinia,NA
1490,STnc3830,Erwinia,NA
1491,STnc740,Erwinia,NA
1492,STnc1510,Erwinia,NA
1493,STnc540,Erwinia,NA
1494,STnc1500,Erwinia,NA
1495,STnc1650,Erwinia,NA
1496,STnc2110,Erwinia,NA
1497,STnc3010,Erwinia,NA
1498,RyjB,Erwinia,NA
1499,STnc3040,Erwinia,NA
1500,STnc810,Erwinia,NA
1501,IsrK,Erwinia,NA
1502,RybD,Erwinia,NA
1503,STnc1210,Erwinia,NA
1504,STnc1470,Erwinia,NA
1505,STnc3150,Erwinia,NA
1506,STnc3340,Erwinia,NA
1507,STnc3720,Erwinia,NA
1508,STnc1200,Erwinia,NA
1509,STnc480,Erwinia,NA
1510,STnc1160,Erwinia,NA
1511,STnc350,Erwinia,NA
1512,STnc4000,Erwinia,NA
1513,STnc3250,Erwinia,NA
1514,STnc3570,Erwinia,NA
1515,STnc4170,Erwinia,NA
1516,STnc3730,Erwinia,NA
1517,RydC,Erwinia,NA
1518,STnc1030,Erwinia,NA
1519,STnc1060,Erwinia,NA
1520,STnc490,Erwinia,NA
1521,STnc1180,Erwinia,NA
1522,RygD,Erwinia,NA
1523,RygC,Erwinia,NA
1524,STnc710,Erwinia,NA
1525,SraB,Erwinia,NA
1526,STnc520,Erwinia,76
1527,STnc1110,Erwinia,NA
1528,STnc3390,Erwinia,NA
1529,STnc630,Erwinia,NA
1530,IsrN,Erwinia,72.6666666666667
1531,RyeC,Erwinia,NA
1532,RydB,Erwinia,NA
1533,STnc2040,Erwinia,NA
1534,STnc840,Erwinia,NA
1535,DapZ,Erwinia,NA
1536,STnc2070,Erwinia,NA
1537,sRNA12,Erwinia,NA
1538,STnc1420,Erwinia,NA
1539,STnc1460,Erwinia,NA
1540,STnc3160,Erwinia,NA
1541,sRNA10,Erwinia,NA
1542,MgrR,Erwinia,NA
1543,RyfA,Erwinia,NA
1544,STnc920,Erwinia,NA
1545,MicC,Erwinia,NA
