"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IYO_000005",1364.55464780281,-1.75526507761009,0.383319699708353,-4.57911523708687,4.66946898806254e-06,2.05719600141147e-05
"IYO_000010",1247.86914612592,-1.51201587082463,0.355281363577881,-4.25582658093233,2.08278101709422e-05,7.96550767681597e-05
"IYO_000045",566.919570874173,1.98806580118334,0.268610518492523,7.40129542335357,1.34862323216201e-13,2.26732408713481e-12
"IYO_000080",400.7642432533,1.2455723115733,0.237335300628719,5.24815443919923,1.53630484735183e-07,9.50711201813358e-07
"IYO_000085",117.658707620451,1.50764031749504,0.233011156743036,6.47024948748554,9.78412362140566e-11,1.03668938261779e-09
"IYO_000090",155.190588293003,2.04159070363513,0.312203170880713,6.5393016280901,6.18067614344565e-11,6.80927900121655e-10
"IYO_000095",268.56116988501,2.08954581350646,0.278097878493586,7.51370641453726,5.74764027336761e-14,1.01623171641883e-12
"IYO_000100",181.644792486065,1.97946779098934,0.275612296095937,7.18207358317682,6.86619469747214e-13,1.01372219683237e-11
"IYO_000105",1826.08779825816,2.0445920171895,0.306097349478983,6.67954825701579,2.39679909159689e-11,2.8337764869551e-10
"IYO_000115",201.687504636871,-2.6760923210892,0.24549364849488,-10.900861743252,1.1417082229201e-27,6.84671828116108e-26
"IYO_000135",2883.61367181651,2.40058357556522,0.352075870486203,6.8183700639584,9.20792035609594e-12,1.14694802379893e-10
"IYO_000190",71.6268333839877,-2.13637630508919,0.448502018087667,-4.76335940292603,1.90396285597857e-06,9.22177513174633e-06
"IYO_000205",82.4854658461076,-1.39458295428653,0.246212821937803,-5.6641361863714,1.4776701680425e-08,1.0744509209379e-07
"IYO_000225",90.2225431914279,2.15425824241029,0.306384441486333,7.03122597204853,2.04726620926668e-12,2.80210530336572e-11
"IYO_000230",191.925824311141,-2.29758023933657,0.469161524481573,-4.89720516164538,9.7209331491271e-07,4.97769965919651e-06
"IYO_000235",425.928729162656,-1.81960268274605,0.194824940778595,-9.33968040988087,9.66253319157535e-21,3.26784625438336e-19
"IYO_000255",428.564502053815,-1.63109088398445,0.280972484120588,-5.80516234210471,6.43036687518122e-09,5.11702381845816e-08
"IYO_000285",1261.12076823152,1.08648326585999,0.255249844612615,4.25654819695938,2.0760729768813e-05,7.95030711423209e-05
"IYO_000295",888.856120431823,1.69750027905737,0.301168615313275,5.63637840314678,1.73663558090859e-08,1.25024866016649e-07
"IYO_000300",1537.04581092767,3.05597407095195,0.441512042669367,6.92160977643017,4.46539898921808e-12,5.86348214904776e-11
"IYO_000305",439.340100771673,-1.57482211566174,0.333516338908105,-4.7218739592115,2.33681488609638e-06,1.11603055767017e-05
"IYO_000310",399.873507616157,-1.55602141273531,0.296189576473597,-5.25346445766643,1.49264491087868e-07,9.26650527916895e-07
