"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IYO_000005",1364.55464780281,-1.83215964983157,0.298577376296166,-6.1362976410316,8.446683694398e-10,6.92033226060749e-09
"IYO_000010",1247.86914612592,-1.59505572080867,0.276889197902444,-5.76062819673685,8.38014534352678e-09,6.05556589606152e-08
"IYO_000015",1388.07557572276,-1.08746091431997,0.176445457197649,-6.16315620470653,7.13091005660915e-10,5.9512917932992e-09
"IYO_000020",3288.58244054159,-1.25944554211766,0.335382054558013,-3.75525620706639,0.000173164246844745,0.000541266213807566
"IYO_000025",576.399626464543,-0.685980476605738,0.259194913825574,-2.64658154930992,0.00813098976803524,0.0169709248226268
"IYO_000030",355.443536227359,-0.953293992321106,0.489071660859704,-1.94919082133154,0.0512726406932085,0.0853651657399418
"IYO_000035",3133.7848291741,0.344232083009271,0.22838471819334,1.50724656943929,0.131747467458609,0.191987669112423
"IYO_000040",54.2899568956077,0.0818949187357091,0.238948924346697,0.342729807048161,0.731801736592764,0.791087831370479
"IYO_000045",566.919570874173,2.1512777626868,0.209257810759938,10.2805135678054,8.62666886013604e-25,3.53389667319798e-23
"IYO_000050",43.0041185761606,0.180218985229013,0.357451420541936,0.504177560564122,0.614136607530698,0.688993760078316
"IYO_000055",96.87151661403,-0.392105032667952,0.377715684164755,-1.03809571353918,0.299225496862576,0.381374828056443
"IYO_000060",124.623116971198,0.690860059611914,0.208686206807314,3.31052095000128,0.000931224810741737,0.00244667331711142
"IYO_000065",386.107751971801,0.593260495707938,0.134192535330374,4.42096495343325,9.82611114356418e-06,3.98039613663738e-05
"IYO_000070",65.4091500558809,-0.587540647337495,0.255494865107877,-2.29961822163988,0.0214698588418768,0.0400160746181344
"IYO_000075",64.4709779968556,-0.625204663624488,0.265343290284742,-2.35621056388339,0.0184624490820668,0.0351541951916146
"IYO_000080",400.7642432533,1.06969096857983,0.185540612693549,5.76526590621217,8.15291946342895e-09,5.89869807447341e-08
"IYO_000085",117.658707620451,1.11948764708102,0.18399261199072,6.08441629785375,1.16916461345356e-09,9.4197099119936e-09
"IYO_000090",155.190588293003,1.21644701776301,0.241027639247527,5.04691918968579,4.48991141743618e-07,2.37219025569721e-06
"IYO_000095",268.56116988501,1.18498437668462,0.214611792513157,5.5215249954728,3.3606999410997e-08,2.20148553574065e-07
"IYO_000100",181.644792486065,1.86414392123651,0.215735903681901,8.64086083689232,5.57910410394049e-18,1.33006756445171e-16
"IYO_000105",1826.08779825816,2.69023008284744,0.237694528471351,11.318014344498,1.06865044325579e-29,5.80966320412983e-28
"IYO_000110",48.5249499972094,1.9446424019925,0.27208594307292,7.1471623268363,8.85900968944027e-13,1.07809329212289e-11
"IYO_000115",201.687504636871,-1.5202046380643,0.209269582496769,-7.26433636425765,3.74874120224586e-13,4.80317787961765e-12
"IYO_000120",6.98966478258153,0.0549612725543995,0.616679609851518,0.0891245172961578,0.928982952940757,0.949564638850535
"IYO_000125",33.1109289637892,0.351204609563958,0.299150398900727,1.17400682350587,0.240392292516286,0.317157018455186
"IYO_000130",21.9937134271401,-0.595331861913942,0.431153698688862,-1.38078801996677,0.167344148085064,0.232491260905378
"IYO_000135",2883.61367181651,2.07961313794345,0.272746436750327,7.62471239852396,2.44579053457579e-14,3.60181355433604e-13
"IYO_000140",19.2175050624884,0.88186376003125,0.365392321228154,2.41347097023587,0.0158013865788556,0.0305777331101806
"IYO_000145",85.0863816059095,0.406683520848993,0.270901988475629,1.50122013920019,0.133298632675462,0.193808950765524
"IYO_000150",63.6609694113345,0.0490547439402677,0.258197193284103,0.189989454634741,0.849317394012841,0.890336868079419
"IYO_000155",662.641983119755,0.972224689571972,0.315466964299514,3.08185895702509,0.00205712283492373,0.00500890897059495
"IYO_000160",400.966166193437,0.801982077797648,0.168958149515385,4.74663151850287,2.06832255002265e-06,9.57154516585659e-06
"IYO_000165",266.53684487956,0.561958967365827,0.159237532330906,3.52906101432193,0.000417036967548034,0.00119502662080144
"IYO_000170",3.83322396422585,0.219557228961346,0.769372100261895,0.285371966161248,0.775359182726938,0.828896707421203
"IYO_000175",599.015023536544,0.272002448966791,0.384511681555956,0.707397101347124,0.479319737754844,0.566374232584887
"IYO_000180",345.716658687793,0.728368922585811,0.417900369422273,1.74292481146343,0.0813467493984013,0.127339623587325
"IYO_000185",248.705103799959,-0.771759444408311,0.280428768348281,-2.75206944335261,0.00592199616519076,0.0128442400048153
"IYO_000190",71.6268333839877,-1.34110858197149,0.372028704043889,-3.60485244120646,0.000312330334966578,0.000921013294488126
"IYO_000195",141.686241925448,-0.795353494517458,0.222515529636454,-3.5743729699087,0.000351068202799472,0.00102261579152956
"IYO_000200",12.2168445452169,0.730989771500874,0.426710847792519,1.71307988836578,0.0866978434366796,0.134881346689266
"IYO_000205",82.4854658461076,-1.35053858626995,0.218892383801933,-6.16987472479624,6.83441200993517e-10,5.72025534702055e-09
"IYO_000210",178.184209071303,0.28325212957058,0.15515909416631,1.82555931440906,0.0679166689876263,0.108835058815709
"IYO_000215",207.372131611593,-0.332047633558016,0.156703948123305,-2.11894874082393,0.0340947991574265,0.059845940464318
"IYO_000220",15.1116240963308,0.639219224079742,0.39602523178378,1.61408711561272,0.106508531681305,0.160632649414092
"IYO_000225",90.2225431914279,2.26856458625062,0.242711700557224,9.34674587604303,9.03857824196388e-21,2.65542472896484e-19
"IYO_000230",191.925824311141,-1.84371033203395,0.37425842040299,-4.92630287395725,8.38000709336174e-07,4.19866505272052e-06
"IYO_000235",425.928729162656,-1.56800145581362,0.160039882175605,-9.79756692205708,1.15330142299751e-22,3.83357393004373e-21
"IYO_000240",1745.1294094475,-1.06158777556783,0.303177624942164,-3.50153734389319,0.000462582138193976,0.00130941133716514
"IYO_000245",878.25963963114,-1.44951654455143,0.41547159545064,-3.48884631446156,0.000485109972734199,0.00136653012658346
"IYO_000250",284.470512652782,-1.07316697082899,0.231121539008324,-4.64330142241887,3.42885542882616e-06,1.52024786810074e-05
"IYO_000255",428.564502053815,-1.48218075140861,0.223662536561989,-6.62686194206607,3.42898051275647e-11,3.43311181457907e-10
