"","x"
"IYO_015535",10.8938441947522
"IYO_026035",2.09492087319546
"IYO_018115",0.919313505068786
"IYO_000990",10.7108956217926
"IYO_001355",10.7108956217926
"IYO_005980",10.7108956217926
"IYO_027300",10.7108956217926
"IYO_027930",10.7108956217926
"IYO_006750",7.76961102030035
"IYO_006790",9.45155969887908
"IYO_022025",4.70280359298681
"IYO_022020",5.58712372493979
"IYO_015990",4.99273436793422
"IYO_002645",2.99111756926633
"IYO_003480",2.99111756926633
"IYO_011415",2.99111756926633
"IYO_023550",2.99111756926633
"IYO_028495",2.99111756926633
"IYO_002625",9.78500529911738
"IYO_003460",9.78500529911738
"IYO_011395",9.78500529911738
"IYO_023570",9.78500529911738
"IYO_027905",5.24882985532781
"IYO_028515",10.2871242695818
"IYO_028770",5.70637952759589
"IYO_000975",3.61562643169287
"IYO_008385",5.13298400536358
"IYO_023205",5.13298400536358
"IYO_026605",5.10419593261079
"IYO_017245",3.90980450273211
"IYO_013825",5.69725615706373
"IYO_017375",3.16768768655621
"IYO_016135",3.65535720368027
"IYO_011310",4.0091547769133
"IYO_028525",7.38344603758711
"IYO_011995",8.07118824869412
"IYO_014970",4.99851873856062
"IYO_006880",4.02346649373119
"IYO_006070",6.4948741809989
"IYO_016130",2.50721320765656
"IYO_005100",4.57048308311615
"IYO_006795",8.08197607412189
"IYO_006820",5.75733955543264
"IYO_006910",7.0597799257144
"IYO_024215",3.40818742844816
"IYO_027985",5.0188166607813
"IYO_006735",6.1811349459
"IYO_006875",3.60552665875621
"IYO_008285",4.03425631131977
"IYO_001190",5.08694171223786
"IYO_006420",8.71126368945714
"IYO_028520",6.18096063125187
"IYO_006870",3.3652113175066
"IYO_006905",4.94153302349367
"IYO_005580",3.77974954481852
"IYO_006860",3.87058291501572
"IYO_021635",4.49690028638234
"IYO_005735",4.60746567718695
"IYO_024340",4.00488066985487
"IYO_015395",2.6724233073057
"IYO_008282",5.54641146947692
"IYO_014235",4.57647991482098
"IYO_006825",4.86791739919017
"IYO_001395",2.45291714074716
"IYO_006830",6.31790869780241
"IYO_005550",2.33915195855303
"IYO_020425",5.38631482665348
"IYO_006900",4.40948897444299
"IYO_027920",5.02053143907951
"IYO_006730",5.02019390672529
"IYO_029700",3.87652628841303
"IYO_011420",1.90313338707414
"IYO_012000",4.935777791563
"IYO_029040",3.56504287467929
"IYO_018790",3.78001614875851
"IYO_014395",4.45841436111038
"IYO_006915",5.28853023572782
"IYO_001140",5.35989541533835
"IYO_014070",8.42230704850096
"IYO_003660",3.16183858223176
"IYO_027980",6.47923996178234
"IYO_017250",4.173929932069
"IYO_018555",5.89020555263108
"IYO_011850",7.09778910189303
"IYO_029640",3.42585258306267
"IYO_017240",4.13946421618161
"IYO_006015",6.51665894460888
"IYO_016115",4.31851189533301
"IYO_006765",3.77872443971217
"IYO_012010",5.33973452311515
"IYO_005240",1.72256851936665
"IYO_008620",6.2585530942335
"IYO_012120",3.01914601530903
"IYO_003600",6.10355112565755
"IYO_012005",4.83617526781894
"IYO_004052",4.75561763899115
"IYO_026680",4.60704852028853
"IYO_016100",2.75179518961786
"IYO_026610",3.88650095948467
"IYO_002640",11.3556220190282
"IYO_003475",11.3556220190282
"IYO_011410",11.3556220190282
"IYO_023555",11.3556220190282
"IYO_028500",11.3556220190282
"IYO_002060",7.249479868075
"IYO_008710",6.89276875207365
"IYO_016140",4.75234123347908
"IYO_026615",4.36884446196185
"IYO_011330",3.10145246756915
"IYO_004250",4.3236424567144
"IYO_001145",5.14417939855535
"IYO_006775",4.55863555728847
"IYO_006935",4.86786678596481
"IYO_006865",4.02852901210522
"IYO_018210",5.62916890975573
"IYO_028960",4.42805497448416
"IYO_001255",3.56637391853743
"IYO_027385",3.57646364464352
"IYO_026620",3.1471843532951
"IYO_028385",3.26650057738012
"IYO_016105",4.81381371374834
"IYO_016095",4.90408824063852
"IYO_010735",4.50824587217155
"IYO_009605",3.17060899496094
"IYO_000620",3.46227442304393
"IYO_014780",4.35010133429612
"IYO_008315",5.49023411558547
"IYO_008025",3.96258127454055
"IYO_027910",3.95633731719714
"IYO_029290",3.87891120921742
"IYO_000845",4.92460744823823
"IYO_022585",2.74039079164147
"IYO_021275",6.47545564038818
"IYO_020845",5.82619080899687
"IYO_020245",4.11463280695719
"IYO_010450",7.78784492451537
"IYO_012030",4.17957174363833
"IYO_012110",5.10272704896128
"IYO_027915",4.11568730763153
"IYO_016750",8.17329945817941
"IYO_006065",4.18969504013348
"IYO_006890",4.33375621770495
"IYO_014060",6.24676525221777
"IYO_013145",4.46916766297112
"IYO_016110",3.0380597411744
"IYO_018775",4.08559128348614
"IYO_022590",3.70714857875963
"IYO_015305",2.37978138930465
"IYO_009640",5.70672128748001
"IYO_016120",2.24449756122247
"IYO_006450",8.33083780747908
"IYO_014650",1.36879084995218
"IYO_026915",3.32079235281372
"IYO_018545",5.56114965576316
"IYO_015995",3.09245372859489
"IYO_000615",4.72570455704537
"IYO_003725",2.76421672042341
"IYO_010820",2.07519543983046
"IYO_009200",4.91177475195958
"IYO_003570",5.76204743108942
"IYO_006815",4.3168423729445
"IYO_005870",5.86907576700759
"IYO_009645",4.42573729019759
"IYO_023405",2.89054433583386
"IYO_027390",2.62823660586478
"IYO_022595",4.10553507031139
"IYO_024280",3.34009368393192
"IYO_026675",3.28921715047466
"IYO_012125",4.20854665907288
"IYO_023070",1.31049978035647
"IYO_005160",5.59198509239582
"IYO_009515",7.40076728732794
"IYO_015770",1.93608973366457
"IYO_029855",5.53188197431658
"IYO_000170",2.01530876081985
"IYO_006885",4.83952488496258
"IYO_024095",4.67733859767049
"IYO_014245",2.54003773741767
"IYO_028555",8.44908081025351
"IYO_020250",4.27012954076296
"IYO_012510",5.15687942978956
"IYO_010825",2.02870842144501
"IYO_023400",1.19301011333098
"IYO_026775",5.12608185864832
"IYO_018075",4.43532769402767
"IYO_029288",3.42942382797246
"IYO_015300",2.76729975429024
"IYO_006895",5.78658904188851
"IYO_018020",4.2992358209592
"IYO_012140",1.99339106043218
"IYO_018650",4.29865158465044
"IYO_012150",1.98600243008321
"IYO_029280",2.58044803843194
"IYO_009635",4.11911419214739
"IYO_006850",2.79767455996013
"IYO_027380",2.60483259334921
"IYO_000560",3.48188434370075
"IYO_026625",4.1393304041921
"IYO_021270",3.27525190605862
"IYO_006800",5.98567402129886
"IYO_005475",6.72651972795656
"IYO_006760",6.05127660427376
"IYO_018080",4.2379319666958
"IYO_009265",4.88409225403991
"IYO_027430",7.06625076229718
"IYO_016445",2.12358511787009
"IYO_001155",3.2675855098518
"IYO_001210",3.97150797555692
"IYO_006055",3.4200708413546
"IYO_004050",5.21351621184052
"IYO_014785",4.24955463134744
"IYO_006050",3.83855585148344
"IYO_012675",1.89031006854134
"IYO_009510",4.81847630051962
"IYO_028490",-0.0655980851162624
"IYO_001880",7.48534086436313
"IYO_023395",4.14807456769981
"IYO_019675",5.47686785985731
"IYO_018560",1.83473173912435
"IYO_021420",3.64248836049962
"IYO_002575",5.1107439523318
"IYO_009210",3.25828238710663
"IYO_001820",3.5500312709318
"IYO_014660",1.39830253323285
"IYO_005665",3.40932017655666
"IYO_003720",6.38119020606497
"IYO_028955",5.3286157150449
"IYO_006845",3.43259271604478
