"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38"
"IYO_015535",-0.100055390978967,-0.00917206333636705,-0.00605117245649739,-0.00361828518671666,0.000396953242664213,-0.0697969295979212,0.0259016116895337,-0.0939365591760668,0.0421840505677574,-0.041523907276072,0.0342021226357333,0.0169973376360597,0.0199303262869864,0.0209953769821507,0.00100983544628675,-0.0539147439620634,0.0399935409264599,0.0102622278403289,0.00123240074187779,-0.00718316226239072,-0.0173677777832012,0.0342011823967842,0.0216889781174877,0.0387722207262847,-0.0111199260703926,-0.00710998639360075,0.0250799224071516,0.00424563077859456,0.0325278496816496,0.0149855696190739,0.00941966382928452,0.0221470072430214,-0.00171220422847927,0.0292834266807139,0.000451206476243775,-0.0163342796795644,0.0100112803068256,-0.511975748235398
"IYO_026035",-0.0599937184479801,0.0137627326509166,-0.0301502396210537,0.0410465742527796,0.0131976122183313,-0.173009811208824,0.0670238943992519,-0.252880839055126,0.0437244255355125,0.2987401623055,-0.1289269609282,-0.23581148902088,0.155851354765933,0.136335255664952,0.0132331587811121,-0.115765008849874,0.221397050394824,0.149589915530846,0.0727381625603282,0.109638698822928,0.0480713549335329,-0.0395435925888194,-0.0414323839264111,0.111960596066205,0.0876737467303238,0.0823052956070454,-0.0679757076307316,-0.0554282316594298,-0.050956526903133,0.136331518420927,-0.176625362013149,0.0197240022557006,-0.0468157976422212,-0.0978925697817911,0.0821512278337405,0.0654544327163624,0.0771037129638725,-0.0619059248625562
"IYO_018115",-0.0611608192822648,-0.00924509013992317,-0.0827861220121813,0.0188015485798633,-0.0193861614081934,0.0908788423357613,0.123020636755827,-0.0911981328609164,-0.103626774791461,-0.135474117391532,-0.167456541591472,-0.36040838278335,0.172735146822732,-0.21556392489565,-0.028730996917044,0.132047239240106,-0.103636698140411,0.0320594005314018,-0.0754806695711963,-0.0989699504431759,0.00686686016834694,0.0441056032185175,-0.041298411545993,0.267595812345018,-0.128621051006761,0.0167225522582507,0.00702773271020495,0.0458773248211905,-0.0861535046706111,0.0269148030522023,0.0279785313752157,-0.183929398846172,-0.00216722817063877,0.0302734520580815,0.00830233561981824,-0.00119731225818212,0.0734321543613624,-0.086944668918488
"IYO_000990",-0.0921240894232393,-0.0204747620893499,0.0370219050557594,0.00785955336031747,-0.029802703240062,-0.0922791327929772,0.00965332001706186,-0.0183422660356332,0.037913662187501,-0.00727940772389971,0.00634394554718892,-0.0142457420958775,-0.0169434341272778,0.0189539188818313,0.00343641667534245,-0.0411458636156861,-0.00254476910464449,0.0376615558997353,0.0070201676194553,0.00264262823816409,0.00718180863156025,0.0107186001340473,0.026701219655384,-0.00638638326975125,-0.0604224741661751,0.00379138513988824,-0.012582622619007,-0.0149272160551598,0.0231677832139066,0.0102031691818761,-0.0201220072476511,0.0216669559866578,-0.0164494922969955,0.012772438095736,0.021057601823869,-0.0209371672245031,0.00873891702584157,0.0674848285438726
"IYO_001355",-0.0921240894232394,-0.0204747620893497,0.0370219050557595,0.00785955336031757,-0.0298027032400619,-0.0922791327929771,0.00965332001706194,-0.0183422660356331,0.0379136621875013,-0.0072794077238995,0.0063439455471885,-0.0142457420958775,-0.0169434341272777,0.0189539188818314,0.00343641667534241,-0.0411458636156862,-0.00254476910464429,0.0376615558997348,0.00702016761945512,0.002642628238164,0.00718180863156043,0.0107186001340471,0.0267012196553842,-0.00638638326975089,-0.0604224741661755,0.00379138513988767,-0.0125826226190077,-0.0149272160551594,0.0231677832139072,0.0102031691818768,-0.020122007247651,0.021666955986658,-0.0164494922969967,0.0127724380957366,0.0210576018238697,-0.0209371672245021,0.00873891702584114,0.0289169464403473
"IYO_005980",-0.0921240894232398,-0.0204747620893495,0.0370219050557591,0.00785955336031737,-0.0298027032400615,-0.0922791327929764,0.00965332001706122,-0.018342266035633,0.0379136621875017,-0.00727940772389954,0.00634394554718762,-0.0142457420958775,-0.0169434341272782,0.0189539188818313,0.00343641667534182,-0.0411458636156857,-0.0025447691046444,0.0376615558997352,0.00702016761945509,0.00264262823816389,0.00718180863155945,0.0107186001340475,0.0267012196553838,-0.00638638326975224,-0.0604224741661757,0.00379138513988713,-0.0125826226190087,-0.0149272160551595,0.0231677832139068,0.0102031691818763,-0.0201220072476493,0.0216669559866559,-0.0164494922969997,0.0127724380957387,0.0210576018238706,-0.0209371672245017,0.00873891702583941,0.0992068080144586
"IYO_027300",-0.0921240894232393,-0.0204747620893498,0.0370219050557594,0.00785955336031777,-0.0298027032400618,-0.0922791327929772,0.00965332001706174,-0.0183422660356331,0.0379136621875014,-0.00727940772389922,0.0063439455471887,-0.0142457420958775,-0.0169434341272779,0.0189539188818315,0.00343641667534231,-0.0411458636156861,-0.00254476910464458,0.0376615558997352,0.00702016761945508,0.00264262823816417,0.00718180863156017,0.0107186001340472,0.0267012196553838,-0.0063863832697514,-0.0604224741661757,0.00379138513988789,-0.012582622619007,-0.0149272160551602,0.0231677832139066,0.0102031691818767,-0.0201220072476505,0.0216669559866577,-0.0164494922969972,0.0127724380957365,0.0210576018238695,-0.0209371672245033,0.00873891702584228,0.0582079865038048
"IYO_027930",-0.0921240894232393,-0.0204747620893498,0.0370219050557595,0.00785955336031757,-0.0298027032400617,-0.0922791327929773,0.0096533200170617,-0.0183422660356332,0.0379136621875013,-0.00727940772389933,0.00634394554718869,-0.0142457420958773,-0.0169434341272777,0.0189539188818313,0.00343641667534228,-0.0411458636156862,-0.00254476910464457,0.0376615558997351,0.00702016761945519,0.00264262823816417,0.00718180863156013,0.0107186001340473,0.0267012196553838,-0.00638638326975111,-0.060422474166176,0.00379138513988769,-0.0125826226190071,-0.01492721605516,0.0231677832139066,0.0102031691818764,-0.0201220072476506,0.0216669559866577,-0.016449492296997,0.0127724380957367,0.0210576018238698,-0.0209371672245043,0.00873891702584048,-0.0110463493113501
"IYO_006750",-0.0896457212915031,0.0161214426875667,-0.0658864168966184,-0.016777183049713,0.0498959145375404,0.069990324843875,-0.0130798628032962,-0.00627753642438745,-0.049276172561096,0.0265664174350689,0.0207218248883555,-0.0163769476796342,0.015152637667246,0.020662799382949,0.0172872849455398,-0.0184888290228719,0.0189004826614705,-0.00119212658916108,-0.0095983269759367,0.00972454828337993,0.029905924449522,0.0119811116630617,0.0178142545228172,-0.0209251646371978,-0.0131510935038662,-0.00951238489086198,-0.00545294097751692,0.0092066592507672,-0.0129956935723073,-0.0132331537637322,0.0260660970764704,-0.0140245690714725,-0.00571432666370956,0.000398355282446978,0.0145741570600701,-0.00139540044834421,-0.00901098482462734,0.0118743862180674
"IYO_006790",-0.0919538439505213,0.00637160854584681,-0.034050009287554,-0.015163130781859,0.0594041713989172,0.03407837399869,-0.0307196586410472,-0.00495332305714811,0.0329690214544752,0.0449540525552252,0.0251761972014677,0.0370098580820261,0.0247974649970623,0.029814796752071,-0.00331528633935478,-0.00306213199784956,-0.0328275935057118,0.0235190750085317,-0.0118853169062106,0.00632330224492545,0.0204865072075072,-0.00349585421430851,-0.00550080237218495,0.0152198202246898,-0.00789310503679981,-0.00330046857892764,0.00247571000168506,0.0338036968741403,0.0189430720265265,-0.00931102106664471,0.011816657115377,0.00351636139413384,-0.0189592363029015,-0.00890398221048682,-0.023173929326643,-0.00173139702278183,-0.00139328005141281,0.039591459890326
