"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"IYO_000005",60.328194029861,93.3781226244061,67.8368029385154,65.2205705169102,95.4209798981244,110.277707999789,74.6812171780312,73.9202632096948,72.0686619031193,67.196036954371,84.164393191951,80.9109388628039,95.2343769284382,57.3000634249244,60.494978254651,105.958819548037,62.9816328126867,108.928420648516,44.0882921489705,83.8987490700169,85.1684204397604,92.477544747463,118.246737487356,104.303869764902,89.0869634087369,89.4087153122416,79.1638642439817,136.804711110174,138.960857949967,101.052729930947,101.881368907407,23.7393657554737,23.6386752396782,151.825998361705,156.193679475309,154.102743171709,52.5020504638979,47.3538965176757
"IYO_000010",65.3346616161695,93.4922765018101,45.2855610524305,67.4177883905951,89.818630589327,81.4957027032396,56.9165488814957,67.4353093061292,71.7740382815322,45.6030799477008,63.8266417186202,56.2999975676727,58.2031393451897,36.1160360985772,60.4917140291015,75.3266450318788,39.8147304807936,56.949374908299,38.552352577359,71.6885171433877,74.294950893866,61.6027139710925,88.4923354960367,11.5597660438203,71.9499499754683,94.110771902699,65.3263080594339,128.969250848422,116.408543766336,119.727553210713,109.097309778894,25.0858491884507,25.6716181064604,124.412643206137,124.221288793667,111.308400067601,50.7027646540455,53.7451933936479
"IYO_000015",30.1544592074628,14.3834271541246,31.6998927367014,36.9710452464554,57.9475036060174,34.6356736488768,62.8044677313056,35.3232572555915,47.8493588543548,34.7452037696768,41.0314125333987,26.614544304718,40.4188467674928,38.2405088102582,36.2950284174609,44.8372887094517,29.8610478605952,62.1265908090534,55.0747893962271,8.74250209065703,21.2271288268189,23.1010177391597,34.4136860262365,46.2390641752812,29.6264499898987,56.4664631416194,41.2587208796425,114.106901766615,116.922052781933,92.6728620221827,126.815871836958,71.9127676735588,59.6942445126127,166.604005182923,135.718241978995,109.905042667943,58.7150533894996,51.6727566303967
"IYO_000020",150.861181694805,136.334776309745,167.13961060779,184.737223728856,178.970933144584,175.978108099783,200.689799488111,237.999849603978,149.160252202876,160.15574408796,136.238475179869,164.969755364183,138.625929059946,127.219619361657,149.228155172133,201.372060740077,129.175925590977,192.231070315696,159.906831106716,152.020846265695,156.547114068672,164.515039872209,162.889223579397,139.372954685019,178.526599943464,221.1757927803,117.131062600819,297.177651751681,280.122995719041,246.313090975908,229.044611765456,73.5360987105973,76.4163056257448,346.890232072136,359.634536373274,344.963577050895,178.904572058222,175.221411974556
"IYO_000025",25.1375468624357,35.9103030401426,36.1747690265847,39.1309919933202,54.9283615695842,30.6398746676503,31.4489561299419,28.9277434814159,21.028621478998,39.0099668044101,36.387747539029,26.630347875061,25.8221086334982,31.8300237842903,24.198130990995,23.3499936587577,46.4032102672588,25.9402501820834,11.0227770511255,55.9305314538295,35.4976383797396,38.5353563188809,29.5680863300774,23.1845270079213,21.2161094326596,47.0573947431148,34.4227433494332,47.828215835181,47.9868801358071,34.505374950118,30.1165482685119,24.0728596997796,23.790918857654,59.9105877857843,64.4869242659494,54.5246476708332,34.9961419892921,36.8587162690169
"IYO_000030",45.2336680048198,35.9526005393086,9.05545002908481,17.397324601022,34.7589797894415,24.4565294452166,21.593011431068,16.0578718415692,7.48062770111184,6.51310696833498,22.7886636699755,14.3319652432585,37.1771473070742,14.8691727995567,28.2296924017191,16.144388994647,9.95242371883205,10.3571115164163,5.5079622223536,52.452513570963,30.0842545798924,35.9388094558007,19.6707821612546,23.1275556488457,46.570623790117,14.1166928297209,24.0710999157833,40.8377664660926,41.1548633484447,12.2309345844921,12.0338993209616,5.68584833864697,8.04067030019577,42.918190423286,42.2973964165307,36.7347778074146,20.2769703921811,24.0377992235308
"IYO_000035",181.051442621208,136.282542041576,286.726149620324,236.872366469919,265.402358673129,247.780367355158,196.83821700929,250.930856034143,188.577465097452,207.650654120541,247.335654743134,186.519039457279,198.166534014749,186.526864476144,157.297285144084,163.68407079918,211.918828736757,114.367883080693,137.87840090981,181.705770254641,163.820327863051,187.696649719298,167.94003094638,116.237369849648,221.195124882259,178.824955384157,161.970889286671,236.867148457085,232.143307137993,125.060894636922,133.48653008244,269.044639917747,265.293448514419,251.962880950643,247.934145355724,247.214324973476,255.065429722869,233.527027383425
"IYO_000040",10.0513168196425,7.18584190602727,15.8359895871654,28.2618058837163,26.0443658999069,20.3949518512941,19.6365752774853,22.4842515112006,4.49458048703214,13.0147498447573,20.4895670909482,12.2848306845062,19.3812857614809,14.8604152412711,16.1285984307806,17.9441859774962,9.94712153176802,10.3627471563487,5.50832814574088,15.7308213772568,28.342581799715,10.2694792093018,34.4462495966005,0,16.9468030672225,14.1143325001488,27.5160283365977,4.56404021839416,5.2107793528852,2.64999736633051,2.50582029203133,4.01225082677688,4.17268505541166,4.53495065581171,4.02046738602014,4.38889163886618,3.62709986406796,3.72824210660779
"IYO_000045",55.3055432593208,50.2642105140681,24.8645634608176,49.9978218634638,31.7899856056519,36.7822718414106,39.3200515143614,38.5757305559558,22.546093218135,32.4984250347306,45.4686546264826,32.7787594300367,35.4958216936588,55.1623381928966,20.1653028298471,34.1345829813948,46.3959986803883,51.8969464754149,49.6077967280639,24.4681653826915,26.6367897024518,33.4017258057413,44.3682072819701,34.7915825984833,46.6935921157235,28.2346121278906,24.100221824494,22.9940555137579,20.2415373371803,21.4359136431492,20.4274493705661,96.9543050215315,84.7996108264753,13.7227571936612,14.4751793944537,16.7933258220781,67.9755184657689,68.7390641116223
"IYO_000050",15.0629300855726,21.6233247767531,9.08072325118488,6.52733614012935,8.72713614841895,2.02673576425122,3.91298825719722,3.20460055031049,5.92804955694016,8.71781393142123,11.444587012085,24.5324978083701,24.3240932839073,34.0589058763778,12.0936139914192,8.9394423239671,13.2942978021497,0,16.4954472328374,12.2453543457447,10.5424214971971,12.8088250250441,24.4617071599613,11.4944393835436,12.6311194951979,14.1116582237717,13.7179973461077,4.3883434874446,4.86626240716334,1.38713363059017,1.33921611997352,4.68501534964349,1.70412427034142,3.38086790618837,3.53859765071527,3.48688036231864,3.01340309159791,3.04364212384976
