sRNA,aeruginosa,stutzeri,pseudoalcaligenes,mendocina,monteilii,mosselii,parafulva,protegens,putida,koreensis,brassicacearum,frederiksbergensis,fluorescens,chlororaphis,cerasi,savastanoi,amygdali,sp._58,avellanae,syringae_pv._avii,syringae_pv._cerasicola,syringae_pv._tomato,syringae_pv._actinidiae,Total_annotations,Missing_in
CP011972_ncRNA_5040669_5040833_rev,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,320
CP011972_ncRNA_5148068_5148376_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,11,320
CP011972_ncRNA_5306571_5306972_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,12,319
CP011972_ncRNA_5377254_5377679_rev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,10,14,317
CP011972_ncRNA_5438181_5438417_rev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,6,325
CP011972_ncRNA_5459360_5459656_fwd,86,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,1,1,9,106,225
CP011972_ncRNA_5459703_5459897_fwd,90,3,1,0,0,1,0,2,3,0,1,0,1,1,0,0,2,0,1,0,1,1,9,119,212
CP011972_ncRNA_5469984_5470208_fwd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,326
CP011972_ncRNA_5827137_5827361_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,2,10,23,308
CP011972_ncRNA_5953317_5953616_rev,0,0,0,0,0,0,0,0,2,1,4,1,3,0,1,2,2,1,1,0,1,1,10,32,299
CP011972_ncRNA_5958143_5958344_rev,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,10,15,316
CP011972_ncRNA_6013104_6013277_rev,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,314
CP011972_ncRNA_6049539_6049688_fwd,0,0,0,0,2,0,1,6,19,1,2,2,11,8,1,2,2,1,1,1,1,2,10,75,256
CP011972_ncRNA_6082989_6083300_rev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,2,10,21,310
CP011972_ncRNA_6513384_6513635_rev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10,15,316
CP011972_ncRNA_743622_743984_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,324
CP011972_ncRNA_745275_745542_rev,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,13,318
CP011972_ncRNA_760028_760267_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,9,17,314
CP011972_ncRNA_768152_768370_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,1,3,1,9,29,302
CP011972_ncRNA_806901_807143_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,323
CP011972_ncRNA_886333_886638_fwd,0,0,0,0,0,0,0,0,0,2,4,2,18,1,1,2,2,1,1,1,1,2,10,50,281
CP011972_ncRNA_905019_905228_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,10,14,317
CP011973_ncRNA_21610_21774_rev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,2,2,5,10,33,298
CP011973_ncRNA_30286_30528_rev,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,1,0,1,0,0,1,8,20,311
CP011973_ncRNA_48867_49061_fwd,4,0,0,0,0,0,0,0,3,1,0,0,1,1,3,2,3,3,6,3,1,3,12,52,279
CP011973_ncRNA_61080_61307_fwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,322
CP011973_ncRNA_61084_61315_rev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,11,320
