#Position (bp)	mapping quality
11243.5	149.15454660369963
33729.5	238.87537272140037
56215.5	243.26988820704457
78701.5	202.1756202384781
101187.5	242.12349875999666
123673.5	241.9910817444502
146159.5	224.1637494651146
168645.5	195.31452133812618
191131.5	240.43692944350718
213617.5	203.84893963980048
236103.5	237.96469395929924
258589.5	231.79599395128514
281075.5	192.60075647377565
303561.5	242.79183586178203
326047.5	241.63950008173168
348533.5	244.14594668818734
371019.5	160.0231961947319
393505.5	220.4221267064054
415991.5	242.89023464463065
438477.5	185.10961205363634
460963.5	215.35469944786266
483449.5	164.18235271888423
505935.5	231.02119219041165
528421.5	242.07454868836453
550907.5	242.94374085974547
573393.5	182.27127851908034
595879.5	243.03464192798347
618365.5	236.31761718702165
640851.5	120.52706669106577
663337.5	244.02366215284937
685823.5	227.81099400438796
708309.5	218.43207801489436
730795.5	241.74553919680855
753281.5	241.7985594125887
775767.5	243.20349456987643
798253.5	209.59120473349614
820739.5	237.19929503855258
843225.5	243.6857258181117
865711.5	244.05266766706666
888197.5	241.82061803763042
910683.5	242.56847737657588
933169.5	179.64665820370843
955655.5	242.90943531389053
978141.5	242.8789255204911
1000627.5	209.64444952289983
1023113.5	244.2823975656249
1045599.5	244.41284758071302
1068085.5	244.190904750088
1090571.5	186.39001948245493
1113057.5	243.5885139976663
1135543.5	243.7966561780196
1158029.5	243.05500957530487
1180515.5	224.46398964838815
1203001.5	211.4927622569836
1225487.5	243.16613539957547
1247973.5	242.65197279555267
1270459.5	215.51053285495692
1292945.5	242.8224971469942
1315431.5	214.96056946866838
1337917.5	242.8764653351194
1360403.5	237.2850536793381
1382889.5	240.94833591008822
1405375.5	197.96588112473924
1427861.5	235.43060747528676
1450347.5	242.50283039407793
1472833.5	179.91067691166978
1495319.5	242.20480214790695
1517805.5	242.90581500856854
1540291.5	240.38568834387377
1562777.5	204.68530172856956
1585263.5	243.4879984383742
1607749.5	243.06588515452077
1630235.5	243.2617262506589
1652721.5	243.13414407082448
1675207.5	243.69733725108912
1697693.5	243.41868815010776
1720179.5	242.17697051755582
1742665.5	241.9985414347676
1765151.5	242.71841149378162
1787637.5	241.42989067169674
1810123.5	183.8398815297876
1832609.5	241.54908045629014
1855095.5	241.7899129567855
1877581.5	243.0106077304903
1900067.5	232.8664875655322
1922553.5	241.6224718917744
1945039.5	242.9540840893596
1967525.5	241.85550755511798
1990011.5	242.01039496422894
2012497.5	243.39864802477464
2034983.5	151.67426598753121
2057469.5	242.80393036444443
2079955.5	243.98462973842757
2102441.5	222.33067860602463
2124927.5	232.652180593877
2147413.5	206.96699222964384
2169899.5	174.63031980934463
2192385.5	242.61243675872004
2214871.5	242.07490235579772
2237357.5	239.86058356773523
2259843.5	237.4492967477291
2282329.5	243.33065518325853
2304815.5	241.70398325817953
2327301.5	201.7023589598633
2349787.5	197.79435954335494
2372273.5	172.5031794275424
2394759.5	228.98150382716722
2417245.5	226.98152071994394
2439731.5	188.79490184702496
2462217.5	205.62866377773088
2484703.5	199.59968918247606
2507189.5	237.37616416303484
2529675.5	192.7268070349901
2552161.5	227.67948508460213
2574647.5	241.91123023871612
2597133.5	236.2097435917099
2619619.5	242.46421168746832
2642105.5	242.80835168117756
2664591.5	227.7579751410569
2687077.5	219.07972429864563
2709563.5	140.19020052693207
2732049.5	205.22902211135195
2754535.5	242.39380458736215
2777021.5	241.99134842548278
2799507.5	243.235176510756
2821993.5	244.1437554338523
2844479.5	242.72661096319922
2866965.5	209.5299191871129
2889451.5	243.07861604834264
2911937.5	207.4660040256579
2934423.5	240.6740107680851
2956909.5	243.22600260365263
2979395.5	243.64918234209986
3001881.5	189.07261788121698
3024367.5	197.1229034861179
3046853.5	218.9742633307165
3069339.5	243.77738660535348
3091825.5	243.75516438563665
3114311.5	243.81710137373955
3136797.5	243.04306359219447
3159283.5	242.5184592599697
3181769.5	244.00445666676583
3204255.5	241.68662721989173
3226741.5	240.55931437065772
3249227.5	240.2507348773559
3271713.5	243.08343892314298
3294199.5	244.1872062153061
3316685.5	244.4827410574129
3339171.5	243.2943484974378
3361657.5	244.09562726209577
3384143.5	243.98098571954296
3406629.5	243.8409542780515
3429115.5	239.3576976746062
3451601.5	240.22282632186676
3474087.5	241.6043168099506
3496573.5	243.94479759213678
3519059.5	240.46500880622142
3541545.5	242.07595699544368
3564031.5	242.54886309687978
3586517.5	241.770770033288
3609003.5	243.242906409127
3631489.5	212.10345084182265
3653975.5	242.41616422398187
3676461.5	183.20110226831346
3698947.5	205.52365509527283
3721433.5	188.3741545654147
3743919.5	242.37577938589322
3766405.5	242.64523000370357
3788891.5	244.13850737916502
3811377.5	214.83778010433528
3833863.5	166.8142735685309
3856349.5	171.46122245284377
3878835.5	187.33433075934175
