#Coverage	Number of genomic locations
184.0	2553.0
185.0	2375.0
186.0	2422.0
187.0	2260.0
188.0	2198.0
189.0	2138.0
190.0	2035.0
191.0	1815.0
192.0	1621.0
193.0	1588.0
194.0	1420.0
195.0	1435.0
196.0	1358.0
197.0	1376.0
198.0	1335.0
199.0	1304.0
200.0	1386.0
201.0	1370.0
202.0	1425.0
203.0	1408.0
204.0	1481.0
205.0	1473.0
206.0	1591.0
207.0	1483.0
208.0	1420.0
209.0	1459.0
210.0	1387.0
211.0	1347.0
212.0	1304.0
213.0	1294.0
214.0	1280.0
215.0	1193.0
216.0	1159.0
217.0	1034.0
218.0	1025.0
219.0	991.0
220.0	970.0
221.0	948.0
222.0	910.0
223.0	885.0
224.0	892.0
225.0	859.0
226.0	844.0
227.0	759.0
228.0	780.0
229.0	825.0
230.0	761.0
231.0	731.0
232.0	692.0
233.0	742.0
234.0	717.0
235.0	711.0
236.0	772.0
237.0	721.0
238.0	730.0
239.0	798.0
240.0	805.0
241.0	820.0
242.0	865.0
243.0	807.0
244.0	844.0
245.0	764.0
246.0	764.0
247.0	726.0
248.0	769.0
249.0	701.0
250.0	652.0
251.0	631.0
252.0	606.0
253.0	570.0
254.0	644.0
255.0	687.0
256.0	665.0
257.0	705.0
258.0	747.0
259.0	763.0
260.0	797.0
261.0	835.0
262.0	826.0
263.0	868.0
264.0	837.0
265.0	887.0
266.0	825.0
267.0	859.0
268.0	907.0
269.0	855.0
270.0	917.0
271.0	869.0
272.0	911.0
273.0	926.0
274.0	906.0
275.0	1052.0
276.0	1012.0
277.0	1033.0
278.0	1103.0
279.0	1114.0
280.0	1157.0
281.0	1080.0
282.0	1154.0
283.0	1046.0
284.0	1119.0
285.0	1092.0
286.0	1141.0
287.0	1144.0
288.0	1086.0
289.0	1057.0
290.0	1023.0
291.0	1013.0
292.0	1033.0
293.0	984.0
294.0	958.0
295.0	969.0
296.0	1001.0
297.0	972.0
298.0	965.0
299.0	920.0
300.0	862.0
301.0	900.0
302.0	941.0
303.0	929.0
304.0	898.0
305.0	933.0
306.0	947.0
307.0	1024.0
308.0	986.0
309.0	1051.0
310.0	1017.0
311.0	1063.0
312.0	1077.0
313.0	1103.0
314.0	1044.0
315.0	1017.0
316.0	1109.0
317.0	1053.0
318.0	1098.0
319.0	1123.0
320.0	1115.0
321.0	1121.0
322.0	1188.0
323.0	1195.0
324.0	1183.0
325.0	1097.0
326.0	1161.0
327.0	1145.0
328.0	1279.0
329.0	1232.0
330.0	1176.0
331.0	1258.0
332.0	1198.0
333.0	1311.0
334.0	1235.0
335.0	1275.0
336.0	1279.0
337.0	1159.0
338.0	1097.0
339.0	1036.0
340.0	1025.0
341.0	1044.0
342.0	1018.0
343.0	976.0
344.0	936.0
345.0	881.0
346.0	952.0
347.0	922.0
348.0	980.0
349.0	963.0
350.0	994.0
351.0	1036.0
352.0	989.0
353.0	983.0
354.0	990.0
355.0	1037.0
356.0	1009.0
357.0	974.0
358.0	963.0
359.0	913.0
360.0	907.0
361.0	907.0
362.0	851.0
363.0	864.0
364.0	803.0
365.0	852.0
366.0	819.0
367.0	851.0
368.0	908.0
369.0	915.0
370.0	915.0
371.0	1001.0
372.0	1014.0
373.0	1027.0
374.0	1127.0
375.0	1049.0
376.0	1094.0
377.0	1177.0
378.0	1148.0
379.0	1154.0
380.0	1183.0
381.0	1158.0
382.0	1192.0
383.0	1168.0
384.0	1186.0
385.0	1151.0
386.0	1217.0
387.0	1162.0
388.0	1265.0
389.0	1228.0
390.0	1211.0
391.0	1225.0
392.0	1188.0
393.0	1265.0
394.0	1223.0
395.0	1258.0
396.0	1200.0
397.0	1208.0
398.0	1232.0
399.0	1264.0
400.0	1174.0
401.0	1152.0
402.0	1096.0
403.0	1099.0
404.0	1061.0
405.0	1069.0
406.0	1074.0
407.0	1054.0
408.0	1037.0
409.0	928.0
410.0	1019.0
411.0	972.0
412.0	1039.0
413.0	1002.0
414.0	1013.0
415.0	1007.0
416.0	964.0
417.0	993.0
418.0	1063.0
419.0	976.0
420.0	976.0
421.0	927.0
422.0	961.0
423.0	863.0
424.0	821.0
425.0	808.0
426.0	750.0
427.0	738.0
428.0	656.0
429.0	668.0
430.0	601.0
431.0	591.0
432.0	523.0
433.0	525.0
434.0	508.0
435.0	544.0
436.0	461.0
437.0	499.0
438.0	474.0
439.0	455.0
440.0	465.0
441.0	477.0
442.0	488.0
443.0	449.0
444.0	469.0
445.0	462.0
446.0	449.0
447.0	466.0
448.0	507.0
449.0	540.0
450.0	559.0
451.0	526.0
452.0	556.0
453.0	546.0
454.0	564.0
455.0	614.0
456.0	591.0
457.0	582.0
458.0	565.0
459.0	559.0
460.0	600.0
461.0	575.0
462.0	610.0
463.0	541.0
464.0	526.0
465.0	538.0
466.0	526.0
467.0	556.0
468.0	525.0
