#Mapping quality	mapping quality
29.0	13.0
30.0	94.0
31.0	594.0
32.0	1096.0
33.0	1044.0
34.0	1230.0
35.0	1164.0
36.0	912.0
37.0	1067.0
38.0	1050.0
39.0	957.0
40.0	1083.0
41.0	1750.0
42.0	2349.0
43.0	2532.0
44.0	2280.0
45.0	2527.0
46.0	3344.0
47.0	4381.0
48.0	4810.0
49.0	4769.0
50.0	4781.0
51.0	4969.0
52.0	4995.0
53.0	5150.0
54.0	5233.0
55.0	5261.0
56.0	5628.0
57.0	6499.0
58.0	7212.0
59.0	7953.0
60.0	7996.0
61.0	7610.0
62.0	7192.0
63.0	6915.0
64.0	6673.0
65.0	6484.0
66.0	5779.0
67.0	5588.0
68.0	5383.0
69.0	5393.0
70.0	5464.0
71.0	5176.0
72.0	4529.0
73.0	3919.0
74.0	3617.0
75.0	3486.0
76.0	3429.0
77.0	3341.0
78.0	3248.0
79.0	3074.0
80.0	3065.0
81.0	3017.0
82.0	3042.0
83.0	2970.0
84.0	3241.0
85.0	3153.0
86.0	3173.0
87.0	2920.0
88.0	2863.0
89.0	2809.0
90.0	2589.0
91.0	2619.0
92.0	2625.0
93.0	2435.0
94.0	2352.0
95.0	2291.0
96.0	2269.0
97.0	2279.0
98.0	2153.0
99.0	2172.0
100.0	2126.0
101.0	2220.0
102.0	2226.0
103.0	2385.0
104.0	2468.0
105.0	2484.0
106.0	2370.0
107.0	2447.0
108.0	2211.0
109.0	2449.0
110.0	2352.0
111.0	2451.0
112.0	2560.0
113.0	2876.0
114.0	2874.0
115.0	3058.0
116.0	3063.0
117.0	3131.0
118.0	3067.0
119.0	3172.0
120.0	3312.0
121.0	3336.0
122.0	3410.0
123.0	3649.0
124.0	4166.0
125.0	3347.0
126.0	3017.0
127.0	6923.0
128.0	3914.0
129.0	5761.0
130.0	5185.0
131.0	5518.0
132.0	5835.0
133.0	5585.0
134.0	5514.0
135.0	5283.0
136.0	5173.0
137.0	5150.0
138.0	4878.0
139.0	5042.0
140.0	5137.0
141.0	4840.0
142.0	5001.0
143.0	4873.0
144.0	4863.0
145.0	4511.0
146.0	4613.0
147.0	4118.0
148.0	4427.0
149.0	3898.0
150.0	4117.0
151.0	3592.0
152.0	3744.0
153.0	3589.0
154.0	3238.0
155.0	3078.0
156.0	3079.0
157.0	2661.0
158.0	2765.0
159.0	2614.0
160.0	2802.0
161.0	2634.0
162.0	2651.0
163.0	2528.0
164.0	2557.0
165.0	2591.0
166.0	2712.0
167.0	2680.0
168.0	3065.0
169.0	3212.0
170.0	3230.0
171.0	3797.0
172.0	3941.0
173.0	3861.0
174.0	3954.0
175.0	3775.0
176.0	4062.0
177.0	3665.0
178.0	3992.0
179.0	3776.0
180.0	3795.0
181.0	4046.0
182.0	4025.0
183.0	4029.0
184.0	4236.0
185.0	4059.0
186.0	4198.0
187.0	4196.0
188.0	4294.0
189.0	4611.0
190.0	3525.0
191.0	4610.0
192.0	3999.0
193.0	3976.0
194.0	4139.0
195.0	4142.0
196.0	4272.0
197.0	4062.0
198.0	4434.0
199.0	4330.0
200.0	4438.0
201.0	4338.0
202.0	4059.0
203.0	4599.0
204.0	4761.0
205.0	4662.0
206.0	4735.0
207.0	4089.0
208.0	4891.0
209.0	4831.0
210.0	4844.0
211.0	4377.0
212.0	5439.0
213.0	4861.0
214.0	5531.0
215.0	5016.0
216.0	5666.0
217.0	5308.0
218.0	6456.0
219.0	6094.0
220.0	5975.0
221.0	6955.0
222.0	5587.0
223.0	6360.0
224.0	6236.0
225.0	5977.0
226.0	6867.0
227.0	6435.0
228.0	6805.0
229.0	7436.0
230.0	7215.0
231.0	6497.0
232.0	7390.0
233.0	7752.0
234.0	8473.0
235.0	9107.0
236.0	9337.0
237.0	9955.0
238.0	10749.0
239.0	12563.0
240.0	12820.0
241.0	13986.0
242.0	20950.0
243.0	20487.0
244.0	26025.0
245.0	34754.0
246.0	40727.0
247.0	69286.0
248.0	246415.0
249.0	126680.0
250.0	246944.0
251.0	780367.0
252.0	1313.0
253.0	3.0
254.0	6472360.0
