#GC Content (%)	Sample
1.0	4.9518531319975874E-6
2.0	9.903706263995175E-7
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	9.903706263995175E-7
12.0	0.0
13.0	0.0
14.0	1.980741252799035E-6
15.0	0.0
16.0	9.903706263995175E-7
17.0	9.903706263995175E-7
18.0	1.980741252799035E-6
19.0	2.971111879198553E-6
20.0	3.96148250559807E-6
21.0	0.0
22.0	9.903706263995175E-7
23.0	1.980741252799035E-6
24.0	4.9518531319975874E-6
25.0	5.942223758397105E-6
26.0	2.971111879198553E-6
27.0	2.971111879198553E-6
28.0	4.9518531319975874E-6
29.0	2.971111879198553E-6
30.0	7.92296501119614E-6
31.0	1.980741252799035E-6
32.0	3.96148250559807E-6
33.0	8.913335637595658E-6
34.0	1.3865188769593244E-5
35.0	1.584593002239228E-5
36.0	1.584593002239228E-5
37.0	1.2874818143193727E-5
38.0	2.2778524407188902E-5
39.0	2.376889503358842E-5
40.0	3.3672601297583596E-5
41.0	3.169186004478456E-5
42.0	4.7537790067176845E-5
43.0	8.616224449675804E-5
44.0	8.022002073836091E-5
45.0	9.408520950795416E-5
46.0	1.1191188078314548E-4
47.0	1.3766151706953294E-4
48.0	2.1986227906069288E-4
49.0	3.0008229979905376E-4
50.0	5.239060613653448E-4
51.0	8.319113261755947E-4
52.0	0.0010111684095539073
53.0	0.0018103975050583181
54.0	0.002867122963426603
55.0	0.0045121285738762016
56.0	0.007064313678107759
57.0	0.01015823151497985
58.0	0.013751296147557301
59.0	0.018697207055796493
60.0	0.02644289572486712
61.0	0.03758357490123529
62.0	0.05243220170284326
63.0	0.06948737426006935
64.0	0.08735068924843745
65.0	0.09923117528272607
66.0	0.10551606727785741
67.0	0.10333923264103123
68.0	0.09300273441329948
69.0	0.07771636379482293
70.0	0.0619863071357194
71.0	0.04567193180704015
72.0	0.03132146143051114
73.0	0.020107494827789403
74.0	0.01209341571896451
75.0	0.006549320952380009
76.0	0.0034336149617271274
77.0	0.0016955145123959737
78.0	7.477298229316355E-4
79.0	4.922142013205602E-4
80.0	2.931497054142572E-4
81.0	2.416504328414823E-4
82.0	1.951030134007049E-4
83.0	1.6836300648791796E-4
84.0	1.307289226847363E-4
85.0	1.0101780389275079E-4
86.0	5.546075507837298E-5
87.0	2.674000691278697E-5
88.0	7.92296501119614E-6
89.0	5.942223758397105E-6
90.0	2.971111879198553E-6
91.0	5.942223758397105E-6
92.0	9.903706263995175E-7
93.0	9.903706263995175E-7
94.0	2.971111879198553E-6
95.0	0.0
96.0	0.0
97.0	2.971111879198553E-6
98.0	1.980741252799035E-6
99.0	4.9518531319975874E-6
100.0	2.971111879198553E-6
