#Position (bp)	mapping quality
12686.5	108.12824423406721
38058.5	226.30030104456992
63430.5	243.72476338835975
88802.5	238.91146372497607
114174.5	243.09549067833726
139546.5	178.3624130088536
164918.5	240.9317764317782
190290.5	188.51011508633752
215662.5	244.75084423743456
241034.5	243.51262070327215
266406.5	241.4014593866032
291778.5	243.42402171212402
317150.5	242.39382552289484
342522.5	243.28426956410394
367894.5	244.68899618399013
393266.5	194.81280029222336
418638.5	243.93859794841035
444010.5	219.33502013838685
469382.5	244.55481722898247
494754.5	193.9432081701115
520126.5	157.6184733250895
545498.5	243.64856932676798
570870.5	160.21135874559434
596242.5	227.48864180367397
621614.5	242.64695572382016
646986.5	218.0619206316803
672358.5	204.25569522387661
697730.5	214.94073929801164
723102.5	241.79793691619275
748474.5	244.92346057468782
773846.5	241.0546774948253
799218.5	243.05301876946118
824590.5	244.10891410575542
849962.5	243.38014339309288
875334.5	244.0194456641119
900706.5	244.41727118735946
926078.5	245.0814566397684
951450.5	194.5063485540787
976822.5	238.67154258846392
1002194.5	245.04708953577813
1027566.5	212.90030485583716
1052938.5	220.45695787684434
1078310.5	231.88033008611686
1103682.5	241.09928544583317
1129054.5	226.58977915330527
1154426.5	244.50979072371635
1179798.5	243.05697581617684
1205170.5	243.62996444245414
1230542.5	243.93871852821806
1255914.5	241.1101947224915
1281286.5	220.43987689835944
1306658.5	242.21745397513575
1332030.5	243.658598062422
1357402.5	244.6588348866758
1382774.5	244.69135543137412
1408146.5	245.5264323507793
1433518.5	243.4735866331871
1458890.5	243.49176350452208
1484262.5	239.123538151379
1509634.5	161.56884917725912
1535006.5	244.03774850965806
1560378.5	245.02989438370074
1585750.5	245.03802794337125
1611122.5	244.2500611264348
1636494.5	243.81980852328735
1661866.5	195.42117263772474
1687238.5	244.66683623257313
1712610.5	226.10768480419398
1737982.5	242.9528381837304
1763354.5	235.72728582456165
1788726.5	181.59465236927866
1814098.5	243.90358287013618
1839470.5	204.78776342540553
1864842.5	210.51942409756404
1890214.5	242.21419943458076
1915586.5	242.3661663013933
1940958.5	192.54910157068718
1966330.5	141.95566623003174
1991702.5	230.5792406223614
2017074.5	244.5525255607489
2042446.5	244.65783264422288
2067818.5	243.87486874537154
2093190.5	240.97217976255612
2118562.5	244.92854925210838
2143934.5	244.99834042447432
2169306.5	243.73868235215494
2194678.5	245.3304651308376
2220050.5	244.37321837050064
2245422.5	166.59753293706933
2270794.5	244.89018050531905
2296166.5	244.5185581021183
2321538.5	243.4943306367328
2346910.5	243.5092012131473
2372282.5	157.36564326104022
2397654.5	196.41978667765116
2423026.5	245.09424106889395
2448398.5	243.7809517893609
2473770.5	244.90841494755196
2499142.5	244.09461482428392
2524514.5	218.1474363101408
2549886.5	242.901589836512
2575258.5	244.36122881402528
2600630.5	244.63041258814124
2626002.5	214.00317947323174
2651374.5	243.22814865510304
2676746.5	240.43655070831858
2702118.5	154.33764664636743
2727490.5	244.66532569863008
2752862.5	244.38647145927914
2778234.5	244.3058235573769
2803606.5	245.03516596620636
2828978.5	243.70782514703933
2854350.5	244.12907020420562
2879722.5	244.63492835064378
2905094.5	235.8023216286653
2930466.5	245.08321592089945
2955838.5	244.00827828643722
2981210.5	240.71706520792418
3006582.5	241.29446481562942
3031954.5	235.9851611665567
3057326.5	179.1281255112245
3082698.5	205.2689973133738
3108070.5	180.92381559271283
3133442.5	165.00971125540664
3158814.5	244.95084885331622
3184186.5	242.3876268949094
3209558.5	242.79803486344366
3234930.5	245.75943190150753
3260302.5	238.69680541108906
3285674.5	241.9926628110239
3311046.5	245.29793800181207
3336418.5	232.33578035622645
3361790.5	235.4233207452773
3387162.5	244.21501413969912
3412534.5	235.27607129214394
3437906.5	244.00226567391624
3463278.5	244.0448407575243
3488650.5	244.59409412248846
3514022.5	236.60946220807506
3539394.5	244.78708140757635
3564766.5	232.37217937139758
3590138.5	198.2993977378939
3615510.5	242.9364986680579
3640882.5	234.87139722032748
3666254.5	244.9656409967683
3691626.5	244.66757562949726
3716998.5	242.42231273352476
3742370.5	243.37208697610117
3767742.5	243.6430365602729
3793114.5	241.25369655134088
3818486.5	245.13654010474391
3843858.5	245.15490150279314
3869230.5	243.6047481803527
3894602.5	225.14820768550447
3919974.5	150.3419044227962
3945346.5	244.23223951410137
3970718.5	244.56132837084544
3996090.5	234.8014561855275
4021462.5	244.54456381355976
4046834.5	244.90427090911533
4072206.5	232.27555475502172
4097578.5	192.52771641460564
4122950.5	244.35710370876907
4148322.5	243.36914219919402
4173694.5	244.86733404579942
4199066.5	220.1726340959083
4224438.5	168.82850765967768
4249810.5	234.73808625471736
4275182.5	194.02281044059967
4300554.5	163.16296541163132
4325926.5	230.25633463549033
4351298.5	243.54872787820506
4376670.5	201.63913188816932
4402042.5	189.71824367831488
4427414.5	237.9139760766532
4452786.5	244.41478803659535
4478158.5	188.10740303986182
4503530.5	194.4144030830953
4528902.5	244.8473096995163
4554274.5	244.60150665812102
4579646.5	245.02601821692258
4605018.5	244.35397888740022
4630390.5	244.72803487071818
4655762.5	244.1620205830408
4681134.5	212.92558586898096
4706506.5	199.05249705859893
4731878.5	244.03366744249166
4757250.5	241.9357065910457
4782622.5	244.07821191099956
4807994.5	193.8095658008021
4833366.5	244.17779344442133
4858738.5	197.6970765323168
4884110.5	198.2881988338317
4909482.5	244.67643162720077
4934854.5	244.5762109127089
4960226.5	190.07803616464705
4985598.5	213.76218844003046
5010970.5	160.1876036164047
5036342.5	244.69973026766678
5061714.5	244.00939995199815
5087086.5	243.3225381268861
5112458.5	244.09771601663783
5137830.5	243.69313534576483
5163202.5	200.04811951887126
5188574.5	198.01924691763926
5213946.5	241.6436252471161
5239318.5	216.82278778741903
5264690.5	129.38999743775247
5290062.5	238.0383414369564
5315434.5	239.5815096900845
5340806.5	231.504611511997
5366178.5	191.2759428055313
5391550.5	243.5145886274324
5416922.5	224.66674543655267
5442294.5	240.40632386502796
5467666.5	239.65969057510515
5493038.5	219.14410820400659
5518410.5	243.1604069176822
5543782.5	244.36124466575532
5569154.5	244.3735990796934
5594526.5	189.6192471747987
5619898.5	244.0572711718544
5645270.5	221.4350010766752
5670642.5	182.29923243257906
5696014.5	181.1750503067417
5721386.5	219.46323301158645
5746758.5	203.50967408129347
5772130.5	202.2375481492737
5797502.5	173.9750867591345
5822874.5	121.4659819629909
5848246.5	171.88880079421958
5873618.5	191.68231328422152
5898990.5	231.17068947189608
5924362.5	244.84233384568356
5949734.5	239.00308680213598
5975106.5	237.7425495886919
6000478.5	239.68343298591864
6025850.5	240.3931253537427
6051222.5	244.5178088014761
6076594.5	241.77392638306762
6101966.5	243.78850248163798
6127338.5	244.54290838253306
6152710.5	200.67909593740595
6178082.5	184.07494258783532
6203454.5	158.27970254170916
6228826.5	165.3147016250978
6254198.5	180.4939148811134
6279570.5	206.6706118241351
6304942.5	243.05231264903526
6330314.5	244.89579606838063
6355686.5	244.94391939415067
6381058.5	243.47687644661383
6406430.5	244.698622958698
6431802.5	240.63674840367094
6457174.5	244.21442408141164
6482546.5	244.706401782082
6507918.5	244.4203488232024
6533290.5	243.97940293897528
6558662.5	244.26068727851103
6584034.5	218.40407331531688
6609406.5	217.20057540788483
6634778.5	244.7757397597764
6660150.5	226.1670383460052
6685522.5	244.83753410101536
6710894.5	244.7325632092258
6736266.5	226.81803380525056
6761638.5	194.25068292605627
6787010.5	235.46888351086392
6812382.5	232.8534852183347
6837754.5	244.7771417300213
6863126.5	242.3952264265135
6888498.5	238.3359777326345
6913870.5	243.22593588119133
6939242.5	243.169838036542
6964614.5	218.86439252010098
6989986.5	244.72105660172394
7015358.5	242.81325676552953
7040730.5	244.25075359815511
7066102.5	244.8357683195168
7091474.5	243.8109381281451
7116846.5	244.2707471719734
7142218.5	242.297071506605
7167590.5	191.4739541841119
7192962.5	230.23919019238892
7218334.5	230.60763936093392
7243706.5	189.01301845664455
7269078.5	221.6504958755581
7294450.5	216.60596447118715
7319822.5	217.31951314312562
7345194.5	243.30382802153795
7370566.5	244.39648584077833
7395938.5	230.2667392604609
7421310.5	242.85730684834607
7446682.5	243.33566126883517
7472054.5	232.2525856551987
7497426.5	244.05878915468935
7522798.5	243.77312756445048
7548170.5	193.98641170278313
7573542.5	243.81140595413297
7598914.5	244.64559879434316
7624286.5	212.4297719934542
7649658.5	243.93744448321183
7675030.5	229.55197130932893
7700402.5	235.2922694342005
7725774.5	243.4448013446686
7751146.5	244.81767605871502
7776518.5	244.78864677683842
7801890.5	243.27227410137232
7827262.5	244.7106792793945
7852634.5	242.01371421717175
7878006.5	242.1787502531966
7903378.5	243.8670942134989
7928750.5	244.99489005650142
7954122.5	244.53253202587925
7979494.5	245.38265358349298
8004866.5	243.9298672536126
8030238.5	243.89433007918598
8055610.5	237.70219917670929
8080982.5	242.33203653359044
8106354.5	244.4012494652965
8131726.5	245.11338313446035
8157098.5	242.30863902939362
8182470.5	243.37436008182533
8207842.5	238.1237039747151
8233214.5	245.15097555785135
8258586.5	244.70330920454163
8283958.5	241.0028784041592
8309330.5	243.81638685268385
8334702.5	244.563499491353
8360074.5	239.4613496186917
8385446.5	241.3683258401617
8410818.5	245.15489973565843
8436190.5	242.38188142118378
8461562.5	233.80648431383173
8486934.5	155.4517715423453
8512306.5	244.8161083099243
8537678.5	243.81869474534486
8563050.5	244.50260156166013
8588422.5	244.98936101703904
8613794.5	244.3479515983927
8639166.5	244.83565699022478
8664538.5	245.12939767414605
8689910.5	218.51035122934445
8715282.5	245.15123866601223
8740654.5	235.44995634112595
8766026.5	243.4413931369986
8791398.5	244.71667714721596
8816770.5	243.13945764639857
8842142.5	233.19302732082184
8867514.5	207.44242867563707
8892886.5	244.32551984860484
8918258.5	214.05296194138825
