#Coverage	Number of genomic locations
34.0	1.0
35.0	7.0
36.0	22.0
37.0	61.0
38.0	151.0
39.0	263.0
40.0	394.0
41.0	609.0
42.0	910.0
43.0	1048.0
44.0	1069.0
45.0	1067.0
46.0	1487.0
47.0	2264.0
48.0	3416.0
49.0	4846.0
50.0	6388.0
51.0	8194.0
52.0	10618.0
53.0	13202.0
54.0	17184.0
55.0	22647.0
56.0	28639.0
57.0	37273.0
58.0	46109.0
59.0	56268.0
60.0	67075.0
61.0	77905.0
62.0	89268.0
63.0	100924.0
64.0	114073.0
65.0	131006.0
66.0	147936.0
67.0	165954.0
68.0	184458.0
69.0	204528.0
70.0	222130.0
71.0	238489.0
72.0	251333.0
73.0	264220.0
74.0	274950.0
75.0	287368.0
76.0	297955.0
77.0	307229.0
78.0	314731.0
79.0	320025.0
80.0	322015.0
81.0	323772.0
82.0	321353.0
83.0	317168.0
84.0	308338.0
85.0	300440.0
86.0	290506.0
87.0	280241.0
88.0	268002.0
89.0	253830.0
90.0	238113.0
91.0	222260.0
92.0	203883.0
93.0	187001.0
94.0	169892.0
95.0	153513.0
96.0	139265.0
97.0	122691.0
98.0	107745.0
99.0	93992.0
100.0	82075.0
101.0	70366.0
102.0	60726.0
103.0	53452.0
104.0	47174.0
105.0	42419.0
106.0	37836.0
107.0	34110.0
108.0	30722.0
109.0	26915.0
110.0	24391.0
111.0	21962.0
112.0	19545.0
113.0	17489.0
114.0	15290.0
115.0	13477.0
116.0	11529.0
117.0	10312.0
118.0	8886.0
119.0	8020.0
120.0	7307.0
121.0	6583.0
122.0	6181.0
123.0	6089.0
124.0	6072.0
125.0	6037.0
126.0	6212.0
127.0	6123.0
128.0	5876.0
129.0	5770.0
130.0	5735.0
131.0	5700.0
132.0	5685.0
133.0	5743.0
134.0	5813.0
135.0	6034.0
136.0	6184.0
137.0	6399.0
138.0	6428.0
139.0	6797.0
140.0	6702.0
141.0	6787.0
142.0	6769.0
143.0	6883.0
144.0	6968.0
145.0	7020.0
146.0	6926.0
147.0	7043.0
148.0	7123.0
149.0	7046.0
150.0	6976.0
151.0	6803.0
152.0	6682.0
153.0	6766.0
154.0	6790.0
155.0	6617.0
156.0	6464.0
157.0	6419.0
158.0	6273.0
159.0	6221.0
160.0	6174.0
161.0	5931.0
162.0	5670.0
163.0	5513.0
164.0	5441.0
165.0	5367.0
166.0	5425.0
167.0	5234.0
168.0	5493.0
169.0	5528.0
170.0	5517.0
171.0	5460.0
172.0	5312.0
173.0	5110.0
174.0	5058.0
175.0	4824.0
176.0	4679.0
177.0	4573.0
178.0	4400.0
179.0	4214.0
180.0	4050.0
181.0	3850.0
182.0	3627.0
183.0	3505.0
184.0	3335.0
185.0	3265.0
186.0	3227.0
187.0	3180.0
188.0	3281.0
189.0	3131.0
190.0	3134.0
191.0	3010.0
192.0	3111.0
193.0	3157.0
194.0	3037.0
195.0	3147.0
196.0	2950.0
197.0	2857.0
198.0	2793.0
199.0	2632.0
200.0	2386.0
201.0	2266.0
202.0	2140.0
203.0	1907.0
204.0	1820.0
205.0	1623.0
206.0	1487.0
207.0	1518.0
208.0	1461.0
209.0	1293.0
210.0	1244.0
211.0	1311.0
212.0	1340.0
213.0	1313.0
214.0	1280.0
215.0	1223.0
216.0	1222.0
217.0	1192.0
218.0	1120.0
219.0	1114.0
220.0	1017.0
221.0	946.0
222.0	960.0
223.0	886.0
224.0	897.0
225.0	802.0
226.0	804.0
227.0	827.0
228.0	769.0
229.0	776.0
230.0	784.0
231.0	798.0
232.0	748.0
233.0	855.0
234.0	845.0
235.0	804.0
236.0	841.0
237.0	871.0
238.0	881.0
239.0	814.0
240.0	778.0
241.0	806.0
242.0	742.0
243.0	624.0
244.0	648.0
245.0	640.0
246.0	605.0
247.0	599.0
248.0	556.0
249.0	564.0
250.0	543.0
251.0	599.0
252.0	572.0
253.0	613.0
254.0	599.0
255.0	613.0
256.0	619.0
257.0	560.0
258.0	570.0
259.0	524.0
260.0	499.0
261.0	456.0
262.0	459.0
263.0	484.0
264.0	415.0
265.0	402.0
266.0	440.0
267.0	438.0
268.0	421.0
269.0	402.0
270.0	393.0
271.0	422.0
272.0	374.0
273.0	373.0
274.0	402.0
275.0	384.0
276.0	431.0
277.0	411.0
278.0	372.0
279.0	408.0
280.0	420.0
281.0	359.0
282.0	352.0
