#GC Content (%)	Sample
1.0	1.0160846195271142E-5
2.0	1.1176930814798256E-5
3.0	0.0
4.0	1.0160846195271142E-6
5.0	1.0160846195271142E-6
6.0	0.0
7.0	1.0160846195271142E-6
8.0	1.0160846195271142E-6
9.0	1.0160846195271142E-6
10.0	1.0160846195271142E-6
11.0	3.0482538585813427E-6
12.0	0.0
13.0	0.0
14.0	1.0160846195271142E-6
15.0	1.0160846195271142E-6
16.0	1.0160846195271142E-6
17.0	4.064338478108457E-6
18.0	2.0321692390542284E-6
19.0	5.080423097635571E-6
20.0	4.064338478108457E-6
21.0	5.080423097635571E-6
22.0	2.0321692390542284E-6
23.0	5.080423097635571E-6
24.0	4.064338478108457E-6
25.0	5.080423097635571E-6
26.0	4.064338478108457E-6
27.0	3.0482538585813427E-6
28.0	2.0321692390542284E-6
29.0	8.128676956216914E-6
30.0	9.144761575744028E-6
31.0	6.096507717162685E-6
32.0	1.4225184673379599E-5
33.0	7.1125923366897995E-6
34.0	1.4225184673379599E-5
35.0	1.5241269292906713E-5
36.0	1.5241269292906713E-5
37.0	2.438603086865074E-5
38.0	2.7434284727232082E-5
39.0	3.0482538585813427E-5
40.0	3.861121554203034E-5
41.0	6.604550026926243E-5
42.0	1.1075322352845544E-4
43.0	1.6765396222197387E-4
44.0	2.3877988558887182E-4
45.0	3.525813629759086E-4
46.0	5.100744790026113E-4
47.0	7.356452645376308E-4
48.0	9.764573193655567E-4
49.0	0.0013046526514728148
50.0	0.0017496977148256908
51.0	0.0027271711188107746
52.0	0.0034333499293821186
53.0	0.005367975044961745
54.0	0.008286170072243616
55.0	0.012241787496062672
56.0	0.017880041049818628
57.0	0.026333865084284223
58.0	0.038872349289248806
59.0	0.05598219819746589
60.0	0.07679364337462023
61.0	0.09768231098285865
62.0	0.11495676559943914
63.0	0.12120162167105276
64.0	0.1134834429011248
65.0	0.09404472804495158
66.0	0.07172134895394089
67.0	0.05059288537549407
68.0	0.033718768099007285
69.0	0.021395693833382443
70.0	0.012542548543442698
71.0	0.006754930550616255
72.0	0.0033774652753081275
73.0	0.0016409766605362894
74.0	8.819614497495351E-4
75.0	5.060101405245029E-4
76.0	2.560533241208328E-4
77.0	1.798469776562992E-4
78.0	1.3005883129947062E-4
79.0	1.3920359287521465E-4
80.0	8.738327727933183E-5
81.0	9.043153113791317E-5
82.0	7.010983874737088E-5
83.0	4.673989249824726E-5
84.0	3.353079244439477E-5
85.0	1.4225184673379599E-5
86.0	7.1125923366897995E-6
87.0	6.096507717162685E-6
88.0	3.0482538585813427E-6
89.0	2.0321692390542284E-6
90.0	2.0321692390542284E-6
91.0	1.0160846195271142E-6
92.0	0.0
93.0	2.0321692390542284E-6
94.0	0.0
95.0	1.0160846195271142E-6
96.0	0.0
97.0	0.0
98.0	2.0321692390542284E-6
99.0	2.0321692390542284E-6
100.0	2.0321692390542284E-6
