#Mapping quality	mapping quality
0.0	3.0
3.0	6.0
4.0	4.0
5.0	31.0
6.0	41.0
7.0	38.0
8.0	105.0
9.0	17.0
10.0	6.0
11.0	25.0
12.0	23.0
13.0	15.0
14.0	14.0
15.0	28.0
16.0	41.0
17.0	110.0
18.0	189.0
19.0	113.0
20.0	143.0
21.0	198.0
22.0	138.0
23.0	92.0
24.0	100.0
25.0	227.0
26.0	250.0
27.0	240.0
28.0	198.0
29.0	343.0
30.0	930.0
31.0	1531.0
32.0	1523.0
33.0	1042.0
34.0	823.0
35.0	1195.0
36.0	1875.0
37.0	1995.0
38.0	1621.0
39.0	1771.0
40.0	2232.0
41.0	3052.0
42.0	3588.0
43.0	3768.0
44.0	3969.0
45.0	3567.0
46.0	2915.0
47.0	2453.0
48.0	2219.0
49.0	1950.0
50.0	1756.0
51.0	1579.0
52.0	1585.0
53.0	1718.0
54.0	1710.0
55.0	1566.0
56.0	1404.0
57.0	1183.0
58.0	1051.0
59.0	1053.0
60.0	1086.0
61.0	1027.0
62.0	1076.0
63.0	1052.0
64.0	1182.0
65.0	1221.0
66.0	1254.0
67.0	1280.0
68.0	1360.0
69.0	1503.0
70.0	1599.0
71.0	1684.0
72.0	1871.0
73.0	2054.0
74.0	2106.0
75.0	2194.0
76.0	2287.0
77.0	2323.0
78.0	2362.0
79.0	2467.0
80.0	2564.0
81.0	2790.0
82.0	2913.0
83.0	3335.0
84.0	2931.0
85.0	3601.0
86.0	3141.0
87.0	3120.0
88.0	2866.0
89.0	2807.0
90.0	2748.0
91.0	2915.0
92.0	3031.0
93.0	3225.0
94.0	3327.0
95.0	3721.0
96.0	3524.0
97.0	3466.0
98.0	3224.0
99.0	2913.0
100.0	2795.0
101.0	2760.0
102.0	2685.0
103.0	2796.0
104.0	2935.0
105.0	3103.0
106.0	3316.0
107.0	3516.0
108.0	3582.0
109.0	4062.0
110.0	4154.0
111.0	4631.0
112.0	4718.0
113.0	5290.0
114.0	5544.0
115.0	5733.0
116.0	6026.0
117.0	5874.0
118.0	5977.0
119.0	6167.0
120.0	5956.0
121.0	6190.0
122.0	5944.0
123.0	6372.0
124.0	5915.0
125.0	5523.0
126.0	4748.0
127.0	9159.0
128.0	5260.0
129.0	5743.0
130.0	5960.0
131.0	6127.0
132.0	6134.0
133.0	6123.0
134.0	6317.0
135.0	5985.0
136.0	6011.0
137.0	5794.0
138.0	5815.0
139.0	5708.0
140.0	6103.0
141.0	6025.0
142.0	6573.0
143.0	6469.0
144.0	7120.0
145.0	6988.0
146.0	7628.0
147.0	7389.0
148.0	7877.0
149.0	7371.0
150.0	7465.0
151.0	6779.0
152.0	7527.0
153.0	7201.0
154.0	7234.0
155.0	7346.0
156.0	7141.0
157.0	6712.0
158.0	6677.0
159.0	6036.0
160.0	5986.0
161.0	5610.0
162.0	5482.0
163.0	5154.0
164.0	4801.0
165.0	4611.0
166.0	4658.0
167.0	4637.0
168.0	4455.0
169.0	4055.0
170.0	5051.0
171.0	4262.0
172.0	4117.0
173.0	4098.0
174.0	4091.0
175.0	3997.0
176.0	4336.0
177.0	4142.0
178.0	4327.0
179.0	4058.0
180.0	3911.0
181.0	3992.0
182.0	3922.0
183.0	3574.0
184.0	3956.0
185.0	3588.0
186.0	3559.0
187.0	3727.0
188.0	3727.0
189.0	4033.0
190.0	2722.0
191.0	3838.0
192.0	3435.0
193.0	3379.0
194.0	3231.0
195.0	2957.0
196.0	3112.0
197.0	3240.0
198.0	3402.0
199.0	3385.0
200.0	3501.0
201.0	3224.0
202.0	3389.0
203.0	3519.0
204.0	3498.0
205.0	3247.0
206.0	3561.0
207.0	3225.0
208.0	3496.0
209.0	3574.0
210.0	3501.0
211.0	3258.0
212.0	3931.0
213.0	3550.0
214.0	3862.0
215.0	3697.0
216.0	3884.0
217.0	3615.0
218.0	4373.0
219.0	4208.0
220.0	4131.0
221.0	4546.0
222.0	4248.0
223.0	5026.0
224.0	4790.0
225.0	4893.0
226.0	5710.0
227.0	5153.0
228.0	6481.0
229.0	6423.0
230.0	7102.0
231.0	6537.0
232.0	6915.0
233.0	8397.0
234.0	8425.0
235.0	7732.0
236.0	9087.0
237.0	10131.0
238.0	9479.0
239.0	12290.0
240.0	13373.0
241.0	12387.0
242.0	16330.0
243.0	17615.0
244.0	19083.0
245.0	25236.0
246.0	31821.0
247.0	74849.0
248.0	90791.0
249.0	75831.0
250.0	508157.0
251.0	366033.0
252.0	85.0
254.0	8022099.0
