STnc1270,543,471,639,266,40,601,638,759,745,498,550,531,391,704,425,329,509,610,211,330
STnc3580,55,42,92,83,132,35,91,82,93,194,51,87,206,148,54,108,32,39,184,218
STnc3600,11,11,12,15,19,3,6,7,16,99,17,16,16,18,18,66,24,57,89,81
STnc2040,2,4,8,192,42,2,0,3,4,3,0,2,710,21,12,11,37,23,19,21
STnc3610,49,28,47,28,42,27,55,60,46,90,39,44,46,31,44,127,83,109,47,136
STnc3620,19,21,94,111,53,23,8,29,32,137,66,56,61,79,116,20,29,122,33,51
STnc3630,11,24,84,381,46,19,45,73,20,39,31,22,644,968,95,17,47,125,56,112
STnc1130,47,40,47,41,15,38,43,67,34,100,62,37,50,57,44,88,95,248,55,171
STnc3640,11,21,49,42,30,28,70,37,26,40,16,32,40,39,45,40,31,60,50,137
SraC,122,146,414,505,180,219,525,507,316,471,166,271,159,262,641,496,460,763,2013,1959
SdsR,1080,826,2198,7467,179986,1448,919,1460,852,2136,1333,899,2216,4408,2533,1711,6646,44171,2268,2429
STnc1690,131,273,263,711,547,102,210,360,275,338,8,263,343,209,252,777,358,161,349,452
STnc200,44,103,77,87,74,56,146,38,82,86,70,130,258,127,72,99,155,100,164,138
RyeF,21,25,19,20,221,19,192,19,16,92,30,23,28,75,26,35,66,387,22,30
STnc2180,5090,4026,4536,622,3,10261,10375,2794,7505,11266,1519,1703,1913,1568,2072,4605,1763,2450,153,1921
DsrA,489,1373,1527,1925,881,1076,2099,1912,800,3084,813,1315,3963,1693,892,2153,1484,1933,2334,6416
RseX,6,4,16,15,7,3,7,5,7,34,7,4,8,4,5,19,7,9,15,15
STnc1280,235,602,1049,3237,3805,398,435,839,521,575,255,800,1882,1593,1259,2462,5407,2769,2565,2316
STnc1290,5737,6537,5282,8559,17968,5989,2530,5749,5916,9353,368,6773,7102,8128,7923,15381,19202,7574,12070,11967
STnc1300,1598,1432,1150,2259,427,1760,1024,1105,1222,2725,216,1772,2376,2694,2803,6750,3020,3839,4701,5099
STnc1310,138,230,408,573,49,77,241,451,243,531,434,189,533,583,316,425,189,928,681,1111
STnc2050,1049,1608,549,141,5,1833,6433,2234,1299,1565,779,989,249,100,302,927,861,80,17,63
STnc3680,163,214,139,156,35,197,206,266,245,92,60,194,137,141,125,86,62,49,64,102
STnc1530,15,40,40,92,133,25,53,75,50,58,15,37,82,108,81,35,45,197,79,166
STnc3700,51,25,25,68,39,24,50,44,93,95,28,36,101,65,33,80,78,188,163,148
STnc1650,46,62,59,93,69,47,69,106,55,60,32,62,117,137,82,65,57,128,112,173
STnc700,1726,1446,1628,1529,330,1437,3989,2399,1755,2532,1165,1748,2888,1884,1381,3117,2989,2061,2595,3996
STnc1320,25,44,33,48,47,30,34,42,61,52,41,55,88,74,45,52,49,90,86,106
RyeC,733,1460,3087,7282,1990,469,665,1932,981,2756,150,2401,4454,5010,3670,3732,4763,2728,4524,3421
STnc1150,326,392,513,490,219,143,372,548,427,434,577,423,333,247,411,750,1069,1045,1081,848
CyaR,427,2697,13101,17682,798,1240,4408,7129,430,1268,4981,1416,12197,6046,881,3669,660,144,2052,1088
STnc740,76,58,79,119,164,78,86,119,71,293,100,95,94,69,72,181,120,144,181,255
STnc1890,13,49,37,125,1513,15,61,10,42,60,7,68,60,44,54,36,39,317,275,240
STnc3720,11,12,31,86,69,8,21,19,19,46,13,29,74,53,40,17,32,181,55,127
STnc1330,69,69,311,585,1036,137,60,86,50,1668,223,119,294,400,342,209,353,1551,509,1802
STnc3010,143,136,207,121,16,182,185,189,131,198,208,174,245,197,165,200,128,128,146,245
STnc1340,250,88,166,1365,218,104,271,1737,225,181,125,150,1433,653,117,120,86,121,186,158
STnc1540,94,188,155,367,190,100,76,188,182,240,40,220,272,284,215,339,383,108,145,203
IsrG,7,6,4,2,0,2,4,2,5,2,2,7,1,3,9,6,11,10,0,2
MicF,641,961,937,322,1581,969,647,2826,3861,2162,3797,2268,3474,3372,1177,59,541,2031,709,609
IsrH_1_2,2,2,2,6,13,1,0,2,2,11,1,2,4,1,4,3,69,104,25,25
STnc1550,82,84,265,224,120,53,92,176,78,139,98,79,189,170,100,117,51,74,110,124
STnc1560,239,1333,492,535,405,399,693,1671,1590,1170,181,1305,1695,998,539,325,610,293,666,531
STnc3730,7,22,32,41,25,11,18,32,47,42,28,22,30,24,31,60,94,136,85,63
STnc3740,27,39,45,137,945,27,11,33,27,76,7,56,80,127,147,105,211,303,125,169
STnc3750,0,6,31,62,156,9,3,10,5,70,19,12,26,35,46,19,183,171,40,94
tpke70,3,7,6,6,4,5,21,9,3,11,6,5,8,5,9,5,10,11,3,10
STnc3760,35,60,52,65,20,33,44,62,69,108,44,101,248,174,72,68,53,53,185,146
STnc2070,1333,866,706,832,302,1654,1746,1267,726,2212,421,1246,892,1019,1444,693,1665,1946,1099,1782
RyfA,91,130,144,181,26,53,60,72,140,111,164,179,214,314,202,109,318,385,364,202
GlmY,2515,2770,1873,2326,1670,1424,2288,1359,2016,3131,316,3110,1497,2696,3655,6176,8508,3973,3204,1663
STnc1380,196,393,288,858,19,471,214,255,404,725,41,563,729,857,785,523,446,323,608,566
STnc3770,80,84,38,64,15,146,258,202,77,149,42,91,127,80,62,88,64,72,69,144
STnc1920,91,75,134,206,123,66,61,137,105,148,113,74,202,130,105,189,138,193,112,270
IsrI,20,11,32,31,31,26,39,7,10,37,12,15,25,31,38,16,36,78,22,67
STnc2080,326,322,696,1686,8801,277,421,467,407,633,312,364,762,1015,574,833,2081,4279,1738,1992
