gene,EEP,MEP,LEP,ESP,LSP,25�C,NaCl_shock,Bile_shock,Low_Fe2+_shock,Anaerobic_shock,Anaerobic_growth,Oxygen_shock,NonSPI2,InSPI2,Peroxide_shock_(InSPI2),Nitric_oxide_shock_(InSPI2),Macrophage
STnc1380,186,365,255,710,17,396,669,39,519,643,734,682,489,660,551,521,296
STnc3770,79,89,37,60,15,146,141,42,88,121,74,60,86,88,66,139,38
STnc1920,90,70,134,189,126,66,144,115,76,194,126,104,185,138,111,259,150
IsrI,19,14,32,29,30,28,37,12,15,24,29,37,15,26,21,65,58
STnc2080,328,353,679,1699,8719,282,617,315,375,732,996,562,880,2107,1697,1954,657
IsrJ,1102,1160,932,585,2431,902,2519,804,1206,1143,960,1422,933,1010,2133,1675,377
STnc1160,3545,4260,2981,9397,33404,3142,5097,407,6294,4725,6160,5470,9713,12582,8787,6612,8560
IsrK,685,877,698,528,178,515,734,198,1358,521,485,897,719,1737,358,704,426
STnc1390,962,2519,1485,3854,1423,1411,3042,336,2752,2399,2287,2189,2217,1990,4137,3338,679
STnc1400,638,1611,1134,1136,52,759,1036,99,1674,797,854,772,979,1093,1271,912,275
STnc3160,41,70,246,129,576,63,78,89,105,280,195,103,77,128,30,191,42
STnc2090,19,124,373,2833,3027,100,772,748,485,36246,15388,342,252,413,5238,1436,3709
sRNA3,315,397,414,674,167,585,1301,616,589,730,648,517,897,683,882,1989,550
STnc3790,21,8,17,10,39,17,58,20,11,44,46,29,21,18,101,83,6
STnc3800,109,134,117,74,169,71,265,143,191,207,103,118,102,160,320,257,80
STnc4230,208,252,217,125,28,538,115,301,316,89,164,183,229,187,68,211,60
IsrL,17,9,22,14,1,3,12,22,14,17,16,16,17,12,7,17,23
STnc3070,109,183,119,352,367,98,559,341,315,921,365,162,177,149,714,560,88
IsrM,3,1,2,1,0,2,4,1,3,5,4,2,2,3,1,3,7
IsrN,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
STnc3080,18,25,3,0,48,5,46,118,541,16,6,4,12,1,131,29,204
MicA,814,817,360,1060,20846,661,12678,693,571,4417,12236,639,395,2397,3826,3152,5793
C0664,3,0,1,0,0,3,8,0,1,5,2,2,2,1,1,131,3
STnc4240,475,373,288,87,26,667,473,317,426,233,146,190,257,95,12,150,53
STnc3020,9,17,8,8,8,8,38,7,17,25,11,5,16,255,90,74,19
STnc1410,51,45,55,51,468,67,179,51,63,95,82,52,56,35,95,121,39
InvR,802,976,9502,34738,11163,926,1826,1184,1066,1127,11944,18591,1990,234,1490,1978,80
STnc3140,117,61,53,91,213,50,308,68,74,47,22,55,3086,1526,108,288,40
CsrB,4250,6987,7090,7782,782,8578,3637,3572,7814,10230,9038,5192,4550,565,2959,3977,931
GcvB,14928,25702,15437,6045,93,27375,3693,41237,13859,21450,33798,19397,50,46,372,182,615
STnc3830,57,44,62,67,80,88,260,85,59,213,36,46,49,37,294,114,27
OmrA,494,517,896,649,1903,775,1513,1515,1041,1382,1238,501,164,739,951,558,972
OmrB,1822,2021,3234,1043,414,2311,5581,4972,4389,4941,1750,869,257,2760,3613,1700,4207
STnc290,307,387,855,1522,848,165,823,311,455,947,614,350,1059,571,1530,1689,246
IsrO,76,66,57,35,35,64,125,68,76,75,50,62,31,34,28,48,53
SsrS,19754,37713,35006,60918,99032,24466,52609,1936,38400,71037,62906,40671,33466,48716,46364,43936,43571
RygC,1696,2665,3894,5887,4242,645,1388,373,3545,1863,4139,6400,5983,7898,2471,4998,4390
STnc3030,68,71,169,94,28,128,46,197,65,133,47,31,61,48,23,33,70
STnc750,501,669,665,465,818,624,343,683,574,527,506,594,210,542,331,456,171
STnc3150,12,37,9,15,6,35,106,73,76,66,18,19,19,44,27,71,32
STnc3850,42,52,55,35,6,110,28,57,79,70,29,28,32,36,20,41,13
STnc3860,40,36,41,59,121,27,111,47,66,113,60,44,26,17,95,57,23
STnc3870,6,23,23,58,94,26,86,21,15,93,79,46,55,53,132,136,5030
STnc3880,7,14,158,144,42,11,73,79,28,23,15,34,67,52,109,273,57
STnc1170,11,2,26,185,14,3,31,11,16,377,534,49,15,17,5,31,79
STnc3890,94,88,131,245,200,93,406,39,193,98,107,128,190,313,642,844,37
STnc1820,283,218,180,111,238,247,755,114,282,319,249,181,112,111,655,232,54
STnc3920,1,2,0,2,646,1,10,1,3,1,2,2,1,3,5,2,2
SroG,566,596,452,294,10,824,464,471,707,564,568,300,496,488,184,259,602
STnc1420,41,135,152,142,48,69,81,43,88,267,179,61,102,126,195,145,84
RygD,2296,3184,3749,8013,4624,882,3657,416,4914,4713,6935,6602,7195,7148,6366,6033,8059
SraF,1208,1270,1930,1577,453,1537,3058,382,1403,452,436,1411,1833,523,220,1113,337
STnc310,15,19,78,19,70,18,164,25,26,7,2,69,14,29,151,253,5
SraG,2522,1770,1540,945,140,3324,1352,2231,1984,859,945,1138,1764,1040,372,1400,650
