gene,EEP,MEP,LEP,ESP,LSP,25�C,NaCl_shock,Bile_shock,Low_Fe2+_shock,Anaerobic_shock_gap,Anaerobic_growth,Oxygen_shock,NonSPI2,InSPI2,Peroxide_shock_(InSPI2),Nitric_oxide_shock_(InSPI2),Macrophage
STnc4210,99,44,1950,3762,605,25,158,20,49,41,1045,2840,148,136,242,429,180
STnc540,965,863,1165,1599,529,964,1418,960,900,300,1430,1760,1228,845,519,1470,810
RprA,524,718,1805,3083,23003,918,12066,2244,873,2087,2069,2136,3774,2641,2726,1904,2644
RydB,255,317,369,356,262,283,179,87,304,229,664,428,1238,1521,727,1114,236
STnc1220,2,0,14,37,288,0,105,2,4,31,13,10,4,20,37,64,14
STnc4220,394,386,248,468,29,374,137,223,233,77,105,280,785,353,183,106,122
STnc3500,9,17,16,18,45,13,47,13,28,12,29,14,14,11,37,48,24
STnc3510,44,65,91,57,29,31,36,40,56,32,54,71,64,25,12,31,17
STnc3480,46,63,45,27,10,320,24,38,26,14,24,28,33,19,8,20,14
MgrR,4484,5195,5708,5214,4718,7241,7727,7811,5824,6882,6335,4740,14122,12090,12500,11863,8548
STnc2170,83,100,50,41,50,38,258,916,134,115,120,51,67,66,71,233,32
STnc3530,62,89,69,46,14,44,41,81,52,38,22,60,80,74,41,29,94
IsrF,9,7,13,9,3,18,18,11,11,20,17,15,12,14,13,8,8
STnc3540,92,112,165,278,11,65,62,154,163,97,145,150,158,143,83,104,125
STnc1110,99,136,288,417,564,142,236,111,131,102,330,353,100,162,87,325,64
RyjB,369,317,704,866,416,235,596,82,447,897,1103,1197,1176,1101,1139,1755,1363
RydC,14943,10196,6722,8334,7866,3332,7903,6930,12868,13434,4569,3240,27326,11196,16033,19032,1828
MicC,42,84,109,135,51,99,87,53,70,57,78,173,88,88,56,82,113
FnrS,33,56,107,1662,30,53,59,85,64,9540,10092,70,63,70,20,105,131
STnc2030,7,6,19,104,2448,13,21,12,7,8,14,33,10,17,7,15,28
STnc1270,400,563,435,260,44,518,352,576,430,118,645,331,298,637,240,298,230
STnc3580,63,56,69,71,135,52,104,49,48,113,104,40,119,33,52,58,41
STnc3600,7,8,9,23,14,3,39,26,21,7,14,13,62,10,50,166,8
STnc2040,89,96,243,7690,387,24,35,63,59,10814,140,85,68,106,86,459,127
STnc3610,18,28,36,24,28,18,57,39,41,42,31,38,61,52,17,48,17
STnc3620,17,24,110,75,33,9,89,48,53,50,47,42,12,30,20,50,35
STnc3630,19,29,99,220,57,9,64,40,80,446,590,108,42,54,99,103,37
STnc1130,32,33,24,34,15,27,42,36,22,64,54,28,41,86,75,93,75
