gene,kegg,rvs,rvm,mvs
IYO_000005,PSPTO_0001,-1.80125033260142,-0.0981804050802809,-1.70306992752114
IYO_000010,PSPTO_0002,-1.51353268091882,-0.0916780093377169,-1.42185467158111
IYO_000015,PSPTO_0003,-1.07336206765482,-0.270893339943135,-0.802468727711688
IYO_000040,PSPTO_1571,0.928431902533362,0.0755835731968352,0.852848329336527
IYO_000045,PSPTO_0005,1.86767979441036,0.11889847013151,1.74878132427885
IYO_000080,PSPTO_5348,0.962088763244143,-0.188679971194462,1.1507687344386
IYO_000085,PSPTO_0032,0.71696797997163,-0.357967404356117,1.07493538432775
IYO_000090,PSPTO_0033,0.93026741871406,-0.645960332782326,1.57622775149639
IYO_000095,PSPTO_0192,0.603519531976619,-0.683751063019626,1.28727059499624
IYO_000130,PSPTO_0005,1.71488989486542,0.174712811510047,1.54017708335537
IYO_000135,PSPTO_5591,1.98931332598811,-0.274869586546869,2.26418291253498
IYO_000160,PSPTO_0011,0.680044145908389,0.056383475751588,0.623660670156801
IYO_000190,PSPTO_0027,-0.913822801481303,0.710876797121588,-1.62469959860289
IYO_000205,PSPTO_5409,-1.20337795565582,0.0346646687342266,-1.23804262439005
IYO_000225,PSPTO_3050,1.99529589947864,0.127984582773036,1.8673113167056
IYO_000230,PSPTO_0187,-1.64099596407834,0.417664743136562,-2.0586607072149
IYO_000235,PSPTO_0186,-1.59756975314136,0.247758732438675,-1.84532848558004
IYO_000250,PSPTO_0183,-1.1166114166597,0.126796734825725,-1.24340815148543
IYO_000255,PSPTO_0182,-1.50516447710598,0.136045271410418,-1.6412097485164
IYO_000285,PSPTO_0176,0.654099589420486,-0.433605461798396,1.08770505121888
IYO_000290,PSPTO_0175,-0.861368493215098,-0.319465336311208,-0.54190315690389
IYO_000295,PSPTO_0174,1.23650222088353,-0.373067510374063,1.60956973125759
IYO_000300,PSPTO_0173,1.56627882634458,-1.22904315306672,2.7953219794113
IYO_000305,PSPTO_0170,-1.68788498973126,-0.184376871176443,-1.50350811855481
IYO_000310,PSPTO_0169,-1.73769778577466,-0.126854272588969,-1.61084351318569
IYO_000315,PSPTO_0168,-0.790483335265765,0.0470031474948972,-0.837486482760662
IYO_000320,PSPTO_0166,1.56601764713704,-0.0865710444567404,1.65258869159378
IYO_000325,PSPTO_0165,1.63554814027489,0.132757262497539,1.50279087777735
IYO_000355,PSPTO_0162,-1.69163831658294,0.862817976078298,-2.55445629266124
IYO_000365,PSPTO_0159,1.45042210371989,-0.0814231747150026,1.53184527843489
IYO_000370,PSPTO_0158,1.71344881108621,0.162693956878056,1.55075485420816
IYO_000375,PSPTO_0157,1.86257273184857,0.374367060244056,1.48820567160452
IYO_000380,PSPTO_0156,-2.3305154980505,0.122620093565178,-2.45313559161568
IYO_000385,PSPTO_0155,-2.15087939433757,1.21520648041153,-3.3660858747491
IYO_000390,PSPTO_0154,-0.683717346847233,0.694055918898152,-1.37777326574538
IYO_000420,PSPTO_0146,2.28742962177882,-0.023344197355025,2.31077381913385
IYO_000425,PSPTO_0145,0.649873668525984,-0.643634248423423,1.29350791694941
IYO_000430,PSPTO_0144,0.380439873778734,-1.06366520800221,1.44410508178095
IYO_000475,PSPTO_0137,1.35882483103798,-0.556235405768437,1.91506023680642
IYO_000490,PSPTO_0135,1.11182497882156,0.118423158057723,0.993401820763832
IYO_000505,PSPTO_0131,-0.632809757495879,-0.0571681567363007,-0.575641600759578
IYO_000515,PSPTO_0129,-0.645455232510809,-0.0219345777854407,-0.623520654725368
IYO_000525,PSPTO_0127,2.74977784419487,-0.136125159383286,2.88590300357816
IYO_000530,PSPTO_0126,2.72785583475739,-0.701170639090482,3.42902647384787
IYO_000545,PSPTO_0120,1.202366532945,0.188978964715262,1.01338756822974
IYO_000565,PSPTO_4511,1.26404053025679,0.393285378389334,0.870755151867453
IYO_000580,PSPTO_0117,-0.810144517834158,0.967387635501489,-1.77753215333565
IYO_000590,PSPTO_0115,0.64453538204525,-4.63437302569868,5.27890840774393
IYO_000610,PSPTO_0111,1.27042797739223,0.0566643749194245,1.21376360247281
IYO_000615,PSPTO_0110,4.09928436833596,-2.41076488638521,6.51004925472117
IYO_000620,PSPTO_0109,5.36688486749781,-0.0987034669471969,5.46558833444501
IYO_000625,PSPTO_0108,4.19015703706051,-0.128324651852629,4.31848168891314
IYO_000630,PSPTO_0107,1.12645772042125,0.154192448023547,0.972265272397705
IYO_000640,PSPTO_0105,-0.835578384861016,-1.71900448422039,0.883426099359374
IYO_000645,PSPTO_0103,-1.67204152936083,-3.49900411722299,1.82696258786215
IYO_000650,PSPTO_0102,-0.915665048142984,-3.88949435882746,2.97382931068448
IYO_000655,PSPTO_0101,-0.390586839805327,-3.82110869063527,3.43052185082994
IYO_000660,PSPTO_0100,-0.6370703664659,1.05791533441322,-1.69498570087912
IYO_000665,PSPTO_0099,-1.26284152682285,0.627492611071383,-1.89033413789423
IYO_000685,PSPTO_0095,0.386034413712515,-0.868262893452669,1.25429730716518
IYO_000695,PSPTO_0091,3.1603402376489,-1.51969241653344,4.68003265418234
IYO_000710,PSPTO_0087,-0.853212061995312,-0.532426062268786,-0.320785999726527
IYO_000715,PSPTO_0086,0.981223037955728,0.000866347067071942,0.980356690888656
IYO_000750,PSPTO_0079,1.61542570863531,-0.775691910393714,2.39111761902902
IYO_000765,PSPTO_0076,-0.999566714911922,0.390105847751086,-1.38967256266301
IYO_000775,PSPTO_0074,-2.89843985250581,-0.190983777317914,-2.70745607518789
IYO_000780,PSPTO_0073,-1.22406315062561,0.591736487417458,-1.81579963804307
IYO_000790,PSPTO_0071,-0.997802435187907,0.555767894386646,-1.55357032957455
IYO_000805,PSPTO_0069,-0.101815930862622,3.54032648006131,-3.64214241092393
IYO_000810,PSPTO_0068,-0.402474822974015,3.92749295142786,-4.32996777440188
IYO_000815,PSPTO_0067,0.843334219984716,3.66271741338965,-2.81938319340494
IYO_000820,PSPTO_0066,1.06040963547463,0.094038505269385,0.966371130205242
IYO_000830,PSPTO_0064,2.53373787825714,-0.793123001377172,3.32686087963431
IYO_000835,PSPTO_0063,1.64658119930308,-0.261560482273738,1.90814168157682
IYO_000845,PSPTO_0061,1.22832993744666,0.116241680703878,1.11208825674278
IYO_000875,PSPTO_1037,2.9409500522138,-0.536913796935867,3.47786384914967
IYO_000880,PSPTO_0206,4.0366815890887,-0.999576853383042,5.03625844247174
IYO_000885,PSPTO_0208,1.44660414084522,-0.358512065655117,1.80511620650034
IYO_000890,PSPTO_0209,1.4015938189296,-0.0487751393814153,1.45036895831102
