"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"14","PSPTO_0390","pst0390","","gene",483,407,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"38","PSPTO_1881","pst1881","PSPTO_1881","gene",284,948,46,17,1.88092021349993,-1.33708915034445,3.21800936384439,"#DDA4A4","#BCBCD8","#E77575"
"46","PSPTO_1558","007730","PSPTO_1558","gene",439,941,46,17,0.939058732996428,-0.867191899810406,1.80625063280683,"#D8BCBC","#BCBCD8","#DDA4A4"
"48","PSPTO_3860","pst3860","","gene",431,858,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"49","PSPTO_3860","pst3860","","gene",319,870,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"50","PSPTO_5006","pst5006","","gene",210,870,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"53","PSPTO_4337","pst4337","","gene",483,771,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"55","PSPTO_1554","pst1554","","gene",483,701,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"57","PSPTO_1287","pst1287","PSPTO_1287","gene",458,484,46,17,-0.47202050042812,2.3773950341781,-2.84941553460622,"#D3D3D3","#DDA4A4","#8D8DE2"
"58","PSPTO_4494","pst4494","","gene",386,449,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"60","PSPTO_5168","pst5168","","gene",408,336,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"62","PSPTO_0959","pst0959","","gene",483,265,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"63","PSPTO_0083","pst0083","","gene",483,178,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"64","PSPTO_0959","pst0959","","gene",385,302,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"66","PSPTO_1289","006350","PSPTO_1289","gene",233,312,46,17,-0.641757819149314,1.40109627341847,-2.04285409256778,"#D3D3D3","#D8BCBC","#A4A4DD"
"67","PSPTO_0959","pst0959","","gene",357,264,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"68","PSPTO_5490","028680","PSPTO_5490","gene",307,264,46,17,1.26348254618976,-0.1929898817078,1.45647242789756,"#D8BCBC","#D3D3D3","#D8BCBC"
"69","PSPTO_1047","pst1047","","gene",181,264,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"70","PSPTO_1289","006350","PSPTO_1289","gene",233,239,46,17,-0.641757819149314,1.40109627341847,-2.04285409256778,"#D3D3D3","#D8BCBC","#A4A4DD"
"75","PSPTO_2201","pst2201","","gene",262,913,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"76","PSPTO_0387","002155","PSPTO_0387","gene",483,557,46,17,-1.6075066992847,0.628444616390399,-2.2359513156751,"#A4A4DD","#D3D3D3","#A4A4DD"
"116","PSPTO_0239","001085","PSPTO_0239","gene",239,747,46,17,-1.69484571333636,-1.00313383080354,-0.691711882532825,"#A4A4DD","#BCBCD8","#D3D3D3"
"131","PSPTO_1825","009385","PSPTO_1825","gene",96,916,46,17,3.06911258952475,-3.63361577001185,6.70272835953659,"#E28D8D","#7575E7","#FA1717"
"137","PSPTO_5327","001755","PSPTO_5327","gene",508,630,46,17,-0.931340433970444,0.245875010351629,-1.17721544432207,"#BCBCD8","#D3D3D3","#BCBCD8"
"138","PSPTO_0728","pst0728","","gene",307,969,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
