"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"66","PSPTO_2136","010835","PSPTO_2136","gene",663,930,46,17,0.962017609609703,5.3671362833598,-4.4051186737501,"#D8BCBC","#F04646","#5E5EEB"
"68","PSPTO_0443","pst0443","","gene",149,464,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"70","PSPTO_0441","pst0441","","gene",162,526,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"80","PSPTO_5294","pst5294","","gene",403,193,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"85","PSPTO_0873","pst0873","","gene",519,460,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"86","PSPTO_1843","009470","PSPTO_1843","gene",388,931,46,17,-1.61934262207453,0.515172345228356,-2.13451496730289,"#A4A4DD","#D3D3D3","#A4A4DD"
"88","PSPTO_1746","008950","PSPTO_1746","gene",532,194,46,17,-1.37720496949747,0.12723534339386,-1.50444031289133,"#BCBCD8","#D3D3D3","#BCBCD8"
"89","PSPTO_0255","pst0255","PSPTO_0255","gene",489,526,46,17,2.32940045985744,-1.57584849512996,3.9052489549874,"#DDA4A4","#BCBCD8","#E77575"
"91","PSPTO_2281","pst2281","","gene",595,218,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"92","PSPTO_0461","pst0461","","gene",591,405,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"93","PSPTO_3806","pst3806","","gene",540,750,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"94","PSPTO_0410","pst0410","","gene",573,703,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"97","PSPTO_1481","007325","PSPTO_1481","gene",598,785,46,17,-1.35430237465002,-0.283788620330048,-1.07051375431997,"#BCBCD8","#D3D3D3","#BCBCD8"
"103","PSPTO_2176","012790","PSPTO_2176","gene",526,931,46,17,-0.898732700484824,1.15228152765009,-2.05101422813491,"#BCBCD8","#D8BCBC","#A4A4DD"
"105","PSPTO_1886","009615","PSPTO_1886","gene",689,284,46,17,0.862517161590848,-4.97529805704839,5.83781521863924,"#D8BCBC","#4646F0","#F52F2F"
"109","PSPTO_0346","pst0346","","gene",598,843,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"111","PSPTO_1276","pst1276","","gene",777,537,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"113","PSPTO_1480","pst1480","","gene",598,899,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"115","PSPTO_3007","pst3007","","gene",817,704,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"116","PSPTO_0258","pst0258","PSPTO_0258","gene",139,203,46,17,0.445753229598947,-1.59208545831829,2.03783868791724,"#D3D3D3","#BCBCD8","#DDA4A4"
"120","PSPTO_0316","pst0316","","gene",884,484,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"123","PSPTO_2201","pst2201","","gene",1019,505,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"126","PSPTO_3806","pst3806","","gene",689,305,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"138","PSPTO_0410","pst0410","","gene",661,604,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"195","PSPTO_0984","pst0984","","gene",357,327,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"199","PSPTO_0158","000370","PSPTO_0158","gene",672,337,46,17,1.79242634998515,0.174076435415758,1.61834991456939,"#DDA4A4","#D3D3D3","#DDA4A4"
"216","PSPTO_3280","pst3280","","gene",195,169,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"227","PSPTO_5327","001755","PSPTO_5327","gene",259,146,46,17,-0.931340433970444,0.245875010351629,-1.17721544432207,"#BCBCD8","#D3D3D3","#BCBCD8"
"228","PSPTO_0317","027935","PSPTO_0317","gene",953,493,46,17,-0.951074739164206,-0.312187889445226,-0.63888684971898,"#BCBCD8","#D3D3D3","#D3D3D3"
