"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"54","PSPTO_2201","pst2201","","gene",585,362,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"62","PSPTO_2201","pst2201","","gene",407,362,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"68","PSPTO_2201","pst2201","","gene",130,362,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"72","PSPTO_0744","pst0744","","gene",180,751,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"76","PSPTO_3455","pst3455","PSPTO_3455","gene",101,718,46,17,1.73865825270965,-0.0778748403700761,1.81653309307973,"#DDA4A4","#D3D3D3","#DDA4A4"
"77","PSPTO_2742","015530","PSPTO_2742","gene",167,669,46,17,-1.43482020651125,-3.04922929255416,1.61440908604291,"#BCBCD8","#8D8DE2","#DDA4A4"
"78","PSPTO_2737","015550","PSPTO_2737","gene",167,617,46,17,1.2324238227176,-4.11383379006541,5.34625761278301,"#D8BCBC","#5E5EEB","#F04646"
"79","PSPTO_2736","pst2736","PSPTO_2736","gene",167,554,46,17,1.35808036293745,-3.19382890490143,4.55190926783888,"#D8BCBC","#8D8DE2","#EB5E5E"
"80","PSPTO_2065","pst2065","","gene",122,528,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"81","PSPTO_2739","015540","PSPTO_2739","gene",167,477,46,17,1.15850458139763,-3.60176547044978,4.76027005184741,"#D8BCBC","#7575E7","#EB5E5E"
"85","PSPTO_1332","pst1332","","gene",444,194,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"86","PSPTO_3516","019430","PSPTO_3516","gene",622,703,46,17,1.44041934226779,-0.464755454522829,1.90517479679061,"#D8BCBC","#D3D3D3","#DDA4A4"
"87","PSPTO_3517","019435","PSPTO_3517","gene",469,703,46,17,1.44441815111761,-0.65247289244225,2.09689104355986,"#D8BCBC","#D3D3D3","#DDA4A4"
"88","PSPTO_2065","pst2065","","gene",622,564,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"92","PSPTO_1332","pst1332","","gene",621,194,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"96","PSPTO_5381","028095","PSPTO_5381","gene",622,830,46,17,1.52962599308528,-1.44842843606184,2.97805442914711,"#D8BCBC","#BCBCD8","#E28D8D"
"98","PSPTO_1881","pst1881","PSPTO_1881","gene",419,815,46,17,1.88092021349993,-1.33708915034445,3.21800936384439,"#DDA4A4","#BCBCD8","#E77575"
"99","PSPTO_0775","pst0775","","gene",531,757,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"100","PSPTO_0259","001210","PSPTO_0259","gene",389,767,46,17,3.02065531343274,-2.44277034521684,5.46342565864957,"#E28D8D","#8D8DE2","#F04646"
"101","PSPTO_3517","019435","PSPTO_3517","gene",597,636,46,17,1.44441815111761,-0.65247289244225,2.09689104355986,"#D8BCBC","#D3D3D3","#DDA4A4"
"102","PSPTO_0783","pst0783","","gene",419,703,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"105","PSPTO_2065","pst2065","","gene",444,564,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"106","PSPTO_2745","pst2745","","gene",369,477,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"111","PSPTO_1332","pst1332","","gene",142,194,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"114","PSPTO_0774","pst0774","","gene",389,746,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"116","PSPTO_2745","pst2745","","gene",217,477,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"117","PSPTO_2745","pst2745","","gene",697,477,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"121","PSPTO_5020","025715","PSPTO_5020","gene",419,477,46,17,1.79531736442266,-0.847356508085776,2.64267387250843,"#DDA4A4","#BCBCD8","#E28D8D"
"122","PSPTO_5020","025715","PSPTO_5020","gene",597,477,46,17,1.79531736442266,-0.847356508085776,2.64267387250843,"#DDA4A4","#BCBCD8","#E28D8D"
