"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"82","PSPTO_3864","pst3864","","gene",220,1826,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"83","PSPTO_3863","029645","PSPTO_3863","gene",491,1826,46,17,0.430514819853972,-1.02538373288963,1.4558985527436,"#D3D3D3","#BCBCD8","#D8BCBC"
"90","PSPTO_1893","pst1893","","gene",399,908,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"92","PSPTO_1894","pst1894","","gene",491,908,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"108","PSPTO_4942","pst4942","","gene",771,268,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"134","PSPTO_3864","pst3864","","gene",779,1806,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"139","PSPTO_4097","pst4097","","gene",220,2240,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"169","PSPTO_2828","pst2828","","gene",779,2439,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"172","PSPTO_0696","003090","PSPTO_0696","gene",927,2429,46,17,-0.580279166743149,0.339297307020149,-0.919576473763297,"#D3D3D3","#D3D3D3","#BCBCD8"
"174","PSPTO_0690","pst0690","","gene",1071,2429,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"178","PSPTO_4305","pst4305","","gene",1023,2448,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"199","PSPTO_1772","pst1772","","gene",827,825,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"205","PSPTO_3864","pst3864","","gene",220,1896,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"206","PSPTO_3863","029645","PSPTO_3863","gene",491,1896,46,17,0.430514819853972,-1.02538373288963,1.4558985527436,"#D3D3D3","#BCBCD8","#D8BCBC"
"208","PSPTO_3863","029645","PSPTO_3863","gene",779,1886,46,17,0.430514819853972,-1.02538373288963,1.4558985527436,"#D3D3D3","#BCBCD8","#D8BCBC"
"244","PSPTO_5612","pst5612","","gene",1297,1296,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"265","PSPTO_0427","pst0427","","gene",1362,1872,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"289","PSPTO_0427","pst0427","","gene",1362,2042,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"293","PSPTO_0427","pst0427","","gene",1362,2142,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"295","PSPTO_0313","pst0313","","gene",661,2251,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"296","PSPTO_5267","027025","PSPTO_5267","gene",779,2223,46,17,1.12836532748244,0.131581684010623,0.996783643471819,"#D8BCBC","#D3D3D3","#D8BCBC"
"338","PSPTO_0592","002540","PSPTO_0592","gene",827,517,46,17,-1.10647449111055,0.276416608993525,-1.38289110010408,"#BCBCD8","#D3D3D3","#BCBCD8"
"339","PSPTO_0568","pst0568","","gene",779,517,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"353","PSPTO_4539","pst4539","","gene",491,1104,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"357","PSPTO_2246","018060","PSPTO_2246","gene",491,943,46,17,1.58333314195193,-0.0290224665410206,1.61235560849295,"#D8BCBC","#D3D3D3","#DDA4A4"
"377","PSPTO_3863","029645","PSPTO_3863","gene",827,1806,46,17,0.430514819853972,-1.02538373288963,1.4558985527436,"#D3D3D3","#BCBCD8","#D8BCBC"
"390","PSPTO_0087","pst0087","PSPTO_0087","gene",1656,1109,46,17,-1.88559168038357,-0.571609911825833,-1.31398176855773,"#A4A4DD","#D3D3D3","#BCBCD8"
"403","PSPTO_0486","pst0486","","gene",405,1750,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"404","PSPTO_2419","pst2419","","gene",405,1771,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"405","PSPTO_0592","002540","PSPTO_0592","gene",244,551,46,17,-1.10647449111055,0.276416608993525,-1.38289110010408,"#BCBCD8","#D3D3D3","#BCBCD8"
"406","PSPTO_0568","pst0568","","gene",196,551,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
