"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"4","PSPTO_4977","pst4977","","gene",172,764,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"10","PSPTO_2538","pst2538","PSPTO_2538","gene",1352,764,46,17,2.76761836901606,-0.280145329754735,3.0477636987708,"#E28D8D","#D3D3D3","#E28D8D"
"11","PSPTO_2539","pst2539","","gene",1352,781,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"12","PSPTO_2551","pst2551","","gene",1352,798,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"13","PSPTO_5417","pst5417","","gene",1444,849,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"14","PSPTO_2554","pst2554","","gene",1352,815,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"15","PSPTO_2553","pst2553","","gene",1398,815,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"16","PSPTO_2874","pst2874","","gene",1352,849,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"18","PSPTO_2548","pst2548","","gene",1352,832,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"23","PSPTO_1389","006830","PSPTO_1389","gene",302,798,46,17,-0.478882264807541,0.610339474999757,-1.0892217398073,"#D3D3D3","#D3D3D3","#BCBCD8"
"24","PSPTO_1403","pst1403","","gene",302,815,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"25","PSPTO_1384","006805","PSPTO_1384","gene",302,832,46,17,-0.908851279548785,0.329608021582401,-1.23845930113119,"#BCBCD8","#D3D3D3","#BCBCD8"
"26","PSPTO_1395","014210","PSPTO_1395","gene",348,832,46,17,2.09091403848074,0.778055043485693,1.31285899499504,"#DDA4A4","#D3D3D3","#D8BCBC"
"27","PSPTO_1394","pst1394","","gene",394,832,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"28","PSPTO_1393","pst1393","","gene",302,849,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"29","PSPTO_1392","pst1392","","gene",348,849,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"30","PSPTO_1402","pst1402","","gene",394,849,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"31","PSPTO_1400","pst1400","","gene",302,866,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"32","PSPTO_1396","006865","PSPTO_1396","gene",302,883,46,17,2.57136650396275,0.518541125816309,2.05282537814644,"#E28D8D","#D3D3D3","#DDA4A4"
"33","PSPTO_1386","006815","PSPTO_1386","gene",348,883,46,17,-1.48140060278118,0.448235439429474,-1.92963604221066,"#BCBCD8","#D3D3D3","#A4A4DD"
"34","PSPTO_3307","pst3307","","gene",556,764,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"36","PSPTO_3316","011770","PSPTO_3316","gene",602,798,46,17,-1.27317084276421,0.949358234160008,-2.22252907692422,"#BCBCD8","#D8BCBC","#A4A4DD"
"37","PSPTO_3315","011775","PSPTO_3315","gene",648,798,46,17,-0.214160474365332,0.867722621378749,-1.08188309574408,"#D3D3D3","#D8BCBC","#BCBCD8"
"39","PSPTO_3314","pst3314","","gene",556,815,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"40","PSPTO_3313","pst3313","","gene",602,815,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"41","PSPTO_3312","pst3312","","gene",648,815,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"42","PSPTO_3311","pst3311","","gene",556,832,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"43","PSPTO_3310","pst3310","","gene",602,832,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"44","PSPTO_3309","pst3309","","gene",648,832,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"45","PSPTO_0319","pst0319","","gene",556,849,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"47","PSPTO_4400","021030","PSPTO_4400","gene",556,969,46,17,-1.85143686562621,0.0962713664977559,-1.94770823212397,"#A4A4DD","#D3D3D3","#A4A4DD"
"48","PSPTO_1472","pst1472","","gene",604,1022,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"49","PSPTO_0427","pst0427","","gene",556,1003,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"50","PSPTO_5324","pst5324","","gene",556,1022,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"51","PSPTO_1415","pst1415","","gene",556,935,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"52","PSPTO_4493","pst4493","","gene",648,935,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"53","PSPTO_0646","pst0646","","gene",556,952,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"54","PSPTO_1414","pst1414","","gene",602,952,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"55","PSPTO_5612","pst5612","","gene",648,952,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"56","PSPTO_0613","002685","PSPTO_0613","gene",602,935,46,17,-1.39973170113125,0.887365697794187,-2.28709739892543,"#BCBCD8","#D8BCBC","#A4A4DD"
"57","PSPTO_5155","026460","PSPTO_5155","gene",790,935,46,17,-1.85848277231526,-0.30569074423643,-1.55279202807883,"#A4A4DD","#D3D3D3","#BCBCD8"
"58","PSPTO_5157","026470","PSPTO_5157","gene",882,935,46,17,-2.01213855441757,0.123334572860332,-2.1354731272779,"#A4A4DD","#D3D3D3","#A4A4DD"
"60","PSPTO_5156","026465","PSPTO_5156","gene",836,935,46,17,-1.78273945746104,-0.279663527681463,-1.50307592977958,"#A4A4DD","#D3D3D3","#BCBCD8"
"62","PSPTO_0531","pst0531","","gene",1179,781,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
