"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"55","PSPTO_3860","pst3860","","gene",406,457,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"59","PSPTO_1508","pst1508","","gene",221,128,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"62","PSPTO_0239","001085","PSPTO_0239","gene",221,193,46,17,-1.69484571333636,-1.00313383080354,-0.691711882532825,"#A4A4DD","#BCBCD8","#D3D3D3"
"64","PSPTO_2292","pst2292","","gene",340,198,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"65","PSPTO_4337","pst4337","","gene",386,252,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"70","PSPTO_3106","017030","PSPTO_3106","gene",671,187,46,17,-1.94196005981154,0.0746718156344172,-2.01663187544596,"#A4A4DD","#D3D3D3","#A4A4DD"
"74","PSPTO_3714","018865","PSPTO_3714","gene",753,187,46,17,-1.71068393727301,-0.127054775478453,-1.58362916179456,"#A4A4DD","#D3D3D3","#BCBCD8"
"78","PSPTO_1443","007110","PSPTO_1443","gene",132,394,46,17,0.890368200232615,-0.550302665537244,1.44067086576986,"#D8BCBC","#D3D3D3","#D8BCBC"
"79","PSPTO_5510","pst5510","PSPTO_5510","gene",160,417,46,17,2.50064745385213,1.06242243489427,1.43822501895786,"#E28D8D","#D8BCBC","#D8BCBC"
"80","PSPTO_3924","008420","PSPTO_3924","gene",191,440,46,17,-2.22264673060868,-0.537368220188555,-1.68527851042013,"#A4A4DD","#D3D3D3","#A4A4DD"
"88","PSPTO_1136","005545","PSPTO_1136","gene",161,578,46,17,1.32050200213574,-0.539651255318093,1.86015325745384,"#D8BCBC","#D3D3D3","#DDA4A4"
"91","PSPTO_0480","027415","PSPTO_0480","gene",348,692,46,17,-0.117793751188585,-1.67580472824445,1.55801097705587,"#D3D3D3","#A4A4DD","#D8BCBC"
"95","PSPTO_2510","pst2510","","gene",644,395,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"97","PSPTO_1169","005715","PSPTO_1169","gene",592,525,46,17,-1.37935922788877,-0.413447658214419,-0.965911569674348,"#BCBCD8","#D3D3D3","#BCBCD8"
"98","PSPTO_1825","009385","PSPTO_1825","gene",515,630,46,17,3.06911258952475,-3.63361577001185,6.70272835953659,"#E28D8D","#7575E7","#FA1717"
"103","PSPTO_1825","009385","PSPTO_1825","gene",716,630,46,17,3.06911258952475,-3.63361577001185,6.70272835953659,"#E28D8D","#7575E7","#FA1717"
"104","PSPTO_1881","pst1881","PSPTO_1881","gene",776,642,46,17,1.88092021349993,-1.33708915034445,3.21800936384439,"#DDA4A4","#BCBCD8","#E77575"
"109","PSPTO_0744","pst0744","","gene",348,780,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"110","PSPTO_1444","pst1444","","gene",465,745,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"116","PSPTO_1550","pst1550","PSPTO_1550","gene",465,819,46,17,-0.929145516962265,0.171786887324767,-1.10093240428703,"#BCBCD8","#D3D3D3","#BCBCD8"
"122","PSPTO_0258","pst0258","PSPTO_0258","gene",709,138,46,17,0.445753229598947,-1.59208545831829,2.03783868791724,"#D3D3D3","#BCBCD8","#DDA4A4"
"123","PSPTO_3860","pst3860","","gene",405,397,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"124","PSPTO_5006","pst5006","","gene",406,529,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"125","PSPTO_2201","pst2201","","gene",367,495,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"129","PSPTO_1669","pst1669","","gene",716,446,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"169","PSPTO_5465","028550","PSPTO_5465","gene",716,588,46,17,-2.39656290723115,-3.10422054439471,0.707657637163563,"#A4A4DD","#8D8DE2","#D3D3D3"
"174","PSPTO_1731","pst1731","","gene",211,654,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"176","PSPTO_0728","pst0728","","gene",826,642,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
