"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"11","PSPTO_1772","pst1772","","gene",282,201,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"51","PSPTO_2043","010420","PSPTO_2043","gene",420,505,46,17,-1.39748057300541,0.0518077112721982,-1.44928828427761,"#BCBCD8","#D3D3D3","#BCBCD8"
"52","PSPTO_0158","000370","PSPTO_0158","gene",190,416,46,17,1.79242634998515,0.174076435415758,1.61834991456939,"#DDA4A4","#D3D3D3","#DDA4A4"
"53","PSPTO_0159","000365","PSPTO_0159","gene",190,355,46,17,1.5309287221336,-0.0713100489025756,1.60223877103618,"#D8BCBC","#D3D3D3","#DDA4A4"
"54","PSPTO_0158","000370","PSPTO_0158","gene",143,379,46,17,1.79242634998515,0.174076435415758,1.61834991456939,"#DDA4A4","#D3D3D3","#DDA4A4"
"55","PSPTO_0594","pst0594","","gene",236,444,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"56","PSPTO_3816","019745","PSPTO_3816","gene",237,511,46,17,-1.59174820934339,0.566842875192318,-2.15859108453571,"#BCBCD8","#D3D3D3","#A4A4DD"
"57","PSPTO_0593","002545","PSPTO_0593","gene",278,539,46,17,-1.03132786632161,-0.0902854155914992,-0.941042450730111,"#BCBCD8","#D3D3D3","#BCBCD8"
"58","PSPTO_0568","pst0568","","gene",378,540,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"59","PSPTO_0357","pst0357","","gene",420,570,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"60","PSPTO_1335","pst1335","","gene",237,630,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"61","PSPTO_1335","pst1335","","gene",330,630,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"64","PSPTO_2163","pst2163","PSPTO_2163","gene",355,734,46,17,-1.57803720501855,0.0477950023064116,-1.62583220732496,"#BCBCD8","#D3D3D3","#A4A4DD"
"66","PSPTO_2163","pst2163","PSPTO_2163","gene",421,630,46,17,-1.57803720501855,0.0477950023064116,-1.62583220732496,"#BCBCD8","#D3D3D3","#A4A4DD"
"67","PSPTO_1335","pst1335","","gene",380,803,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"68","PSPTO_1335","pst1335","","gene",380,782,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"70","PSPTO_1748","008960","PSPTO_1748","gene",499,630,46,17,-1.36083728464062,0.343817788097658,-1.70465507273828,"#BCBCD8","#D3D3D3","#A4A4DD"
"72","PSPTO_1822","009370","PSPTO_1822","gene",380,842,46,17,2.05918587734584,-6.48411052835127,8.54329640569711,"#DDA4A4","#1717FA","#FF0000"
"75","PSPTO_1041","pst1041","","gene",420,448,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"76","PSPTO_5127","pst5127","","gene",420,382,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"77","PSPTO_0169","pst0169","PSPTO_0169","gene",421,309,46,17,-1.71845601240816,-0.162434599672845,-1.55602141273531,"#A4A4DD","#D3D3D3","#BCBCD8"
"78","PSPTO_4859","pst4859","","gene",421,239,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"80","PSPTO_5126","026315","PSPTO_5126","gene",372,202,46,17,-0.884366190259208,0.379807407642532,-1.26417359790174,"#BCBCD8","#D3D3D3","#BCBCD8"
"81","PSPTO_2163","pst2163","PSPTO_2163","gene",549,734,46,17,-1.57803720501855,0.0477950023064116,-1.62583220732496,"#BCBCD8","#D3D3D3","#A4A4DD"
"83","PSPTO_2925","pst2925","","gene",305,715,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"84","PSPTO_2925","pst2925","","gene",499,715,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"85","PSPTO_2568","pst2568","","gene",395,173,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"86","PSPTO_2568","pst2568","","gene",395,328,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"89","PSPTO_4437","pst4437","","gene",305,734,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"90","PSPTO_4437","pst4437","","gene",499,734,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
