"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"33","PSPTO_3857","pst3857","","gene",168,385,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"34","PSPTO_3857","pst3857","","gene",293,385,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"35","PSPTO_3857","pst3857","","gene",419,399,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"36","PSPTO_3857","pst3857","","gene",545,399,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"37","PSPTO_3857","pst3857","","gene",671,398,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"38","PSPTO_3857","pst3857","","gene",772,423,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"39","PSPTO_3857","pst3857","","gene",923,398,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"40","PSPTO_5020","025715","PSPTO_5020","gene",873,417,46,17,1.79531736442266,-0.847356508085776,2.64267387250843,"#DDA4A4","#BCBCD8","#E28D8D"
"41","PSPTO_3517","019435","PSPTO_3517","gene",898,578,46,17,1.44441815111761,-0.65247289244225,2.09689104355986,"#D8BCBC","#D3D3D3","#DDA4A4"
"42","PSPTO_2065","pst2065","","gene",898,495,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"44","PSPTO_2745","pst2745","","gene",923,417,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"46","PSPTO_3517","019435","PSPTO_3517","gene",470,825,46,17,1.44441815111761,-0.65247289244225,2.09689104355986,"#D8BCBC","#D3D3D3","#DDA4A4"
"47","PSPTO_3517","019435","PSPTO_3517","gene",470,850,46,17,1.44441815111761,-0.65247289244225,2.09689104355986,"#D8BCBC","#D3D3D3","#DDA4A4"
"48","PSPTO_0744","pst0744","","gene",808,648,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"49","PSPTO_3516","019430","PSPTO_3516","gene",808,669,46,17,1.44041934226779,-0.464755454522829,1.90517479679061,"#D8BCBC","#D3D3D3","#DDA4A4"
"50","PSPTO_3517","019435","PSPTO_3517","gene",747,580,46,17,1.44441815111761,-0.65247289244225,2.09689104355986,"#D8BCBC","#D3D3D3","#DDA4A4"
"51","PSPTO_2065","pst2065","","gene",747,496,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"52","PSPTO_5020","025715","PSPTO_5020","gene",747,385,46,17,1.79531736442266,-0.847356508085776,2.64267387250843,"#DDA4A4","#BCBCD8","#E28D8D"
"53","PSPTO_2745","pst2745","","gene",747,404,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"57","PSPTO_3516","019430","PSPTO_3516","gene",683,659,46,17,1.44041934226779,-0.464755454522829,1.90517479679061,"#D8BCBC","#D3D3D3","#DDA4A4"
