"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"3","PSPTO_1985","pst1985","","gene",615,286,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"4","PSPTO_1984","pst1984","","gene",615,269,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"5","PSPTO_1970","010060","PSPTO_1970","gene",506,294,46,17,1.69377110312035,-0.849750906795997,2.54352200991634,"#DDA4A4","#BCBCD8","#E28D8D"
"6","PSPTO_1969","pst1969","","gene",506,277,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"7","PSPTO_1959","pst1959","","gene",506,260,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"8","PSPTO_1981","pst1981","","gene",447,181,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"9","PSPTO_0915","pst0915","","gene",398,277,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"10","PSPTO_0910","pst0910","","gene",291,181,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"11","PSPTO_0911","pst0911","","gene",290,294,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"12","PSPTO_0913","pst0913","","gene",290,277,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"13","PSPTO_0908","pst0908","","gene",291,213,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"18","PSPTO_4557","pst4557","","gene",793,300,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"20","PSPTO_2367","pst2367","","gene",793,244,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"22","PSPTO_1648","pst1648","PSPTO_1648","gene",875,336,46,17,-1.25513604642703,-0.572403811583655,-0.682732234843379,"#BCBCD8","#D3D3D3","#D3D3D3"
"29","PSPTO_1323","pst1323","PSPTO_1323","gene",291,344,46,17,3.00367966190437,-0.588342127305296,3.59202178920966,"#E28D8D","#D3D3D3","#E77575"
"32","PSPTO_0909","023965","PSPTO_0909","gene",291,150,46,17,-1.22626787591379,-0.0760929539566075,-1.15017492195718,"#BCBCD8","#D3D3D3","#BCBCD8"
"33","PSPTO_0117","pst0117","PSPTO_0117","gene",181,266,46,17,-0.957817443724367,1.00228408698941,-1.96010153071378,"#BCBCD8","#D8BCBC","#A4A4DD"
"34","PSPTO_1648","pst1648","PSPTO_1648","gene",181,289,46,17,-1.25513604642703,-0.572403811583655,-0.682732234843379,"#BCBCD8","#D3D3D3","#D3D3D3"
