"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"19","PSPTO_0778","pst0778","","gene",423,236,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"20","PSPTO_0065","pst0065","","gene",474,651,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"21","PSPTO_0065","pst0065","","gene",253,651,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"22","PSPTO_3979","pst3979","","gene",423,668,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"23","PSPTO_3979","pst3979","","gene",203,668,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"24","PSPTO_3977","007965","PSPTO_3977","gene",423,651,46,17,-0.576018308744867,-0.0363581242424508,-0.539660184502416,"#D3D3D3","#D3D3D3","#D3D3D3"
"25","PSPTO_3977","007965","PSPTO_3977","gene",203,651,46,17,-0.576018308744867,-0.0363581242424508,-0.539660184502416,"#D3D3D3","#D3D3D3","#D3D3D3"
"26","PSPTO_3978","007960","PSPTO_3978","gene",423,634,46,17,-0.8097476888268,-0.133814383017995,-0.675933305808806,"#BCBCD8","#D3D3D3","#D3D3D3"
"27","PSPTO_4033","007785","PSPTO_4033","gene",423,330,46,17,1.31704611050696,-0.535411454106386,1.85245756461334,"#D8BCBC","#D3D3D3","#DDA4A4"
"28","PSPTO_5137","pst5137","","gene",423,805,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"29","PSPTO_0344","001935","PSPTO_0344","gene",203,493,46,17,-1.58622813163909,-0.640295362920801,-0.945932768718285,"#BCBCD8","#D3D3D3","#BCBCD8"
"32","PSPTO_4033","007785","PSPTO_4033","gene",253,330,46,17,1.31704611050696,-0.535411454106386,1.85245756461334,"#D8BCBC","#D3D3D3","#DDA4A4"
"33","PSPTO_3638","pst3638","","gene",203,364,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"41","PSPTO_0002","pst0002","PSPTO_0002","gene",423,493,46,17,-1.59505572080867,-0.0830398499840391,-1.51201587082463,"#BCBCD8","#D3D3D3","#BCBCD8"
"43","PSPTO_1488","007365","PSPTO_1488","gene",203,202,46,17,-0.695601269492626,0.101802981385322,-0.797404250877948,"#D3D3D3","#D3D3D3","#D3D3D3"
"44","PSPTO_0003","000015","PSPTO_0003","gene",203,330,46,17,-1.08746091431997,-0.265127987937211,-0.822332926382758,"#BCBCD8","#D3D3D3","#BCBCD8"
"45","PSPTO_0776","003485","PSPTO_0776","gene",423,219,46,17,-2.03560685369891,-0.370830222918378,-1.66477663078053,"#A4A4DD","#D3D3D3","#A4A4DD"
"47","PSPTO_0777","003490","PSPTO_0777","gene",423,202,46,17,-1.28703645510489,-0.176115805454837,-1.11092064965005,"#BCBCD8","#D3D3D3","#BCBCD8"
"53","PSPTO_3978","007960","PSPTO_3978","gene",203,634,46,17,-0.8097476888268,-0.133814383017995,-0.675933305808806,"#BCBCD8","#D3D3D3","#D3D3D3"
"55","PSPTO_4215","pst4215","","gene",203,347,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"56","PSPTO_0656","pst0656","","gene",253,202,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
