"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"45","PSPTO_2488","pst2488","","gene",155,203,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"46","PSPTO_0359","pst0359","PSPTO_0359","gene",102,203,46,17,3.01001872820253,-0.633492252744965,3.6435109809475,"#E28D8D","#D3D3D3","#E77575"
"49","PSPTO_4164","pst4164","","gene",690,238,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"50","PSPTO_4155","021140","PSPTO_4155","gene",724,111,46,17,-1.547929143233,0.211871922568974,-1.75980106580198,"#BCBCD8","#D3D3D3","#A4A4DD"
"52","PSPTO_0125","pst0125","","gene",894,109,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"54","PSPTO_0324","pst0324","PSPTO_0324","gene",228,363,46,17,0.751519886155817,0.124834947549878,0.626684938605938,"#D3D3D3","#D3D3D3","#D3D3D3"
"55","PSPTO_0082","pst0082","","gene",328,364,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"56","PSPTO_0604","002600","PSPTO_0604","gene",427,364,46,17,-1.41068085729567,0.631656652801311,-2.04233751009698,"#BCBCD8","#D3D3D3","#A4A4DD"
"57","PSPTO_2618","pst2618","","gene",526,364,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"59","PSPTO_0256","pst0256","PSPTO_0256","gene",631,374,46,17,2.06429009949744,-1.38294238262872,3.44723248212616,"#DDA4A4","#BCBCD8","#E77575"
"60","PSPTO_4399","022285","PSPTO_4399","gene",659,309,46,17,-1.73846537061681,-0.314412736482928,-1.42405263413388,"#A4A4DD","#D3D3D3","#BCBCD8"
"61","PSPTO_4243","pst4243","","gene",938,343,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"62","PSPTO_1361","006690","PSPTO_1361","gene",1035,343,46,17,1.26591097389363,0.636449500732069,0.629461473161564,"#D8BCBC","#D3D3D3","#D3D3D3"
"63","PSPTO_2411","pst2411","","gene",985,383,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"66","PSPTO_3757","pst3757","","gene",179,305,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"82","PSPTO_0256","pst0256","PSPTO_0256","gene",631,200,46,17,2.06429009949744,-1.38294238262872,3.44723248212616,"#DDA4A4","#BCBCD8","#E77575"
"88","PSPTO_2925","pst2925","","gene",124,353,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"89","PSPTO_1779","pst1779","","gene",124,374,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
