"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"62","PSPTO_3810","pst3810","","gene",949,772,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"77","PSPTO_2163","pst2163","PSPTO_2163","gene",542,1074,46,17,-1.57803720501855,0.0477950023064116,-1.62583220732496,"#BCBCD8","#D3D3D3","#A4A4DD"
"80","PSPTO_2046","010435","PSPTO_2046","gene",605,1190,46,17,0.154946152917592,-1.05728090984446,1.21222706276205,"#D3D3D3","#BCBCD8","#D8BCBC"
"81","PSPTO_2046","010435","PSPTO_2046","gene",649,1149,46,17,0.154946152917592,-1.05728090984446,1.21222706276205,"#D3D3D3","#BCBCD8","#D8BCBC"
"83","PSPTO_2045","010430","PSPTO_2045","gene",939,1190,46,17,0.275306527395315,-0.55350111518861,0.828807642583924,"#D3D3D3","#D3D3D3","#D8BCBC"
"84","PSPTO_1744","008940","PSPTO_1744","gene",993,1158,46,17,-1.23716629622677,-0.00187338699288975,-1.23529290923388,"#BCBCD8","#D3D3D3","#BCBCD8"
"89","PSPTO_2055","pst2055","","gene",939,955,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"90","PSPTO_0598","pst0598","","gene",797,966,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"91","PSPTO_1784","009170","PSPTO_1784","gene",423,934,46,17,-1.80425262991195,-0.65222144679129,-1.15203118312066,"#A4A4DD","#D3D3D3","#BCBCD8"
"97","PSPTO_2732","pst2732","","gene",492,896,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"98","PSPTO_0701","pst0701","PSPTO_0701","gene",517,772,46,17,1.13918562951253,-0.0176976403259224,1.15688326983845,"#D8BCBC","#D3D3D3","#D8BCBC"
"99","PSPTO_4179","021275","PSPTO_4179","gene",542,896,46,17,4.40002216735056,0.999882464412555,3.400139702938,"#EB5E5E","#D8BCBC","#E77575"
"101","PSPTO_0383","002135","PSPTO_0383","gene",616,966,46,17,-1.12506362035749,1.47189909020385,-2.59696271056134,"#BCBCD8","#D8BCBC","#8D8DE2"
"102","PSPTO_5068","pst5068","","gene",694,851,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"103","PSPTO_2386","024790","PSPTO_2386","gene",669,919,46,17,1.80486076923273,-0.122247569557001,1.92710833878973,"#DDA4A4","#D3D3D3","#DDA4A4"
"129","PSPTO_2047","pst2047","","gene",767,1162,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"132","PSPTO_3902","008535","PSPTO_3902","gene",491,224,46,17,-2.22653623780111,-0.498081915403536,-1.72845432239758,"#A4A4DD","#D3D3D3","#A4A4DD"
"133","PSPTO_1421","pst1421","PSPTO_1421","gene",518,163,46,17,-0.924036965189147,0.363650763645247,-1.28768772883439,"#BCBCD8","#D3D3D3","#BCBCD8"
