"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"5","PSPTO_1925","009805","PSPTO_1925","gene",209,687,46,17,2.77539457669987,-0.34513107700838,3.12052565370825,"#E28D8D","#D3D3D3","#E28D8D"
"6","PSPTO_1926","009810","PSPTO_1926","gene",48,589,46,17,1.04252581615061,-0.996750408670667,2.03927622482127,"#D8BCBC","#BCBCD8","#DDA4A4"
"7","PSPTO_1924","009800","PSPTO_1924","gene",48,570,46,17,3.17414797730187,-0.510055461923546,3.68420343922541,"#E28D8D","#D3D3D3","#E77575"
"9","PSPTO_1962","pst1962","","gene",96,570,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"10","PSPTO_1952","009965","PSPTO_1952","gene",144,570,46,17,2.81564144960883,-0.583439886641193,3.39908133625003,"#E28D8D","#D3D3D3","#E77575"
"11","PSPTO_1974","pst1974","","gene",299,587,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"12","PSPTO_1972","pst1972","","gene",253,587,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"13","PSPTO_1973","pst1973","","gene",299,570,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"14","PSPTO_1971","010065","PSPTO_1971","gene",253,570,46,17,1.19461801091021,-0.842158842981044,2.03677685389126,"#D8BCBC","#BCBCD8","#DDA4A4"
"15","PSPTO_1961","pst1961","","gene",253,553,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"16","PSPTO_1960","pst1960","","gene",253,536,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"17","PSPTO_1970","010060","PSPTO_1970","gene",391,504,46,17,1.69377110312035,-0.849750906795997,2.54352200991634,"#DDA4A4","#BCBCD8","#E28D8D"
"18","PSPTO_1969","pst1969","","gene",391,487,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"19","PSPTO_1959","pst1959","","gene",391,470,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"20","PSPTO_1958","pst1958","","gene",391,446,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"21","PSPTO_1966","pst1966","","gene",514,263,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"22","PSPTO_1949","009950","PSPTO_1949","gene",441,144,46,17,2.08016532470019,-0.26003265609112,2.34019798079131,"#DDA4A4","#D3D3D3","#DDA4A4"
"23","PSPTO_1935","pst1935","","gene",514,280,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"24","PSPTO_1939","009900","PSPTO_1939","gene",186,333,46,17,2.37228973652216,-1.35600719967173,3.72829693619388,"#DDA4A4","#BCBCD8","#E77575"
"25","PSPTO_1936","pst1936","","gene",345,271,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"26","PSPTO_1944","pst1944","","gene",417,221,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"27","PSPTO_1945","pst1945","","gene",417,198,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"28","PSPTO_1951","pst1951","","gene",488,51,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"30","PSPTO_1957","009990","PSPTO_1957","gene",345,411,46,17,1.47625142265479,-1.01002923170081,2.4862806543556,"#D8BCBC","#BCBCD8","#E28D8D"
"31","PSPTO_1934","pst1934","","gene",437,411,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"32","PSPTO_1933","pst1933","","gene",391,411,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"33","PSPTO_1942","pst1942","","gene",357,383,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"34","PSPTO_1941","009910","PSPTO_1941","gene",357,362,46,17,1.74714603693806,-1.61220441255519,3.35935044949325,"#DDA4A4","#A4A4DD","#E77575"
"35","PSPTO_1940","009905","PSPTO_1940","gene",345,333,46,17,2.14790240376707,-1.41831316515583,3.5662155689229,"#DDA4A4","#BCBCD8","#E77575"
"36","PSPTO_1984","pst1984","","gene",182,444,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"37","PSPTO_1976","010090","PSPTO_1976","gene",235,502,46,17,1.6420851851982,-0.777412395427506,2.4194975806257,"#DDA4A4","#D3D3D3","#E28D8D"
"38","PSPTO_1975","pst1975","","gene",292,502,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"39","PSPTO_1979","pst1979","","gene",294,687,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"40","PSPTO_4156","021145","PSPTO_4156","gene",126,333,46,17,2.58948710441739,-0.360797897655078,2.95028500207247,"#E28D8D","#D3D3D3","#E28D8D"
"42","PSPTO_1985","pst1985","","gene",159,407,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
