"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"50","PSPTO_0092","pst0092","","gene",216,788,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"52","PSPTO_0873","pst0873","","gene",430,961,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"53","PSPTO_2421","pst2421","","gene",267,788,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"56","PSPTO_2694","014475","PSPTO_2694","gene",353,714,46,17,-0.112154628380084,-1.15994728172758,1.0477926533475,"#D3D3D3","#BCBCD8","#D8BCBC"
"57","PSPTO_3064","pst3064","","gene",353,779,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"61","PSPTO_5308","027850","PSPTO_5308","gene",634,761,46,17,0.725879770168016,-1.45729214765617,2.18317191782419,"#D3D3D3","#BCBCD8","#DDA4A4"
"64","PSPTO_0092","pst0092","","gene",634,879,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"66","PSPTO_1881","pst1881","PSPTO_1881","gene",609,860,46,17,1.88092021349993,-1.33708915034445,3.21800936384439,"#DDA4A4","#BCBCD8","#E77575"
"67","PSPTO_2055","pst2055","","gene",961,792,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"68","PSPTO_0598","pst0598","","gene",1004,701,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"72","PSPTO_3007","pst3007","","gene",444,714,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"73","PSPTO_1881","pst1881","PSPTO_1881","gene",444,779,46,17,1.88092021349993,-1.33708915034445,3.21800936384439,"#DDA4A4","#BCBCD8","#E77575"
"97","PSPTO_0873","pst0873","","gene",340,253,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"104","PSPTO_1602","pst1602","","gene",689,232,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"126","PSPTO_4842","004860","PSPTO_4842","gene",294,367,46,17,-1.81619188303975,-0.113175812962688,-1.70301607007706,"#A4A4DD","#D3D3D3","#A4A4DD"
"128","PSPTO_5393","pst5393","","gene",371,393,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"129","PSPTO_5394","028170","PSPTO_5394","gene",522,393,46,17,-1.93204884472874,-0.50085630379164,-1.4311925409371,"#A4A4DD","#D3D3D3","#BCBCD8"
"160","PSPTO_1833","pst1833","","gene",267,266,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"162","PSPTO_1836","009440","PSPTO_1836","gene",267,163,46,17,0.925862089368291,-1.3199771836224,2.2458392729907,"#D8BCBC","#BCBCD8","#DDA4A4"
"163","PSPTO_1832","009420","PSPTO_1832","gene",338,118,46,17,1.27720915325034,-1.44403127163225,2.72124042488259,"#D8BCBC","#BCBCD8","#E28D8D"
"164","PSPTO_1835","009435","PSPTO_1835","gene",508,116,46,17,0.775882729943825,-1.44391279185599,2.21979552179981,"#D3D3D3","#BCBCD8","#DDA4A4"
"165","PSPTO_1838","pst1838","","gene",672,116,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"173","PSPTO_5047","pst5047","","gene",926,326,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"174","PSPTO_5017","pst5017","","gene",926,297,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"175","PSPTO_5017","pst5017","","gene",799,201,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"176","PSPTO_0800","pst0800","","gene",755,166,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"177","PSPTO_4829","pst4829","","gene",756,266,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"181","PSPTO_5017","pst5017","","gene",858,201,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"206","PSPTO_5047","pst5047","","gene",1171,298,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"207","PSPTO_5017","pst5017","","gene",1278,326,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"208","PSPTO_5017","pst5017","","gene",1278,392,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"209","PSPTO_2925","pst2925","","gene",1336,427,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"233","PSPTO_5164","pst5164","","gene",1035,370,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"236","PSPTO_4572","pst4572","","gene",609,367,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
