"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"81","PSPTO_1661","pst1661","PSPTO_1661","gene",450,717,46,17,-2.46010795382679,-0.509032007247811,-1.95107594657898,"#8D8DE2","#D3D3D3","#A4A4DD"
"84","PSPTO_1536","pst1536","","gene",505,247,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"88","PSPTO_4501","pst4501","","gene",128,264,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"94","PSPTO_5040","025880","PSPTO_5040","gene",128,192,46,17,-1.25606867345487,-0.183117335348481,-1.07295133810639,"#BCBCD8","#D3D3D3","#BCBCD8"
"95","PSPTO_4157","pst4157","","gene",179,154,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"98","PSPTO_0080","pst0080","","gene",422,154,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"99","PSPTO_1430","pst1430","","gene",395,237,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"101","PSPTO_4144","pst4144","","gene",283,286,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"102","PSPTO_1552","pst1552","","gene",334,311,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"107","PSPTO_1130","pst1130","","gene",632,281,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"109","PSPTO_1562","007750","PSPTO_1562","gene",633,247,46,17,-1.2742511083046,0.176083709362597,-1.4503348176672,"#BCBCD8","#D3D3D3","#BCBCD8"
"110","PSPTO_2022","010310","PSPTO_2022","gene",768,228,46,17,-2.51795102835736,0.0473922028955397,-2.5653432312529,"#8D8DE2","#D3D3D3","#8D8DE2"
"115","PSPTO_3190","012325","PSPTO_3190","gene",1108,237,46,17,-0.8502319566185,0.196177987044477,-1.04640994366298,"#BCBCD8","#D3D3D3","#BCBCD8"
"117","PSPTO_1430","pst1430","","gene",394,391,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"121","PSPTO_1562","007750","PSPTO_1562","gene",633,383,46,17,-1.2742511083046,0.176083709362597,-1.4503348176672,"#BCBCD8","#D3D3D3","#BCBCD8"
"123","PSPTO_1602","pst1602","","gene",824,347,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"124","PSPTO_2022","010310","PSPTO_2022","gene",738,371,46,17,-2.51795102835736,0.0473922028955397,-2.5653432312529,"#8D8DE2","#D3D3D3","#8D8DE2"
"126","PSPTO_1909","009725","PSPTO_1909","gene",633,417,46,17,-0.899081897712919,-1.26813068009442,0.369048782381499,"#BCBCD8","#BCBCD8","#D3D3D3"
"131","PSPTO_1661","pst1661","PSPTO_1661","gene",450,460,46,17,-2.46010795382679,-0.509032007247811,-1.95107594657898,"#8D8DE2","#D3D3D3","#A4A4DD"
"132","PSPTO_1430","pst1430","","gene",395,515,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"133","PSPTO_4144","pst4144","","gene",332,599,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"138","PSPTO_1562","007750","PSPTO_1562","gene",633,551,46,17,-1.2742511083046,0.176083709362597,-1.4503348176672,"#BCBCD8","#D3D3D3","#BCBCD8"
"140","PSPTO_1430","pst1430","","gene",391,644,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"142","PSPTO_3827","pst3827","","gene",504,652,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"148","PSPTO_5282","pst5282","","gene",538,716,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"149","PSPTO_1430","pst1430","","gene",393,781,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"152","PSPTO_3827","pst3827","","gene",506,772,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"154","PSPTO_1562","007750","PSPTO_1562","gene",633,739,46,17,-1.2742511083046,0.176083709362597,-1.4503348176672,"#BCBCD8","#D3D3D3","#BCBCD8"
"157","PSPTO_2022","010310","PSPTO_2022","gene",761,791,46,17,-2.51795102835736,0.0473922028955397,-2.5653432312529,"#8D8DE2","#D3D3D3","#8D8DE2"
"158","PSPTO_1602","pst1602","","gene",808,718,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"164","PSPTO_3190","012325","PSPTO_3190","gene",1110,782,46,17,-0.8502319566185,0.196177987044477,-1.04640994366298,"#BCBCD8","#D3D3D3","#BCBCD8"
"165","PSPTO_2309","pst2309","","gene",290,173,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"169","PSPTO_2028","pst2028","","gene",519,154,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"174","PSPTO_1695","008700","PSPTO_1695","gene",453,300,46,17,1.07608294459397,0.0994165043079695,0.976666440285999,"#D8BCBC","#D3D3D3","#D8BCBC"
"250","PSPTO_1153","pst1153","","gene",905,431,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"251","PSPTO_1156","pst1156","","gene",1000,431,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"259","PSPTO_1155","pst1155","","gene",1095,431,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"262","PSPTO_1154","pst1154","","gene",1186,431,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"267","PSPTO_1156","pst1156","","gene",1000,376,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"269","PSPTO_1562","007750","PSPTO_1562","gene",633,674,46,17,-1.2742511083046,0.176083709362597,-1.4503348176672,"#BCBCD8","#D3D3D3","#BCBCD8"
"274","PSPTO_1430","pst1430","","gene",760,475,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"285","PSPTO_1695","008700","PSPTO_1695","gene",461,843,46,17,1.07608294459397,0.0994165043079695,0.976666440285999,"#D8BCBC","#D3D3D3","#D8BCBC"
"287","PSPTO_1695","008700","PSPTO_1695","gene",453,330,46,17,1.07608294459397,0.0994165043079695,0.976666440285999,"#D8BCBC","#D3D3D3","#D8BCBC"
"288","PSPTO_0084","pst0084","","gene",446,611,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"289","PSPTO_1749","008965","PSPTO_1749","gene",504,525,46,17,-1.82094061639068,0.340053277341031,-2.16099389373171,"#A4A4DD","#D3D3D3","#A4A4DD"
"290","PSPTO_1749","008965","PSPTO_1749","gene",504,392,46,17,-1.82094061639068,0.340053277341031,-2.16099389373171,"#A4A4DD","#D3D3D3","#A4A4DD"
