#Coverage	Number of genomic locations
14.0	1.0
16.0	1.0
19.0	1.0
22.0	3.0
25.0	1.0
26.0	1.0
28.0	1.0
29.0	1.0
30.0	1.0
31.0	1.0
33.0	1.0
34.0	1.0
37.0	2.0
38.0	2.0
39.0	11.0
40.0	25.0
41.0	62.0
42.0	155.0
43.0	300.0
44.0	497.0
45.0	736.0
46.0	1084.0
47.0	1539.0
48.0	2123.0
49.0	3121.0
50.0	4727.0
51.0	6455.0
52.0	8776.0
53.0	12166.0
54.0	15908.0
55.0	20427.0
56.0	25810.0
57.0	31292.0
58.0	37567.0
59.0	44144.0
60.0	51546.0
61.0	60178.0
62.0	69120.0
63.0	79296.0
64.0	91596.0
65.0	105262.0
66.0	120486.0
67.0	137518.0
68.0	155933.0
69.0	174895.0
70.0	193895.0
71.0	211695.0
72.0	227259.0
73.0	239711.0
74.0	250827.0
75.0	260284.0
76.0	268430.0
77.0	276544.0
78.0	283754.0
79.0	291379.0
80.0	295581.0
81.0	296605.0
82.0	294331.0
83.0	288123.0
84.0	277486.0
85.0	265556.0
86.0	253451.0
87.0	241951.0
88.0	229818.0
89.0	218432.0
90.0	207489.0
91.0	194255.0
92.0	181828.0
93.0	166685.0
94.0	152179.0
95.0	138492.0
96.0	125480.0
97.0	113242.0
98.0	101588.0
99.0	89675.0
100.0	79132.0
101.0	70269.0
102.0	62195.0
103.0	54677.0
104.0	48874.0
105.0	43613.0
106.0	39065.0
107.0	34575.0
108.0	30712.0
109.0	27435.0
110.0	24767.0
111.0	22354.0
112.0	20434.0
113.0	18332.0
114.0	16387.0
115.0	14855.0
116.0	13645.0
117.0	12578.0
118.0	11818.0
119.0	11045.0
120.0	10218.0
121.0	9920.0
122.0	9379.0
123.0	9163.0
124.0	8566.0
125.0	8041.0
126.0	7376.0
127.0	6725.0
128.0	6067.0
129.0	5540.0
130.0	5409.0
131.0	5202.0
132.0	5124.0
133.0	4784.0
134.0	4664.0
135.0	4473.0
136.0	4217.0
137.0	4042.0
138.0	3923.0
139.0	3730.0
140.0	3714.0
141.0	3565.0
142.0	3587.0
143.0	3471.0
144.0	3285.0
145.0	3151.0
146.0	2991.0
147.0	2742.0
148.0	2570.0
149.0	2393.0
150.0	2394.0
151.0	2370.0
152.0	2458.0
153.0	2469.0
154.0	2456.0
155.0	2451.0
156.0	2449.0
157.0	2329.0
158.0	2190.0
159.0	2064.0
160.0	1952.0
161.0	1785.0
162.0	1624.0
163.0	1547.0
164.0	1485.0
165.0	1446.0
166.0	1290.0
167.0	1219.0
168.0	1082.0
169.0	1001.0
170.0	924.0
171.0	806.0
172.0	735.0
173.0	721.0
174.0	655.0
175.0	641.0
176.0	579.0
177.0	587.0
178.0	568.0
179.0	615.0
180.0	596.0
181.0	528.0
182.0	542.0
183.0	540.0
184.0	522.0
185.0	479.0
186.0	548.0
187.0	522.0
188.0	574.0
189.0	580.0
