gene,Inheritance_type,percentage,HGT_annotations,Total_annotations
STnc1740,Vertical,0.86,1,116
STnc1760,Vertical,0.00,0,607
STnc1870,Horizontal,0.17,1,580
STnc1880,Vertical,0.00,0,645
STnc1890,Vertical,0.00,0,246
STnc1920,Horizontal,32.50,52,160
STnc1990,Vertical,0.12,1,812
STnc200,Vertical,0.13,2,1483
STnc2030,Vertical,0.00,0,765
STnc2040,Vertical,0.00,0,1624
STnc2050,Horizontal,27.88,138,495
STnc2080,Horizontal,66.99,69,103
STnc2100,Vertical,0.00,0,557
STnc2110,Vertical,1.19,7,590
STnc2130,Vertical,0.21,3,1424
STnc2160,Vertical,0.74,1,136
STnc2180,Vertical,1.54,21,1363
STnc290,Horizontal,2.21,9,408
STnc3000,Divergence,0.06,1,1681
STnc3010,Divergence,0.00,0,624
STnc3030,Divergence,0.81,4,493
STnc3040,Divergence,0.30,2,659
STnc3050,Vertical,0.00,0,508
STnc3060,Vertical,0.00,0,468
STnc3090,Vertical,0.00,0,260
STnc310,Divergence,0.19,1,521
STnc3130,Vertical,3.07,18,587
STnc3150,Divergence,0.00,0,590
STnc3160,Vertical,0.06,1,1781
STnc3170,Horizontal,26.61,29,109
STnc3180,Vertical,0.00,0,974
STnc3200,Vertical,0.00,0,804
STnc3230,Vertical,0.35,2,567
STnc3250,Divergence,0.00,0,1343
STnc3280,Divergence,0.00,0,856
STnc3300,Divergence,0.00,0,165
STnc3330,Divergence,2.35,6,255
STnc3340,Divergence,0.00,0,208
STnc3350,Divergence,1.01,7,692
STnc3390,Vertical,0.10,1,954
STnc340,Vertical,4.15,24,579
STnc3420,Horizontal,0.22,1,458
STnc3480,Divergence,0.64,4,628
STnc350,Vertical,0.00,0,993
STnc3500,Vertical,0.00,0,588
STnc3530,Vertical,0.00,0,478
STnc3570,Divergence,0.25,3,1191
STnc3580,Divergence,0.00,0,746
STnc3610,Vertical,0.00,0,559
STnc3620,Vertical,0.00,0,423
STnc3630,Vertical,0.00,0,661
STnc3640,Horizontal,34.33,138,402
STnc3720,Vertical,0.00,0,835
STnc3730,Vertical,0.12,1,853
STnc3740,Vertical,0.00,0,1112
STnc3750,Vertical,7.57,58,766
STnc3760,Divergence,3.13,16,511
STnc380,Divergence,0.00,0,601
STnc3800,Horizontal,70.00,7,10
STnc3830,Divergence,0.00,0,550
STnc3850,Divergence,0.00,0,1132
STnc3870,Horizontal,16.38,134,818
STnc3890,Divergence,0.00,0,712
STnc3920,Vertical,0.00,0,431
STnc3970,Divergence,0.00,0,774
STnc3990,Vertical,0.00,0,413
STnc400,Horizontal,17.69,23,130
STnc4000,Divergence,0.20,1,502
STnc4010,Vertical,0.58,4,687
STnc4070,Vertical,0.00,0,455
STnc4080,Vertical,0.13,2,1579
STnc4100,Horizontal,62.67,136,217
STnc4110,Divergence,0.14,1,713
STnc4130,Vertical,14.08,10,71
STnc4160,Divergence,0.00,0,262
STnc4210,Vertical,0.00,0,505
STnc4260,Vertical,15.55,109,701
STnc440,Horizontal,1.16,4,345
STnc470,Vertical,0.00,0,413
STnc480,Vertical,0.08,1,1260
STnc490,Horizontal,40.13,250,623
STnc500,Vertical,0.00,0,387
STnc1030,Vertical,0.13,1,780
STnc1040,Vertical,0.33,3,900
STnc1210,Vertical,0.00,0,756
STnc1560,Vertical,0.00,0,988
STnc1860,Vertical,0.50,9,1787
STnc2070,Vertical,1.03,13,1258
STnc4170,Vertical,0.80,4,497
STnc4180,Vertical,0.69,6,870
STnc790,Vertical,0.36,5,1386
STnc800,Vertical,0.58,8,1384
STnc520,Horizontal,4.08,36,883
STnc540,Vertical,0.00,0,132
STnc630,Divergence,0.00,0,1549
STnc700,Vertical,0.37,5,1366
STnc710,Vertical,0.44,5,1141
STnc740,Vertical,0.27,2,752
STnc750,Vertical,0.23,1,428
STnc760,Divergence,0.32,2,634
STnc780,Vertical,2.18,11,505
STnc810,Vertical,0.00,0,720
STnc840,Vertical,0.45,6,1328
STnc850,Vertical,0.26,5,1888
