#Read position (bp)	Clipping profile
0.0	41.59445451645336
1.0	0.004048489162815218
2.0	0.0039726618974526805
3.0	0.0038978369998574815
4.0	0.003830251425026392
5.0	0.0037653759556403286
6.0	0.0037013172303609855
7.0	0.003639745862133926
8.0	0.003574981766944234
9.0	0.003510885916932767
10.0	0.003447625373394082
11.0	0.003387817429942896
12.0	0.0033275825520722876
13.0	0.0032766845443307755
14.0	0.0032309468743544493
15.0	0.003188086371117705
16.0	0.0031476946625671833
17.0	0.003111479486380571
18.0	0.0030768977984073987
19.0	0.003044469344897398
20.0	0.0030143983118772486
21.0	0.0029851625853298813
22.0	0.0029568921018177283
23.0	0.0029332436474549684
24.0	0.0029087041995212418
25.0	0.002885705427970646
26.0	0.0028637832736516356
27.0	0.0028429748612963344
28.0	0.0028241340597435867
29.0	0.0028052190087265914
30.0	0.002788253006146087
31.0	0.0027718809992795614
32.0	0.00275647423544825
33.0	0.0027412902200096806
34.0	0.0027260505174729263
35.0	0.002712462865515673
36.0	0.002699859018959697
37.0	0.0026875707326267716
38.0	0.0026750782602671663
39.0	0.0026636438427730847
40.0	0.0026524692984038686
41.0	0.00264198156157894
42.0	0.0026313082010933934
43.0	0.00262087615136665
44.0	0.0026115021565054305
45.0	0.0026020167874478404
46.0	0.003832627407882305
47.0	0.002584902285938841
48.0	0.0025761965362558477
49.0	0.0027893481857437347
50.0	0.002561532267067009
51.0	0.0025536246991246735
52.0	0.002549967913010495
53.0	0.0025377724385078787
54.0	0.0025308486759668194
55.0	0.003153374746582101
56.0	0.0042054154055018505
57.0	0.0031366129300282766
58.0	0.0035345343712955266
59.0	0.0028386683923699923
60.0	0.002491793457772749
61.0	0.002489194726524094
62.0	0.0037079068703129324
63.0	0.002477203438048158
64.0	0.004004607729445074
65.0	0.00316213618336328
66.0	0.0037655615793009472
67.0	0.0031517783831007833
68.0	0.0032054236210194457
69.0	0.0038967789449919576
70.0	0.00277034032289643
71.0	0.0028863551107828097
72.0	0.0029866104498827034
73.0	0.002433470503606508
74.0	0.002434825556329021
75.0	0.0036596632809182596
76.0	0.004569776088929329
77.0	0.003332130331757434
78.0	0.005590000852419118
79.0	0.0026551979662149563
80.0	0.0032490823059968476
81.0	0.004035755379696809
82.0	0.002750404341746035
83.0	0.0023865634045682873
84.0	0.004558230297238877
85.0	0.002922328976210618
86.0	0.003247430255417346
87.0	0.003383900770703852
88.0	0.003994398428111072
89.0	0.003127721556684664
90.0	0.003506746509300981
91.0	0.003462475266243539
92.0	0.0030420562373093614
93.0	0.003099246887145831
94.0	0.003475673108513493
95.0	0.0033713897359781845
96.0	0.003281139512185612
97.0	0.00307455894028361
98.0	0.004292138779742677
99.0	0.004093428651050886
100.0	0.0035263483678622635
101.0	0.002789106874984931
102.0	0.0037743972655463736
103.0	0.0038249797130648355
104.0	0.00405513448986535
105.0	0.0046311803958618315
106.0	0.002511673751824959
107.0	0.0034169232199278304
108.0	0.0028942441163590836
109.0	0.0023283332622323558
110.0	0.004659228130981243
111.0	0.006469485756428182
112.0	0.0038997860482939723
113.0	0.004178741285471014
114.0	0.0034639788178945463
115.0	0.004548373680860049
116.0	0.005168468081521232
117.0	0.004144363783524522
118.0	0.0039783048567354744
119.0	0.003345272486929203
120.0	0.004728038821972412
121.0	0.004576254354684904
122.0	0.004161218411908655
123.0	0.004940373727353579
124.0	0.004135602346743343
125.0	0.004677066564766652
126.0	0.006324457990387178
127.0	0.004022260539569866
128.0	0.003701113044334305
129.0	0.003871868249736994
130.0	0.0027629710635698876
131.0	0.004253807493825017
132.0	0.0042516913840939695
133.0	0.003057073191453375
134.0	0.004184588430780488
135.0	0.003932214501803973
136.0	0.0038191140053893
137.0	0.005043821793416106
138.0	0.003140789462392186
139.0	0.004565246871610244
140.0	0.0033327985769356595
141.0	0.0051292458020326046
142.0	0.004253547620700151
143.0	0.004555167506838676
144.0	0.0033656354024990203
145.0	0.005307296017297588
146.0	0.0054998805651889785
147.0	0.0048955456133142825
148.0	0.002892851938904447
149.0	0.00411477537202198
150.0	0.004628544539881053
151.0	0.005565944026002998
152.0	0.003934089300776217
153.0	0.005768904936522946
154.0	0.006680669795113517
155.0	0.00429573987875867
156.0	0.005475229743058881
157.0	0.005092455192498076
158.0	0.003098188832280307
159.0	0.0057149998254794184
160.0	0.004046298803619923
161.0	0.005272361644369242
162.0	0.0034843231710983014
163.0	0.004367854670908843
164.0	0.005285670860835568
165.0	0.005532773077850525
166.0	0.0051911327304827145
167.0	0.004974324294880649
168.0	0.007059546248801339
169.0	0.0035502566953498887
170.0	0.005631116493246051
171.0	0.007028083038326552
172.0	0.007211739088142206
173.0	0.007030663207209146
174.0	0.007982392839930817
175.0	0.007331429224508828
176.0	0.007402003340275869
177.0	0.005994641870200748
178.0	0.010330810582242063
179.0	0.008403275928016539
180.0	0.01281391685269788
181.0	0.009808150041039377
182.0	0.009988297803669346
183.0	0.008823676394584656
184.0	0.0116673751881574
185.0	0.00873890206878032
186.0	0.00674463570856255
187.0	0.005949850880893575
188.0	0.008248205921936088
189.0	0.005268240799103518
190.0	0.0036115496280860206
191.0	0.00517761932798971
192.0	0.004941487469317289
193.0	0.0037505631875229956
194.0	0.004149839681512759
195.0	0.0031651804113974184
196.0	0.007850117419374284
197.0	0.0032047368134751585
198.0	0.0034798496408774025
199.0	0.004000561133643597
200.0	0.0031268676878458204
201.0	0.0052388008865294705
202.0	0.003452098903614981
203.0	0.006184033691129504
204.0	0.0030018130276873345
205.0	0.0042481645345422234
206.0	0.004521755247927398
207.0	0.0039072481194508246
