#Mapping quality	mapping quality
0.0	1398.0
1.0	1489.0
2.0	15554.0
3.0	5168.0
4.0	5377.0
5.0	4540.0
6.0	6738.0
7.0	5221.0
8.0	3029.0
9.0	2096.0
10.0	2099.0
11.0	1724.0
12.0	1552.0
13.0	1786.0
14.0	1731.0
15.0	2698.0
16.0	3740.0
17.0	3993.0
18.0	2970.0
19.0	3087.0
20.0	2096.0
21.0	1790.0
22.0	2009.0
23.0	1912.0
24.0	1870.0
25.0	1595.0
26.0	1397.0
27.0	1295.0
28.0	1031.0
29.0	841.0
30.0	818.0
31.0	731.0
32.0	949.0
33.0	1252.0
34.0	1125.0
35.0	1118.0
36.0	1126.0
37.0	1041.0
38.0	1232.0
39.0	1397.0
40.0	1335.0
41.0	1304.0
42.0	1180.0
43.0	1178.0
44.0	1229.0
45.0	1402.0
46.0	1517.0
47.0	1499.0
48.0	1628.0
49.0	1718.0
50.0	1881.0
51.0	2091.0
52.0	2074.0
53.0	1805.0
54.0	1564.0
55.0	1410.0
56.0	1289.0
57.0	1180.0
58.0	1084.0
59.0	1067.0
60.0	1229.0
61.0	1427.0
62.0	1605.0
63.0	1756.0
64.0	1961.0
65.0	2097.0
66.0	2039.0
67.0	1858.0
68.0	1493.0
69.0	1298.0
70.0	1227.0
71.0	1174.0
72.0	998.0
73.0	807.0
74.0	583.0
75.0	551.0
76.0	536.0
77.0	550.0
78.0	588.0
79.0	695.0
80.0	898.0
81.0	1042.0
82.0	1321.0
83.0	1328.0
84.0	1518.0
85.0	1529.0
86.0	1443.0
87.0	1378.0
88.0	1224.0
89.0	1256.0
90.0	1366.0
91.0	1545.0
92.0	1700.0
93.0	1683.0
94.0	1687.0
95.0	1592.0
96.0	1516.0
97.0	1419.0
98.0	1372.0
99.0	1282.0
100.0	1273.0
101.0	1215.0
102.0	1324.0
103.0	1338.0
104.0	1380.0
105.0	1408.0
106.0	1434.0
107.0	1574.0
108.0	1611.0
109.0	1744.0
110.0	1853.0
111.0	1806.0
112.0	1905.0
113.0	2067.0
114.0	1950.0
115.0	1900.0
116.0	2047.0
117.0	2091.0
118.0	1984.0
119.0	2046.0
120.0	2022.0
121.0	1989.0
122.0	1955.0
123.0	2013.0
124.0	1858.0
125.0	1936.0
126.0	1569.0
127.0	2973.0
128.0	2270.0
129.0	2096.0
130.0	2587.0
131.0	2461.0
132.0	2510.0
133.0	2361.0
134.0	2388.0
135.0	2291.0
136.0	2323.0
137.0	2552.0
138.0	2369.0
139.0	2370.0
140.0	2396.0
141.0	2134.0
142.0	2165.0
143.0	2221.0
144.0	2153.0
145.0	1917.0
146.0	2160.0
147.0	2008.0
148.0	2052.0
149.0	2176.0
150.0	2294.0
151.0	2178.0
152.0	2349.0
153.0	2253.0
154.0	2283.0
155.0	2288.0
156.0	2372.0
157.0	2441.0
158.0	2739.0
159.0	2512.0
160.0	2915.0
161.0	2850.0
162.0	2909.0
163.0	2831.0
164.0	2861.0
165.0	2787.0
166.0	2728.0
167.0	2489.0
168.0	2597.0
169.0	2502.0
170.0	2245.0
171.0	2299.0
172.0	2381.0
173.0	2359.0
174.0	2413.0
175.0	2416.0
176.0	2312.0
177.0	2334.0
178.0	2214.0
179.0	2176.0
180.0	2208.0
181.0	2003.0
182.0	2086.0
183.0	2005.0
184.0	2070.0
185.0	1895.0
186.0	1956.0
187.0	1862.0
188.0	1871.0
189.0	1849.0
190.0	1911.0
191.0	2067.0
192.0	2184.0
193.0	2241.0
194.0	2506.0
195.0	2511.0
196.0	2728.0
197.0	2786.0
198.0	2898.0
199.0	2977.0
200.0	3039.0
201.0	2905.0
202.0	2991.0
203.0	3025.0
204.0	3176.0
205.0	3046.0
206.0	3097.0
207.0	2907.0
208.0	3242.0
209.0	3350.0
210.0	3586.0
211.0	3402.0
212.0	4029.0
213.0	3806.0
214.0	4067.0
215.0	3782.0
216.0	4061.0
217.0	3800.0
218.0	4543.0
219.0	4268.0
220.0	4546.0
221.0	4526.0
222.0	4489.0
223.0	4901.0
224.0	4820.0
225.0	5072.0
226.0	5858.0
227.0	5538.0
228.0	6327.0
229.0	6259.0
230.0	6730.0
231.0	6730.0
232.0	7184.0
233.0	7474.0
234.0	7176.0
235.0	8505.0
236.0	8799.0
237.0	9646.0
238.0	9430.0
239.0	10405.0
240.0	11982.0
241.0	11112.0
242.0	14200.0
243.0	17211.0
244.0	19402.0
245.0	20605.0
246.0	25057.0
247.0	53328.0
248.0	83120.0
249.0	96540.0
250.0	258889.0
251.0	672598.0
252.0	79375.0
253.0	14121.0
254.0	5958298.0
