#Coverage	Number of genomic locations
15.0	1.0
19.0	1.0
21.0	3.0
22.0	2.0
23.0	2.0
24.0	4.0
25.0	2.0
26.0	9.0
27.0	7.0
28.0	9.0
29.0	9.0
30.0	5.0
31.0	12.0
32.0	8.0
33.0	12.0
34.0	4.0
35.0	6.0
36.0	6.0
37.0	8.0
38.0	5.0
39.0	2.0
40.0	10.0
41.0	3.0
42.0	7.0
43.0	7.0
44.0	10.0
45.0	22.0
46.0	50.0
47.0	88.0
48.0	151.0
49.0	271.0
50.0	396.0
51.0	656.0
52.0	1046.0
53.0	1566.0
54.0	2430.0
55.0	3525.0
56.0	4624.0
57.0	6051.0
58.0	7913.0
59.0	10738.0
60.0	14684.0
61.0	19364.0
62.0	24083.0
63.0	29652.0
64.0	34837.0
65.0	41135.0
66.0	47845.0
67.0	55434.0
68.0	63407.0
69.0	71451.0
70.0	79599.0
71.0	87454.0
72.0	96150.0
73.0	105237.0
74.0	114573.0
75.0	123626.0
76.0	131001.0
77.0	137058.0
78.0	140672.0
79.0	144492.0
80.0	148382.0
81.0	150730.0
82.0	152459.0
83.0	154268.0
84.0	155977.0
85.0	157517.0
86.0	160001.0
87.0	161484.0
88.0	163819.0
89.0	165093.0
90.0	165095.0
91.0	164542.0
92.0	162792.0
93.0	160899.0
94.0	158829.0
95.0	156176.0
96.0	153403.0
97.0	149341.0
98.0	144789.0
99.0	142232.0
100.0	137814.0
101.0	136026.0
102.0	132714.0
103.0	129909.0
104.0	126151.0
105.0	121314.0
106.0	116337.0
107.0	110638.0
108.0	104896.0
109.0	99537.0
110.0	94561.0
111.0	90620.0
112.0	87196.0
113.0	82810.0
114.0	79380.0
115.0	75274.0
116.0	71891.0
117.0	69175.0
118.0	66143.0
119.0	63012.0
120.0	60021.0
121.0	56725.0
122.0	54023.0
123.0	51006.0
124.0	47488.0
125.0	44724.0
126.0	41421.0
127.0	39134.0
128.0	36351.0
129.0	34137.0
130.0	31524.0
131.0	29608.0
132.0	27822.0
133.0	25807.0
134.0	24426.0
135.0	22443.0
136.0	21205.0
137.0	19450.0
138.0	18383.0
139.0	17054.0
140.0	15613.0
141.0	14235.0
142.0	13545.0
143.0	12145.0
144.0	10938.0
145.0	10026.0
146.0	9168.0
147.0	8560.0
148.0	8033.0
149.0	7683.0
150.0	7261.0
151.0	6846.0
152.0	6352.0
153.0	5991.0
154.0	5807.0
155.0	5630.0
156.0	5233.0
157.0	5178.0
158.0	4892.0
159.0	4596.0
160.0	4537.0
161.0	4423.0
162.0	4441.0
163.0	4442.0
164.0	4341.0
165.0	4204.0
166.0	3971.0
167.0	3654.0
168.0	3431.0
169.0	3074.0
170.0	2736.0
171.0	2595.0
172.0	2456.0
173.0	2346.0
174.0	2345.0
175.0	2187.0
176.0	2221.0
177.0	2379.0
178.0	2376.0
179.0	2389.0
180.0	2350.0
181.0	2255.0
182.0	2166.0
183.0	2196.0
184.0	2159.0
185.0	2274.0
186.0	2233.0
187.0	2352.0
188.0	2458.0
189.0	2662.0
190.0	2719.0
191.0	2941.0
192.0	3081.0
193.0	3084.0
194.0	3280.0
195.0	3339.0
196.0	3426.0
197.0	3586.0
198.0	3381.0
199.0	3289.0
200.0	3297.0
201.0	3142.0
202.0	3019.0
203.0	2842.0
204.0	2644.0
205.0	2536.0
206.0	2403.0
207.0	2261.0
208.0	2260.0
209.0	2138.0
210.0	1935.0
211.0	1906.0
212.0	1938.0
213.0	1838.0
214.0	1945.0
215.0	1963.0
216.0	1931.0
217.0	1946.0
218.0	1911.0
219.0	2033.0
220.0	2050.0
221.0	2128.0
222.0	2046.0
223.0	2134.0
224.0	1979.0
225.0	2029.0
226.0	1779.0
227.0	1803.0
228.0	1527.0
229.0	1408.0
230.0	1328.0
231.0	1118.0
232.0	1107.0
233.0	1117.0
234.0	1107.0
235.0	1108.0
236.0	1179.0
237.0	1242.0
238.0	1183.0
239.0	1195.0
240.0	1313.0
241.0	1235.0
242.0	1250.0
243.0	1167.0
244.0	1140.0
245.0	1028.0
246.0	1046.0
247.0	902.0
248.0	891.0
249.0	833.0
250.0	774.0
251.0	685.0
252.0	654.0
253.0	619.0
254.0	532.0
255.0	486.0
256.0	443.0
257.0	411.0
258.0	378.0
259.0	364.0
260.0	270.0
261.0	241.0
262.0	203.0
263.0	197.0
264.0	189.0
265.0	142.0
266.0	143.0
267.0	132.0
268.0	137.0
269.0	137.0
270.0	146.0
271.0	140.0
272.0	159.0
273.0	142.0
274.0	158.0
275.0	154.0
276.0	167.0
277.0	136.0
278.0	137.0
279.0	161.0
280.0	158.0
281.0	134.0
282.0	140.0
283.0	171.0
284.0	151.0
285.0	164.0
286.0	181.0
287.0	187.0
288.0	176.0
289.0	217.0
290.0	228.0
291.0	254.0
292.0	243.0
293.0	310.0
294.0	269.0
295.0	317.0
296.0	338.0
297.0	306.0
298.0	285.0
299.0	275.0
300.0	288.0
301.0	222.0
302.0	208.0
303.0	182.0
304.0	148.0
305.0	124.0
306.0	130.0
307.0	103.0
308.0	134.0
309.0	111.0
310.0	92.0
311.0	106.0
312.0	90.0
313.0	97.0
314.0	97.0
315.0	92.0
316.0	127.0
317.0	102.0
318.0	110.0
319.0	108.0
320.0	132.0
321.0	128.0
322.0	120.0
323.0	138.0
324.0	149.0
325.0	160.0
326.0	185.0
327.0	154.0
328.0	180.0
329.0	193.0
330.0	206.0
331.0	232.0
332.0	221.0
333.0	195.0
334.0	261.0
335.0	246.0
336.0	239.0
337.0	262.0
338.0	261.0
339.0	256.0
340.0	272.0
341.0	240.0
342.0	242.0
343.0	252.0
344.0	262.0
345.0	246.0
346.0	242.0
347.0	267.0
348.0	273.0
349.0	257.0
350.0	262.0
351.0	268.0
352.0	320.0
353.0	287.0
354.0	319.0
355.0	309.0
356.0	354.0
357.0	351.0
358.0	329.0
359.0	312.0
360.0	293.0
361.0	279.0
362.0	268.0
363.0	252.0
364.0	225.0
365.0	223.0
366.0	222.0
367.0	207.0
368.0	224.0
369.0	192.0
370.0	230.0
371.0	233.0
372.0	283.0
373.0	270.0
374.0	277.0
375.0	271.0
376.0	306.0
377.0	336.0
378.0	319.0
379.0	319.0
380.0	324.0
381.0	316.0
382.0	307.0
383.0	331.0
384.0	360.0
385.0	337.0
386.0	347.0
387.0	332.0
388.0	311.0
389.0	320.0
390.0	323.0
391.0	333.0
392.0	301.0
393.0	297.0
394.0	275.0
395.0	291.0
396.0	298.0
397.0	257.0
398.0	257.0
399.0	266.0
400.0	329.0
401.0	343.0
402.0	325.0
403.0	343.0
404.0	354.0
405.0	367.0
406.0	409.0
407.0	412.0
408.0	413.0
409.0	446.0
410.0	409.0
411.0	398.0
412.0	408.0
413.0	407.0
414.0	419.0
415.0	408.0
416.0	412.0
417.0	407.0
418.0	483.0
419.0	492.0
420.0	523.0
421.0	586.0
422.0	651.0
423.0	663.0
424.0	777.0
425.0	782.0
426.0	847.0
427.0	809.0
428.0	858.0
429.0	950.0
430.0	969.0
431.0	972.0
432.0	977.0
433.0	999.0
434.0	985.0
435.0	1000.0
436.0	973.0
437.0	947.0
438.0	974.0
439.0	948.0
440.0	965.0
441.0	868.0
442.0	776.0
443.0	806.0
444.0	718.0
445.0	640.0
446.0	695.0
447.0	594.0
448.0	582.0
449.0	562.0
450.0	465.0
451.0	521.0
452.0	502.0
453.0	548.0
454.0	463.0
455.0	462.0
456.0	496.0
457.0	522.0
458.0	543.0
459.0	625.0
460.0	603.0
461.0	670.0
462.0	702.0
463.0	694.0
464.0	685.0
465.0	742.0
466.0	745.0
467.0	768.0
468.0	789.0
469.0	799.0
470.0	849.0
471.0	811.0
472.0	873.0
473.0	856.0
474.0	888.0
475.0	895.0
476.0	950.0
477.0	903.0
478.0	856.0
479.0	854.0
480.0	833.0
481.0	832.0
482.0	768.0
483.0	746.0
484.0	735.0
485.0	705.0
486.0	683.0
487.0	616.0
488.0	678.0
489.0	615.0
490.0	606.0
491.0	632.0
492.0	587.0
493.0	561.0
494.0	601.0
495.0	551.0
496.0	556.0
497.0	529.0
498.0	495.0
