#GC Content (%)	Sample
1.0	3.266561193035256E-6
2.0	2.177707462023504E-6
3.0	0.0
4.0	1.088853731011752E-6
5.0	0.0
6.0	1.088853731011752E-6
7.0	1.088853731011752E-6
8.0	1.088853731011752E-6
9.0	2.177707462023504E-6
10.0	1.088853731011752E-6
11.0	0.0
12.0	0.0
13.0	1.088853731011752E-6
14.0	1.088853731011752E-6
15.0	1.088853731011752E-6
16.0	2.177707462023504E-6
17.0	1.088853731011752E-6
18.0	2.177707462023504E-6
19.0	1.088853731011752E-6
20.0	0.0
21.0	0.0
22.0	0.0
23.0	2.177707462023504E-6
24.0	4.355414924047008E-6
25.0	3.266561193035256E-6
26.0	6.533122386070512E-6
27.0	4.355414924047008E-6
28.0	2.177707462023504E-6
29.0	6.533122386070511E-6
30.0	1.088853731011752E-6
31.0	9.799683579105768E-6
32.0	7.621976117082264E-6
33.0	9.799683579105768E-6
34.0	8.710829848094016E-6
35.0	9.799683579105768E-6
36.0	1.197739104112927E-5
37.0	1.4155098503152777E-5
38.0	1.9599367158211535E-5
39.0	1.5243952234164525E-5
40.0	1.7421659696188032E-5
41.0	2.286592835124679E-5
42.0	2.1777074620235038E-5
43.0	2.6132489544282048E-5
44.0	2.7221343275293796E-5
45.0	5.008727162654059E-5
46.0	6.315351639868161E-5
47.0	5.2264979088564096E-5
48.0	7.29531999777874E-5
49.0	1.219516178733162E-4
50.0	3.02701337221267E-4
51.0	5.977806983254518E-4
52.0	7.121103400816858E-4
53.0	0.0011073642444389517
54.0	0.0014253095338943834
55.0	0.0020481338680331056
56.0	0.002718867766336345
57.0	0.003420089569107913
58.0	0.00446212258968616
59.0	0.005622840666944688
60.0	0.007860435084173839
61.0	0.011684489387487111
62.0	0.01851704654958585
63.0	0.029041906713545448
64.0	0.04412688630298227
65.0	0.0619470664647206
66.0	0.08300876418368092
67.0	0.10322768911483812
68.0	0.11725539173146254
69.0	0.11938627848305255
70.0	0.1100232252500825
71.0	0.09163248573329398
72.0	0.06862500639701567
73.0	0.04719200955578034
74.0	0.02923572267766554
75.0	0.015938640914550026
76.0	0.008653120600350393
77.0	0.0045350757896639475
78.0	0.002160285802327316
79.0	0.0010572769728124114
80.0	5.433380117748643E-4
81.0	3.5169975511679583E-4
82.0	2.526140655947265E-4
83.0	2.155930387403269E-4
84.0	1.5243952234164526E-4
85.0	1.382844238384925E-4
86.0	9.037485967397541E-5
87.0	4.790956416451709E-5
88.0	2.1777074620235038E-5
89.0	1.197739104112927E-5
90.0	0.0
91.0	1.088853731011752E-6
92.0	3.266561193035256E-6
93.0	1.088853731011752E-6
94.0	1.088853731011752E-6
95.0	2.177707462023504E-6
96.0	0.0
97.0	0.0
98.0	0.0
99.0	1.088853731011752E-6
100.0	2.177707462023504E-6
